기업명,주요업무,자격요건,우대사항
닥터나우,"• 대용량 트래픽을 지탱하기 위한 고가용성 아키텍처 설계, 개발 및 운영• 진료, 조제, 배송, 결제, 백오피스 등등 각종 마이크로 서비스의 비즈니스 로직을 도메인 중심으로 설계 및 개발• 각종 비즈니스 요구사항에 대한 API 설계 및 개발• 각종 기술 부채 해결, 잠재적 기술문제 예측 및 제거• 코드 리뷰 및 테스트코드 작성.","• 2년 이상의 서버사이드 개발 경험이 있으신 분• 이커머스, 음식배달, 리뷰, 정산 등 하나 이상의 도메인 지식을 가지신 분• Kotlin, Java, TypeScript 등 하나 이상의 언어에 능숙하신 분• AWS 등 클라우드 환경에서 서비스를 운영해보신 분• PO, Stakeholder 와의 협업 경험이 있으신 분• 테스트코드, 코드리뷰의 필요성에 대한 이해가 있으신 분• 신규 피처를 개발 및 프로덕션에 런칭해보신 분• (대학교 재학중인 분의 경우 졸업예정자 지원 가능).","• 대용량 트래픽 처리에 대한 경험이 있으신 분• 스크럼, 칸반 등 애자일 프레임워크 기반의 업무 경험이 있으신 분• 스타트업에서 너무나 일해보고 싶으신 분• 이커머스 개발 및 운영 경험이 있으신 분• AWS 등 클라우드 환경에서의 인프라 구축 경험이 있으신 분• 프론트엔드 개발 경험이 있으신 분."
코딧(CODITCorp.),"• 코딧 플랫폼 및 생성형 AI 기반의 대화형 정책 및 규제 챗봇 ChatCODIT을 개발합니다.• Node.js, Express 와 Typescript를 이용하여 코딧 API 서버를 구현하고, 기능 개발 및 유지보수 업무를 하게 됩니다.• Node.js와 ES6를 이용하여 알림 서버를 구현하고, 기능 개발 및 유지보수 업무를 하게 됩니다.• 각종 법령 및 규제와 관련하여 수집된 데이터를 ELK와 연동하여 API 서버를 구현합니다. • AWS의 여러 서비스를 이용하여 서버를 구성하고 관리하게 됩니다.• 법안/법령/정책 등 고객에게 제공하는 다양한 종류의 데이터를 웹 또는 공공 API에서 수집하는 일을 합니다.• 데이터를 수집하는 여러 크롤러의 데이터 파이프라인을 구축 및 운영합니다.","• JavaScript(ES6 이상), node.js 개발 능력을 보유하신 분• RDB 또는 Nosql 설계 및 개발이 가능하신 분• HTML5, CSS3, 웹 표준의 이해가 높으신 분• 유연한 문제해결 능력과 투명한 커뮤니케이션 역량을 보유하신 분• 담당 업무에 몰입할 수 있고, 그 과정에서 얻게 되는 성취와 성장에 가치를 두는 분• 서비스 품질에 대한 책임감과 개선에 대한 의지가 있으신 분.","• Typescript, Python 개발 경험이 있는 분• Beautifulsoup4, Puppeteer 능숙하신 분• ELK를 이용하여 데이터 인덱싱 또는 API 연동 경험이 있는 분• Apache Airflow를 이용하여 크롤러 스케줄링 및 운영 경험이 있는 분• 어려운 문제를 주도적으로 해결한 경험이 있거나 즐기는 분• 긍정적이고 능동적인 마인드를 보유한 분• 변하는 상황에 맞춰 다양한 업무를 경험하고 싶은 분• 성장하는 스타트업을 경험하고 싶으신 분."
카카오뱅크(kakaobank),"• 내부인증 서비스 : Directory Service, OIDC, SAML 등의 기술을 활용하여 내부 서비스 접근에 대한 인증 개발 및 운영• 로그관리 서비스 : AWS, OpenSearch 등을 활용하는 사내 로깅 시스템 개발 및 운영• 대외연계 서비스 : 은행 상품과 관련된 외부시스템 연계 및 데이터 변환 서비스 개발 및 운영• 정보보호 서비스 : 시스템 및 DB 접근통제 시스템 개발• 네트워크 서비스 : 외부 통신을 위한 오픈소스 운영과 통신 통제 및 관리를 위한 시스템 개발.",• Java를 활용한 서비스 운영 5년 이상 12년 이하인 분• 리눅스 및 주요 오픈소스(nginx 등) 활용 가능한 분.,"• RDBMS의 활용 및 이해가 뛰어난 분• 네트워크 및 암호화에 대한 활용 및 이해가 뛰어난 분• 클라우드 환경에서의 개발경험이 있는 분• Kotlin, Golang, 쉘스크립트 등의 활용 및 이해가 뛰어난 분."
빗썸,• 서비스 신뢰성 및 관측 가능성(Observability) 확보를 위한 모니터링 시스템 개발 및 운영 • 장애 대응 자동화 시스템 구축• 데이터 기반의 AIOps 도입 및 운영• 업무 자동화 및 개발 생산성 향상을 위한 도구 개발.,"• 3년 이상 또는 그에 준하는 실무 경험을 보유하신 분• RESTful API 설계 및 개발 경험이 있으신 분• Java(Spring boot), Python, Go 중 하나 이상의 언어를 사용하여 백엔드 서비스를 개발하고 운영해 본 경험이 있으신 분• 문제 해결을 위해 주도적으로 원인을 분석하고, 능동적으로 개선 과제를 실행하는 분• RDBMS, NoSQL, Kafka, Redis 등 다양한 데이터 저장소 및 메시징 큐 활용 경험이 있으신 분.","• 대규모 트래픽을 받는 서비스의 설계, 개발, 운영 경험이 있으신 분• Prometheus, Grafana, ELK Stack 등을 활용해 관측 가능성(Observability) 시스템을 구축하고 운영해 본 경험이 있으신 분• AIOps, 머신러닝, 통계적 분석을 통한 이상 징후 탐지 시스템 개발 또는 운영 경험이 있으신 분• 클라우드 환경(AWS, GCP 등) 및 컨테이너(Docker, Kubernetes) 기반 서비스 운영 경험이 있으신 분• 새로운 기술 습득에 대한 열정과 동료와 기술적 지식을 나누는 것을 즐기시는 분."
빗썸,"• 미션 크리티컬 서비스에 적합한 CI/CD(GitOps 등) 파이프라인을 구축하고 운영을 안정화하여, 개발자들이 신속하고 안전하게 배포할 수 있는 환경을 제공합니다.• 수백 대의 멀티체인 노드의 배포, 업데이트, 장애 복구를 자동화하는 안정적인 시스템을 구축하며, 이 과정에서 업계 최고 수준의 노드 운영 전문성을 쌓을 수 있습니다.• 단순한 장애 대응을 넘어, SLI/SLO 정의를 시도하고 데이터 기반의 의사결정을 지원하며 팀에 SRE 문화를 도입하고 정착시키는 기반을 마련합니다.• Prometheus, Grafana, ELK 등을 활용하여, 개발자들이 쉽게 자신의 서비스 상태를 모니터링하고 로그를 추적할 수 있는 표준화된 관측 가능성 환경을 구축합니다.","• DevOps 또는 SRE로서 시스템의 설계, 구축, 운영 경험을 보유하신 분• Kubernetes, Docker 등 컨테이너 오케스트레이션 플랫폼 운영 경험을 보유하신 분• IaC(Infrastructure as Code) 도구(Terraform, Ansible 등) 사용 경험을 보유하신 분• CI/CD 파이프라인(Jenkins, GitLab CI, ArgoCD 등) 구축 및 운영 경험을 보유하신 분• Python, Go, Shell 등 스크립트 언어를 활용한 자동화 개발 역량을 보유하신 분• 개발자 경험(DX) 향상 및 플랫폼 구축 방향성에 대한 높은 관심을 보유하신 분.","• 클라우드(AWS/GCP) 환경에서 대규모 트래픽 시스템의 인프라 아키텍처를 주도적으로 설계/구축해 본 경험을 보유하신 분• Prometheus, Grafana 등을 활용한 관측 가능성 시스템 구축 경험을 보유하신 분• 실제 블록체인 풀노드(비트코인, 이더리움 등) 운영 경험을 보유하신 분• 네트워크 및 시스템 보안에 대한 깊은 이해를 보유하신 분• 플랫폼 초기 구축 단계에서, 개발자의 불편함을 공감하며 주도적으로 문제를 정의하고 기술적 해결책을 제시하는 역량을 보유하신 분• 반복 작업을 자동화하고, 로그/데이터 기반으로 장애 원인을 논리적으로 분석/해결하는 SRE 접근 방식에 익숙하신 분[근무조건]• 고용형태 : 수습평가 후 정규직 전환• 근무장소 : 서울 강남구 테헤란로 124 삼원타워 (주)빗썸 본사• 급여 : 회사 내규에 따름 (인터뷰 후 결정)."
틸다,"Metheus 팀의 BE Engineer는 다음과 같은 역할을 맡고있습니다.• 고객사의 요구사항에 기반한 전반적인 서비스 인프라 환경을 설계·구축합니다.• 서비스 요구사항을 충족하는 Backend API 서버를 설계하고 구축합니다.• AI 모델을 효율적으로 서빙하기 위한 전략을 수립하고, 이를 위한 API 및 시스템 아키텍처를 설계·구축합니다.• CI/CD 파이프라인을 설계·구축하고, 이를 통해 애플리케이션을 안정적으로 배포 및 운영합니다.• 여러 실무자들과 협업하여 기능을 구현하고 검수합니다.BE Engineer Intern 포지션은 위 업무의 보조 및 일부 기능 개발을 담당하게 됩니다.","• Python 기반의 웹 프레임워크(FastAPI, Flask 또는 Django) 개발 경험 있으신 분• Docker, Kubernetes 등 컨테이너 기술을 활용한 서비스 배포 경험이 있으신 분• AI 모델 서빙을 위한 시스템 설계 또는 ML 시스템과의 연동 경험이 있으신 분• 협업을 위한 열린 자세와 논리적인 의사소통 능력을 갖추신 분• 회사와 함께 성장하고자 하는 의지가 있으신 분.","• 클라우드 환경(AWS, GCP 등)에서 인프라를 설계하거나 운영해본 경험이 있으신 분• 인공지능 서비스의 개발부터 배포까지 전체 라이프사이클을 주도적으로 수행한 경험이 있는 분• 다양한 산업 분야의 지식 및 데이터를 유연하게 이해하실 수 있는 분• 특정 언어나 기술 스택에 얽매이지 않고, 새로운 도전과 학습을 즐기며 문제 해결 중심의 사고방식을 가진 분• AI 분야 및 스타트업에서 경험이 있는 분• 오픈소스 프로젝트에 코드 기여 및 커뮤니티 활동을 수행한 경험이 있는 분."
버즈니(Buzzni),• 검색 백엔드 시스템 개발• 검색 관련 인프라 운영 관리.,"• 상용 서비스를 개발하고 운영해본 경험이 있거나, 빠르게 실무 역량을 발휘할 수 있는 분.","• 다른 사람이 작성한 코드의 구조와 로직을 빠르게 이해하고, 필요 시 효과적으로 리팩터링할 수 있는 역량을 갖추신 분• 백엔드 개발 실무 경험이 2년 이상 있으시거나, 이에 준하는 기술적 이해도를 보유하신 분• Elasticsearch를 활용하여 검색 또는 분석 시스템을 구축한 경험이 있으신 분• 테스트 코드의 중요성을 인지하고, 상황에 맞는 테스트를 개발 과정에 자연스럽게 통합하실 수 있는 분• 빌드, 테스트, 배포의 자동화(CI/CD) 환경을 구성하고 운영해본 경험이 있으신 분• Kubernetes 등 컨테이너 오케스트레이션 환경에 대한 이해와 실무 경험이 있으신 분• AWS 기반의 인프라 환경에서 서비스 운영 경험이 있으신 분[기술스택]• 프로그래밍 언어: Python• 인프라: AWS, Amazon EKS, Kubernetes On-Premises (hybrid)• 모니터링: Sentry, Elastic Stack, Prometheus & Grafana• 데이터베이스: Postgres, Redis, MongoDB■ 버즈니 소개버즈니는 인공지능 기술 기반 서비스 회사입니다. 2008년 세계 검색 대회 TREC 에서 1위(KLE팀)를 하면서 남다른 기술 DNA를 가지고 시작했습니다. 이후 모바일 시대에는 모바일 커머스 플랫폼 ‘홈쇼핑모아’로 성장했으며, 그 과정에서 이커머스에 필요한 다양한 커머스 AI기술들을 개발해 왔습니다.AI라는 큰 시대적 흐름에 맞춰 지난 2020년에는 버즈니 AI Lab을 출범하면서 다양한 커머스 AI 기술을 선도적으로 연구개발하고 있습니다. 2024년에는 커머스AI 기술을 누구나 쉽게 구독하여 비즈니스 효과를 만들 수 있는 커머스AI 구독 비즈니스 ‘에이플러스 AI’를 시장에 제공하며 빠르게 성장하고 있습니다.올해 모바일 커머스 플랫폼 ‘홈쇼핑모아’는 버즈니의 커머스AI 기술로 새로운 성장 동력을 얻고 있습니다. 버즈니의 신규 비즈니스인 커머스AI 구독 서비스 ‘에이플러스 AI’도 대형 이커머스사를 주요 고객사로 확보하면서 새롭게 성장하고 있는 국내 커머스AI 구독 서비스 시장을 빠르게 선점하고 있습니다.■ 버즈니가 걸어온 성장의 즐거움• 2024 커머스AI 구독 서비스 'APlus AI' 런칭• 2023 쇼핑 GPT '옥순AI' 베타 서비스 런칭 홈쇼핑모아 1500만 누적 다운로드 돌파• 2022 홈쇼핑모아, 현대홈쇼핑과 더블유쇼핑 상품 바로결제 도입• 2021 일생활균형 서울형 강소기업 선정• 2020 아시아 태평양 고성장 기업 20202 선정• 2019 대한상공회의소 일하기 좋은 중소기업 선정• 2019 고용노동부 일생활 균형 우수기업 선정."
한국신용데이터(KCD),"• Agentic AI 기반 채팅 서비스 아키텍처 설계 및 API 서버 개발• 사용자 대화 세션 관리, 요청 로깅, 캐시 등 시스템 구성• BE 구성 요소의 성능 최적화 및 모니터링 체계 구축• 캐시노트 서비스 및 데이터 자산과 연동• AI 모델 서빙, 비동기 처리, 인프라 설계 등 데이터 과학자, AI/ML 엔지니어와 협업• 인프라 장애 대응, 운영 효율화, 보안 강화 등을 포함한 시스템 고도화.","• 서비스를 신규로 설계하고 구축한 경험• Java/Kotlin + Spring Framework로 서비스를 개발한 경험• 비즈니스 요건을 빠르게 이해하고 능숙하게 데이터 모델과 API를 디자인할 수 있는 역량• 메시지 큐, 캐시, 세션 등 대화형 서비스 특화 경험.","• ML 모델 서빙, MLOps 또는 LLM 관련 경험• Chatbot / Voicebot / Conversational AI 관련 서비스 운영 경험• 데이터/AI 기반 스타트업 또는 빠른 실험 환경에서의 제품 개발 경험."
빗썸,"• 월렛 시스템과 블록체인 노드를 안전하게 격리하고 보호하기 위해, VPC, Subnet, Security Group, VPN 등을 활용한 보안 중심의 네트워크 아키텍처를 설계하고 운영합니다.• 24/7 중단 없는 입출금 서비스를 위해 Multi-AZ/Region을 활용한 고가용성 및 재해 복구아키텍처를 주도적으로 설계하고 구축합니다.• 개발자들이 안정적으로 서비스를 운영할 수 있도록 Kubernetes(EKS/GKE) 클러스터를 설계, 구축하고 네트워킹(CNI) 및 보안 정책을 수립합니다.• Terraform을 중심으로 모든 인프라 자원을 코드로 관리(IaC)하여, 반복 가능하고 일관성 있는 인프라 환경을 구축하고 고도화합니다.• 수백 대의 노드와 서버 리소스 사용량을 모니터링하고, 비즈니스 요구사항과 안정성을 고려한 비용 최적화 방안을 수립하고 실행합니다.","• 클라우드(AWS/GCP) 환경에서 인프라 아키텍처를 주도적으로 설계, 구축, 운영해 본 경험을 보유하신 분• IaC(Infrastructure as Code) 도구(특히 Terraform)를 활용한 인프라 관리 경험을 보유하신 분• 네트워크(TCP/IP, VPC, Subnet, LB, Firewall, VPN)에 대한 깊이 있는 이해를 보유하신 분• Kubernetes(EKS/GKE) 클러스터 설계 및 구축/운영 경험을 보유하신 분• Linux 시스템 엔지니어링 및 트러블슈팅 역량을 보유하신 분.","• 클라우드 환경에서의 고가용성 및 재해 복구 아키텍처 설계/구축에 대한 깊이 있는 전문성• Kubernetes 네트워킹(CNI) 및 보안(Network Policy 등)을 포함한 심층적인 클러스터 설계/운영 경험• 클라우드 네이티브 보안(IAM, WAF, KMS, Security Group 등)에 대한 깊은 이해 및 아키텍처 적용 경험• 핀테크, 거래소 인프라 또는 실제 블록체인 풀노드 운영 인프라를 다뤄본 경험• 초기 구축 단계에서 시스템 전체를 조망하며, 주도적으로 최적의 아키텍처를 제안하고 구축하는 역량• 비즈니스 요구사항과 비용 효율성을 모두 고려하여 인프라를 설계하고, 개발팀과 원활하게 소통하는 능력[근무조건]• 고용형태 : 수습평가 후 정규직 전환• 근무장소 : 서울 강남구 테헤란로 124 삼원타워 (주)빗썸 본사• 급여 : 회사 내규에 따름 (인터뷰 후 결정)."
이노그리드,"• 자사 IaaS 솔루션의 기능 설계 및 개발• 가상화 환경 기반의 자원 관리, 네트워크 통합 기능 개발• 인프라 자동화 및 DevOps 환경 구축에 필요한 기능 구현• 클라우드 기술 트렌드 기반의 신규 기술 적용 및 내부 시스템 고도화• 기능 요구사항 분석 및 기술 검토, 신규 오픈소스 도입 검토• 버전 관리, 품질 관리, 배포 관리 등 개발 Lifecycle 운영• 타 부서, 외부 고객/협력사와의 기술 커뮤니케이션 및 협업.","• Java 및 Spring Boot 기반의 백엔드 개발 경험자• React 기반 프론트엔드 개발 경험자• RDBMS (MySQL, PostgreSQL 등) 기반의 DB 설계 및 쿼리 작성 가능하신 분• Linux 기반 환경에 대한 기본적인 사용 경험• 개발자 및 타 팀과의 커뮤니케이션에 능숙하신 분• 클라우드 또는 인프라 관련 개발에 관심 있는 분 (직무 교육 및 학습 환경 제공)• 개발자 및 관련 부서와의 원활한 커뮤니케이션 역량 보유자• 형상관리 도구(Git 등) 사용 경험.","• OpenStack 기반 인프라 서비스(IaaS) 개발 경험자• OpenStack, VMware 등 프라이빗 클라우드 인프라 구축 및 사용 경험자• KVM 기반 가상화 환경에 대한 이해 및 관련 개발 또는 운영 경험자• 클라우드 솔루션(CMP, 서비스포탈 등) 개발 및 운영 경험자• Git, Jira, Confluence 등 협업 도구 기반의 Agile 문화에 익숙한 분• DevOps 도구(Terraform, Ansible 등) 및 인프라 자동화에 관심 있는 분• 기술 문서 작성, 감리 대응, 산출물 작성 경험 보유자• MSA(Microservices Architecture)에 대한 기본적인 이해 또는 구현 경험• 신규 기술 도입에 열려 있으며, 팀을 성장시키고 싶은 리더십을 가진 분• 공공/금융/기업 대상 B2B 클라우드 프로젝트 경험자• 클라우드 자격증 보유자(OpenStack, Kubernetes, AWS 등)."
