기업명,주요업무,자격요건,우대사항
소울아트,• Pose Estimation을 비롯한 다양한 인간 인식과 관련된 AI 모델을 개발합니다.• 다양한 플랫폼에서 구동가능한 Soulart AI Platform에 맞는 모델을 설계 및 최적화합니다.• 소비자와 산업군과 직접 이야기하며 빠르게 제품을 발전시킵니다.• 핵심 AI 알고리즘을 사용할 다양한 사용자 경험을 설계합니다.,"저희는 요건을 넘어, 문제 해결과 기술에 관심있는 다양한 사람들과 이야기하고 싶습니다.• 사무실 대면근무• 인간 인식에 대한 깊은 관심• Motion Detection, Optical Flow 등 다양한 CV 알고리즘에 대한 이해• 실제 서비스 환경에서의 모델 성능 모니터링 및 개선 경험• 이론적 연구를 넘어 실제 프로덕트로 이어질 수 있는 통찰과 책임감.","우대사항에 대한 모든 업무를 담당하지 않으며 경험에 맞는 포지션 배치가 이루어집니다.• RGB, Depth, LiDAR, IMU 등 다양한 물리 센서 기반 AI 모델 개발 경험• Pose Estimation, Action Recognition 등 Human-centric한 AI 모델 개발 경험• TensorFlow, PyTorch를 통한 ONNX 모델 개발 경험• Docker, AWS를 통한 학습 파이프라인 경험• CUDA, OpenCL등을 통한 GPGPU의 이해 (Custom Operator)• 최신 논문 및 트렌드에 대한 이해• 국제 학회 참가, 학술지 저술 등의 경험."
코클,• Cochl.Sense 서비스 제공을 위한 사운드 AI 모델 연구 및 개발• 마이크 어레이 기반 DoA (Direction of Arrival) 알고리즘 등 신호처리 연구 개발• 학습 데이터셋 구축 및 관리.,"• 컴퓨터 공학, 전자공학, 소프트웨어 공학 혹은 유사 전공 석사 이상 학위 소지자• 오디오 신호 처리에 대한 대한 기본 지식• 딥러닝 프레임워크 (PyTorch, TensorFlow 등)를 활용한 모델 설계, 학습, 평가 전반에 대한 수행 경험• 영어로 기본적인 의사소통 가능하신 분.","• 음성/음향 신호처리, 딥러닝 관련 학회/학술지 논문 개재 경험• 자기 주도적이고 책임감 있는 분• 팀원들과의 커뮤니케이션이 원활한 분."
뷰런테크놀로지,"• 3D Point Cloud, Multi-modal Sensor Fusion 등을 기반으로 실시간 3D 인지 딥러닝 모델 연구• 예측 불가능한 환경에서도 모델이 안정적으로 작동하도록 일반화 성능 개선• 자율주행/ADAS 및 스마트 인프라 분야에 적용될 뷰런만의 딥러닝 인지 모델 개발• 모델의 학습, 평가, 배포 과정을 자동화하는 MLOps 파이프라인 구축.","• 컴퓨터공학, 전자공학 등 관련 분야의 학사 학위 이상인 분• Python 활용에 능숙하신 분• Vision, LiDAR 관련 딥러닝 모델을 설계, 학습, 디버깅한 경험이 있으신 분• 어려운 문제 앞에서 '할 수 있다'는 긍정적인 믿음으로 해결책을 찾을 수 있는 분• 동료의 의견을 존중하고 적극적인 기술 공유와 토론을 통해 함께 성장하는 것을 즐기는 분.","• 컴퓨터 비전, 딥러닝, 머신러닝 관련 석사 또는 박사 학위가 있으신 분• 3D 도메인 딥러닝(Point Cloud 처리, 3D Object Detection 등) 관련 프로젝트나 연구 경험이 있으신 분• 자율주행, 스마트 인프라 분야에서 딥러닝 기반 컴퓨터 비전 기술을 상용화 수준까지 개발해 본 경험• 임베디드 시스템이나 Edge Device 환경에 모델을 배포하고 최적화해 본 경험• 주요 패턴 인식 학회(CVPR, ECCV, ICLR 등)에서 제1저자로 논문을 발표한 경험• C/C++ 및 CUDA 프로그래밍을 통한 고성능 컴퓨팅 경험이 있으신 분."
네오사피엔스(타입캐스트),• LLM 기반의 음성 합성 (TTS) 모델 연구 및 개발• 대화를 위한 음성 합성 모델 연구 및 개발• 음성 합성 관련 신기술 연구 개발 및 실제 서비스 적용• 기존 모델의 문제점 진단 및 해결을 위한 실험• 고품질의 모델 학습을 위한 데이터 수집/정제 파이프라인 구축 및 개선.,• 음성 합성 또는 LLM 관련 분야 석사 포함 3년 이상의 연구 경험 (또는 그에 준하는 역량)• Python 및 PyTorch/Lightning/Deepspeed 등 딥러닝 프레임워크에 능숙하신 분• 딥러닝 및 머신러닝에 대한 탄탄한 이론적 지식을 보유하신 분.,"• 음성 데이터 베이스 구축 경험• 대용량의 데이터를 다루어 본 경험• 딥러닝 관련 학회 논문 게재 경험• 아래 주제에 대한 연구 경험 • Multi-modal (speech, text) LLM • Emotional speech synthesis • Conversational speech synthesis • Turn-Taking and Backchannel Prediction • Speech-to-speech model."
다비오(Dabeeo),"① 인공지능 기술 개발 정보 관리• 사내/외 AI 기술 개발 동향, 연구 논문, 경쟁사 기술 자료 수집 및 관리• 기술 로드맵 및 AI R&D 포트폴리오 업데이트 및 문서화• 사내 기술 문서(모델 구조, 성능지표, 데이터셋, 알고리즘 개선 내역 등) 체계적 관리• 특허, 인증, 표준화 관련 기술자료 정리 및 제출 지원② 인공지능 기술 프로젝트 관리 (AI R&D PM)• AI 기술개발 단계의 일정, 인력, 성과물 관리• 연구개발 단계별 목표(KPI) 설정, 성과 측정 및 리포트 작성• 외부 연구기관, 산학협력기관, 협력사와의 기술 커뮤니케이션 및 조율• 정부지원과제, 민군겸용사업 등 Tech Program 관리③ 사업부 기술 서류작업 및 지원 (B2G / B2B 사업 지원)• B2G/B2B 기술 제안서, 협약서, 보고서 등 기술 기반 문서 작성 지원• 기술 세미나, 미팅, 전시회 등 대응 시 기술적 브리핑 및 자료 준비• 사업부 간 기술 커뮤니케이션 및 인공지능 기술 진행 관리.","• AI 기술(R&D, 모델, 데이터 파이프라인)에 대한 이해• 프로젝트 관리 경험(PM 또는 PL) 또는 정부 R&D 과제 수행 경험• 기술문서, 제안서, 산출물 작성 능력 및 문서 표준화 역량• 영어 기술문서 독해.","• 국책과제 제안서 작성 및 관리 경험• 공공기관 기술사업(B2G) 제안 경험• 논문/특허 작성, 기술표준 관련 업무 경험• Slack, Jira, Notion, Confluence 등 협업툴 활용 경험."
디플리,"사운드 딥러닝 모델 연구/개발• 논문 연구 및 딥러닝 실험을 통해 리얼월드에서 작동 가능한 모델 개발• 전체 팀과 협업하여 데이터 파이프라인 구축, 모델 통합, 성능 개선 진행• 컨퍼런스 논문 작성 및 참가.",아래 요건 중 적어도 한 개 이상 해당되시는 분• 관련 분야 석사 학위 이상• 관련 분야 회사 경력 2년 이상.,"• 매사에 긍정적이고 커뮤니케이션에 적극적이신 분!• 현장 설치된 솔루션에 적용된 딥러닝 모델 개발/운영 경험• 오디오 관련 분야의 경험이 있으신 분; 논문 재현, 오디오 데이터 전처리, 라벨링/어노테이션 워크플로우 설계• 딥러닝 관련 학회 논문 게재 경험."
딥아이,"• 머신비전 영상 데이터 전처리 및 정제• 영상 기반 주요 특징 추출 및 이상 탐지 알고리즘 개발• 객체 탐지, 분할, 이상 탐지 등 AI 모델 개발 및 성능 개선• 산업 현장 영상 기반 AI 모델의 실증 및 고도화• 데이터셋 구성, 증강, 자동 라벨링 및 품질 검증 파이프라인 구축• AI 영상처리 파이프라인 최적화 및 실시간/경량화 대응• 오픈소스 기반의 논문 구현 및 최신 기술 적용.","• 컴퓨터비전, 머신러닝, 전자/광학 영상 처리에 대한 전반적인 이해• 영상처리 및 분석 관련 라이브러리 활용 경험 (OpenCV, Numpy, Scikit-Image 등)• 머신러닝/딥러닝 기반 영상 처리 모델 구현 (TensorFlow, PyTorch 등)• 대규모 또는 고해상도 이미지 데이터 처리 경험• 팀 프로젝트, 산학연구 또는 기업 연구 수행 경험.","• 산업용 머신비전 시스템 개발 또는 영상 검사 시스템 실무 경험• 이미지 AI 모델의 경량화 및 실시간 추론 최적화 경험• AI 기반 자동 검사 시스템 개발 또는 실증 경험• MLOps 환경 구성 및 운영 경험 (MLflow, Docker, Kubernetes, Airflow 등)• 논문 구현 또는 오픈소스 알고리즘 재현 및 기술 리포트 작성 경험• 광학 시스템 또는 영상 센서에 대한 이해."
다비오(Dabeeo),"• 딥러닝 기반 컴퓨터 비전 모델의 개발 및 성능 개선(Object Detection, Semantic/Instance Segmentation, Change Detection)• 영상 데이터 전처리 및 학습 파이프라인 설계 및 구축• 모델 성능 분석 및 개선, 실환경 적용을 위한 최적화• 최신 논문 및 기술 동향 조사 및 적용• 외국인 연구원과의 협업 등 글로벌 커뮤니케이션.","• 컴퓨터비전 또는 딥러닝 관련 분야에서 2년 이상의 경력(대학원 연구 경험도 경력으로 인정)• PyTorch, TensorFlow 등 딥러닝 프레임워크 활용 능력• 다음 중 하나 이상의 프로젝트 경험(Object Detection, Image Segmentation, Change Detection)• 이미지 및 영상 기반 데이터 처리 및 분석 능력• 팀 내 영어 커뮤니케이션이 가능한 수준의 의사소통 능력.","• 전통적인 컴퓨터비전 알고리즘에 대한 이해(특징 추출, 영상 정합, 필터링, 형태학적 처리 등)• 위성/항공/드론 영상 데이터 처리 경험• GIS(지리정보시스템) 또는 공간데이터 관련 지식• 모델 경량화 및 최적화 경험(ONNX, TensorRT 등)• MLOps, 모델 배포, 실서비스 적용 경험• 논문 구현, 오픈소스 기여 또는 GitHub 포트폴리오 보유• Python 고급 활용 능력(대용량 이미지 처리, 병렬 처리, 대규모 데이터 파이프라인 개발 경험)."
블루개러지(Blue Garage),"AI Sound/Voice Engineer 포지션은 새로운 형태의 인터랙티브 엔터테인먼트와 팬을 실시간으로 연결하는 음성 AI 스택을 책임집니다.페르소나에 적합한 보이스 생성/클로닝/믹싱부터 비언어적 표현을 담은 저지연 TTS, ASR, 턴테이킹, 음악생성 등 자연스러운 커뮤니케이션을 연구/구현하여 팬들에게 매력적인 경험을 제공합니다.• 다양한 페르소나의 음성 스타일을 재현하는 음성합성 및 보이스 클로닝 개발• 자동 음성 인식(ASR) 및 저지연 emotional TTS 개발 및 스트리밍 추론 최적화• 자연스러운 음성 대화 흐름 제어를 위한 턴테이킹 감지 및 중도 발화 처리• 생성형 AI를 활용한 음악 생성 모델 연구 및 프로토타이핑.","• 관련 분야 전공 석사 이상 학위 소지자 혹은 그에 준하는 3년 이상 연구/개발 경력 보유• PyTorch, TensorFlow 등 딥러닝 프레임워크에 대한 뛰어난 이해와 구현 능력• 음성합성 및 음성인식 분야 딥러닝 모델 개발 경력 필수• VITS, XTTS, Piper 등 최신 TTS 구현 및 파인튜닝 경험, 또는 Whisper, Wav2Vec 등 최신 ASR 모델 활용 경험• FFT, Mel-Spectrogram, 음성 코덱 등 음성 신호처리 및 음향학 기초 지식 보유.","• GPT-SoVITS, Coqui 등 음성 관련 오픈소스 프로젝트를 직접 파인튜닝하거나 기여한 경험• 실시간 추론을 위한 모델 최적화(ONNX, TensorRT 변환, 양자화 등) 경험• 스트리밍 STT/TTS 서비스 개발 경험 및 VAD 기반 barge-in 처리 경험• Speaker diarization, VAD, Echo cancellation 등 고급 음성 처리 과제에 대한 경험• 음악 생성 또는 오디오 합성 관련 프로젝트 경험 또는 음악 이론에 대한 지식과 머신러닝을 접목한 연구 경험."
딥브레인에이아이,"• 딥러닝 모델 연구 개발 - 얼굴 및 몸 영상 생성 및 합성 (2D 또는 3D) - 음성 합성 (TTS) 및 음성 변환 (VST) - 딥페이크 탐지 (영상 및 음성) - 자연어 처리 (LLM, G2P 등)2.영상, 음성, 텍스트 처리 및 분석 기술 개발3.딥러닝 모델 최적화 및 서버 개발 (MLOps).",관련 분야 전공자 및 경력자관련 알고리듬 및 라이브러리 전문가석사 이상 학위석사 신입 전문연구요원 가능.,"관련 분야 성과 (논문, 특허, 서비스 출시 등)."
나비프라,• Navi-Infra의 센서 개발(multi-camera 기반)• 컴퓨터비전 알고리즘 개발• 3D Measurement• object tracking• 3D 데이터 활용 알고리즘 개발.,• 컴퓨터비전 기술 보유자• C++ 프로그래밍 능력을 갖춘 분.,"• 머신비전 개발 경력자• AI 활용 유경험자(object detection, segmentation 등)• 자율주행 및 로보틱스 관련 개발 경험(SLAM, ROS 등)• 관련 분야 석/박사 학위자."
튜닙,"• LLM 연구개발• 멀티모달 입력(텍스트+이미지+음성)에 대응하는 가드레일 모델 설계• 공격(prompt injection, jailbreak 등) 탐지 및 방어 알고리즘 개발• 방어 정책 데이터 생성·정제·파인튜닝2. 비전(Visual) 모델 연구• 이미지·영상 기반 위험 콘텐츠 탐지 (예: 폭력, 선정성, 불법행위 등)• 시각적 공격(Vision Adversarial Attack) 탐지 및 방어• 멀티모달 인식기와 LLM 간 인터페이스 설계3. 음성(Audio) 모델 연구• 음성 대화형 에이전트용 공격 탐지 및 음성 기반 필터링 모델 개발• ASR/STT + 감정·의도 인식 기반 위험 판단4. 데이터 구축·라벨링 기획/운영• 가드레일 학습용 텍스트·음성·영상 데이터 수집 및 어노테이션• 위험/비위험 데이터셋 기획, 품질 검수 체계 설계.",• 학사 이상 (AI/컴퓨터공학/전자공학/인지과학/언어학 등 관련 전공 우대)• Python 및 PyTorch/TensorFlow 기반 모델 구현 가능• 연구개발 과제 및 논문 리서치 경험자 우대.,"• GPT, Claude, Gemini 등 LLM 내부 구조 이해가 높으신 분• RLHF/Direct Preference Optimization 경험자• 안전·윤리·검열 모델 설계 경험자• CLIP, Flamingo, LLaVA, Kosmos 등 사용 경험자• 영상 인식·세그멘테이션·OCR 경험자• Whisper, NeMo, Wav2Vec 등 활용 경험자• 한국어 음성 데이터 처리 경험자• 데이터 구축 사업 경험자• Annotation 도구 설계 및 관리 경험자."
엑소시스템즈,"• 영상 및 IMU 센서를 활용한 동작분석 기반 신체기능평가 알고리즘 개발 및 경량화• 멀티 센서(영상, IMU, EMG 등) 데이터 동기화 및 정합성 확보를 위한 SW 아키텍처 설계• 실험환경 구축을 통한 기술 검증 및 서비스 품질 개선• 협업 부서와의 협업하여 기술문서 작성.","• 동작분석 알고리즘 개발 및 관련 프로젝트 프로폴리오 보유하신 분 • 최신 논문을 분석하여 적용해본 경험이 있으신 분• TensorFlow, PyTorch, MediaPipe 등 활용 경험이 있으신 분.",• 관련전공 대학원 석/박사 학위를 보유하신 분• 스포츠 과학 관련 분야 프로젝트 경험이 있으신 분• 최신 AI 연구논문을 분석하고 구현 및 적용 경험이 있으신 분• 데이터 수집부터 개발까지 AI 솔루션 개발 전주기 경험을 보유하신 분 • 데이터 수집을 위한 노하우를 보유하신 분.
포도노스,"• 음성, LLM 관련 모델 설계, 학습, 테스트, 성능평가 및 배포• 다양한 형태의 데이터를 수집, 처리, 가공 등을 통해 세계 최고 성능의 AI 모델을 학습• 과학과 비지니스에 기반한 결정을 통한 최적의 모델 요구사항 수립• 다른 직군의 동료들과의 협업을 통해 고객의 문제를 해결할수 있는 ML 모델을 찾고, 학습 및 배포• 여러 학회, arxiv, github등의 공유되는 논문 및 코드를 읽고 실험하고, 모델 개발의 방향을 제시.","• 도전적인 연구 프로젝트를 처음부터 끝까지 주도적으로 끝마친 경험과 문제해결 능력을 갖추신 분• PyTorch, Tensorflow 등의 ML 프레임워크에 익숙하고, Python 프로그래밍에 능숙하신 분• 머신러닝 분야에서 3년 이상의 경력 혹은 이에 준하는 연구 결과를 보유하신 분• 복잡한 기술적 내용을 비기술 직군 동료들에게도 명확하게 전달할수 있는 커뮤니케이션 능력을 가지신 분• 이공계 AI/ML 관련 분야에서 학사 이상의 학위를 보유하신 분.","• 이공계 AI/ML 관련 분야에서 석사 이상의 학위를 보유하신 분• Interspeech, NeurIPS, ICML, ICLR 등 Top-tier 컨퍼런스 혹은 저널의 논문 실적을 보유하신 분• 음성 혹은 NLP 분야에서의 전문성을 보유하신 분• AI 모델을 학습시키고, 실제 사용자에게 전달해본 경험이 있으신 분• 스타트업 환경에서 연구 개발을 성공적으로 수행한 경험이 있으신 분."
슈퍼진,"・LLM과 Speech 모델을 결합한 대화형/실시간 에이전트 서비스 구축・텍스트-음성(TTS), 음성-텍스트(ASR) 모델의 개발·최적화 및 경량화・Neural Speech Codec 기반 음성 토큰화 및 LLM 연동 연구 (EnCodec, DAC, SNAC 등)・대규모 음성 데이터셋 수집·정제·전처리 및 학습 파이프라인 설계・최신 오픈소스·논문 기술 분석 및 서비스 적용 전략 수립・참고링크 : https://aoi.live/home.","・경력 2년 이상 또는 석사 학위 이상에 준하는 전문 연구 역량 보유자・딥러닝 기반 음성 처리(ASR/TTS) 중 하나 이상 모델 구현 및 연구 경험・대규모 음성 데이터셋 가공/전처리 및 분산 학습 경험・AI 관련 특허·논문, 국제 학회 발표 경험・Transformer, Conformer, Flow-matching, Diffusion 기반 모델 구조 이해・Python, PyTorch 기반 연구·개발 능력(슈퍼진이 원하는 분)・사용자 관점에서 세심하게 문제를 발견하고 신속하게 해결하는 분・어려운 상황에서도 결과에 집중하여 끝까지 책임을 다하는 분・성과를 위해 끊임없이 고민하고 집요하게 실행으로 옮기는 분・주어진 역할에 최선을 다하며 새로운 역할과 도전에도 열려있는 분・서로의 차이를 존중하고 협업하여 팀에 긍정적인 영향을 주는 분.","・컴퓨터공학, 전기전자, 음성신호처리 등 이공계 석사 이상 (박사 우대)・멀티스피커·멀티언어 음성 합성 및 감정·스타일 제어 TTS 경험・LLM과 Speech 모델을 통합한 실제 프로젝트/서비스 경험・Neural Speech Codec 기반 TTS (LLaSa, CosyVoice, Orpheus 등) fine-tuning 경험 및 Streaming Inference 최적화 경험・ASR 최신 모델 경험: Whisper, Parakeet, Paraformer 등 Transformer/Conformer 기반 ASR 모델 활용 및 최적화 경험・Self-Supervised Learning 기반 음성 표현 학습 경험 (HuBERT, WavLM, wav2vec2 등)・서브컬쳐(애니메이션/게임/음성 합성 등)와 AI 접목에 관심 있는 분・일본어 능력 우대 (일본어 데이터셋 처리, 일본어 LLM/논문 이해 가능자)."
샵라이브,"• 글로벌 라이브 커머스 플랫폼에 AI 기능을 직접 설계하고, 전 세계 시청자에게 라이브 커머스의 경험을 바꿉니다.• LLM과 Multi-modal 모델을 실제 제품에 전략적으로 적용합니다. (GPT-4, Claude 등).• Agentic 아키텍처(LangChain, LangGraph, AutoGPT 기반)를 설계·구현합니다.• Memory + Vector DB + RAG로 문맥 이해와 응답 품질을 고도화합니다.",• 머신러닝/딥러닝 실무 3년 이상 또는 이에 준하는 프로젝트 경험 (주니어·시니어 모두 지원 가능)• Python 및 LangChain·LangGraph 등 라이브러리 활용 개발·서비스 경험이 있는 분• LLM 핵심 개념과 ML 파이프라인에 대한 전반적인 이해가 있는 분• 문제 해결에 주도적이며 도전적인 태도를 가진 분.,"• 대화형 AI, NLP, 음성인식 등 AI/ML 솔루션 실무 경험 보유하신 분• Vision-Language 등 Multi-modal 모델 활용 프로젝트 경험이 있는 분• 백엔드 서비스 구현 능력이 있는 분• Chain-of-Thought, Multi-step Reasoning을 활용한 복합 추론 파이프라인 설계 경험이 있는 분• AutoGPT, LangGraph 등 최신 Agentic Workflow 프레임워크 경험이 있는 분• RAG, Tool Use, Function Calling 기반 파이프라인 설계·튜닝 경험이 있는 분• 클라우드 환경에서 서비스를 개발해본 경험이 있는 분• Docker, Kubernetes 등 컨테이너 기반 자동화/배포 환경 경험 보유하신 분."
