Node_ID,Skill,Community_ID
1,.NET,0
2,.NET Core,0
7,AD Tech,0
522,SCSS,0
11,AML,0
524,SEO,0
526,SOLID,0
527,SPA,0
16,ASP.NET,0
536,SSR,0
25,AWS CloudFront,0
26,AWS CodePipeline,0
28,AWS ECS,0
29,AWS EKS,0
30,AWS ElastiCache,0
31,AWS Elastic Beanstalk,0
33,AWS Lambda,0
34,AWS OpenSearch,0
547,Semantic Markup,0
36,AWS RDS,0
549,Sentry,0
37,AWS Route 53,0
551,Shopify,0
40,AWS SQS,0
553,Slack,0
38,AWS S3,0
555,Snowflake,0
46,Amplitude,0
50,Angular,0
563,Spring Security,0
52,Ant Design,0
562,Spring Cloud,0
54,Apollo Client,0
569,Storybook,0
571,Styled-components,0
572,Superset,0
573,Svelte,0
574,Swagger,0
64,Axon Framework,0
66,BDD,0
67,BFF,0
582,TDD,0
72,Babel,0
74,Backoffice,0
588,Tailwind CSS,0
589,Tanstack Query,0
79,Biome,0
80,Bitbucket,0
600,Turborepo,0
601,TypeORM,0
96,CDC,0
101,CMS,0
105,CSS,0
617,VOC,0
110,Cafe24,0
115,Celery,0
628,Vite,0
629,Vitest,0
630,Vue,0
631,Vuex,0
116,Chart.js,0
117,ChatGPT,0
634,WMS,0
123,Cloudflare,0
121,Claude,0
124,CodeIgniter,0
638,Web API,0
639,Web Accessibility,0
127,Cohort Analysis,0
643,WebAssembly,0
132,Copilot,0
131,Confluence,0
646,WebKit,0
135,Crawler,0
649,WebView,0
650,Webpack,0
652,Whisper,0
140,Cursor,0
142,D3.js,0
144,DDD,0
148,DNS,0
661,XML,0
665,Yarn Berry,0
667,Zeplin,0
156,Data Mart,0
668,Zod,0
669,Zustand,0
161,DataHub,0
163,Databricks,0
164,Datadog,0
677,n8n,0
679,pytest,0
680,shadcn/ui,0
167,Debezium,0
170,Design System,0
177,DocumentDB,0
178,DynamoDB,0
179,E-commerce,0
185,ESBuild,0
186,ESLint,0
189,Elasticsearch,0
196,Excel,0
200,Express.js,0
207,Figma,0
220,Framer Motion,0
228,GSAP,0
231,Gemini,0
235,Git Flow,0
236,GitHub Actions,0
242,Google Analytics,0
245,GraphQL,0
258,Hadoop YARN,0
262,Hive,0
266,IAM,0
275,ISO27001,0
281,Impala,0
286,JPA,0
287,JSON,0
288,JSON-RPC,0
292,JavaScript(ES6+),0
294,Jest,0
298,Jotai,0
305,Kanban,0
317,LVGL,0
322,Laravel,0
337,Luigi,0
339,MAU,0
352,MSA,0
353,MSW,0
362,Media,0
364,Memcached,0
367,Metabase,0
369,Micro Frontends,0
370,Microsoft 365,0
376,MongoDB,0
384,NCP,0
388,NestJS,0
395,Node.js,0
397,Notion,0
399,Nuxt.js,0
402,O2O,0
404,OOP,0
406,ORM,0
432,PMF,0
433,PNPM,0
434,PO,0
437,PagerDuty,0
440,Payment,0
444,Pinia,0
446,Playwright,0
448,PostgreSQL,0
449,Postman,0
452,Prefect,0
453,Prettier,0
456,PropTech,0
462,Puppeteer,0
469,Qwik,0
483,RTK Query,0
485,RabbitMQ,0
486,Radix UI,0
489,React Native,0
491,Recoil,0
494,Redmine,0
496,Redux,0
497,Remix,0
498,Retention,0
503,Rollup,0
510,RxJS,0
4,3D Reconstruction,1
5,A/B Testing,1
263,HuggingFace,1
531,SQLAlchemy,1
276,ISTQB,1
277,ITIL,1
23,AWS Bedrock,1
283,JAX,1
542,Scikit-learn,1
544,Search Engine,1
546,Selenium,1
35,AWS QuickSight,1
42,Agile,1
43,Airflow,1
303,KVM,1
306,Kibana,1
565,Statistics,1
309,KubeFlow,1
55,Appium,1
314,LLM,1
316,LTV,1
61,AutoML,1
319,LangChain,1
320,LangGraph,1
65,Azure,1
321,LangSmith,1
327,LightGBM,1
587,Tableau,1
335,Looker Studio,1
596,Transformer,1
598,Triton,1
346,ML,1
347,MLFlow,1
348,MLOps,1
102,CPI,1
106,CSTS,1
108,CVAT,1
109,CX,1
624,Vertex AI,1
112,CatBoost,1
114,Causal Inference,1
378,Multi-Agent,1
380,Multimodal,1
385,NLP,1
393,No-code,1
398,NumPy,1
660,XGBoost,1
153,Data Cleansing,1
412,On-premise,1
413,OpenAI API,1
670,dbt,1
165,Dataflow,1
682,vLLM,1
171,DevOps,1
173,Diffusion,1
175,Django,1
688,정보처리기사,1
439,Pandas,1
443,Pillow,1
445,Planning,1
450,Power BI,1
455,Prompt Engineering,1
205,FastAPI,1
209,Fine-tuning,1
213,Flask,1
471,RAG,1
476,ROAS,1
226,GNN,1
490,Recharts,1
492,Redash,1
241,Google ADK,1
256,HTTP,2
513,SAN,2
514,SAP,2
518,SAP MM,2
6,ABAP,2
519,SAP S/4HANA,2
521,SCM,2
264,Hybrid App,2
269,IPS/IDS,2
18,ASR,2
21,AWS Athena,2
535,SSL,2
538,SVN,2
540,Salesforce,2
284,JMeter,2
293,Jenkins,2
39,AWS SNS,2
44,Ajax,2
301,KMS,2
584,TMS,2
75,Backup/Restore,2
332,Logistics,2
333,Logstash,2
593,Three.js,2
594,Tibero,2
595,Tomcat,2
85,Bootstrap,2
343,MES,2
351,MS-SQL,2
97,CDN,2
610,Unix,2
354,MVC,2
612,VBA,2
615,VM,2
616,VMware,2
359,MariaDB,2
618,VPC,2
622,Vector DB,2
626,Virtualization,2
627,Visual Studio,2
371,Milvus,2
119,Cisco,2
120,Citrix,2
382,NAC,2
383,NAS,2
640,Web Standards,2
389,Netty,2
392,Nginx,2
136,Credit Scoring,2
657,Windows Server,2
149,DPDK,2
671,eGovFramework,2
419,OpenStack,2
675,jQuery,2
676,k6,2
678,nGrinder,2
423,Oracle,2
684,x86,2
429,PL,2
184,ERP,2
201,FCM,2
460,Pub/Sub,2
478,RPA,2
506,Routing,2
515,SAP CO,3
516,SAP ECC,3
517,SAP FI,3
3,3D Geometry,3
8,ADAS,3
12,AOSP,3
525,SLAM,3
14,AR,3
15,ARM,3
528,SPI,3
17,ASPICE,3
19,AUTOSAR,3
532,SQLite,3
534,SSE,3
537,STL,3
543,Scrum,3
548,Sensor,3
552,Simulation,3
556,SoC,3
557,Socket,3
45,Altium,3
