기업명,Skill
씨제이올리브영(CJ올리브영),Kotlin
씨제이올리브영(CJ올리브영),ORM
씨제이올리브영(CJ올리브영),Java
씨제이올리브영(CJ올리브영),Spring
씨제이올리브영(CJ올리브영),JPA
씨제이올리브영(CJ올리브영),Scrum
씨제이올리브영(CJ올리브영),RDBMS
씨제이올리브영(CJ올리브영),AWS
씨제이올리브영(CJ올리브영),NoSQL
씨제이올리브영(CJ올리브영),Git
씨제이올리브영(CJ올리브영),Agile
에너자이(ENERZAi),DL
아우토크립트,WebSocket
아우토크립트,JavaScript
아우토크립트,Python
아우토크립트,Security
아우토크립트,React
아우토크립트,WPF
아우토크립트,Vue
아우토크립트,Git
아우토크립트,CSS
아우토크립트,C
아우토크립트,DevOps
아우토크립트,RDBMS
아우토크립트,Virtualization
아우토크립트,API
아우토크립트,Java
아우토크립트,NoSQL
아우토크립트,CI/CD
아우토크립트,REST API
슈프리마,CUDA
슈프리마,SoC
슈프리마,Computer Vision
슈프리마,MLOps
슈프리마,API
슈프리마,C
슈프리마,CS
슈프리마,DL
슈프리마,TensorRT
슈프리마,AI
슈프리마,ONNX
제틱에이아이,Android
제틱에이아이,Python
제틱에이아이,iOS
제틱에이아이,Embedded
제틱에이아이,DL
제틱에이아이,Git
제틱에이아이,C
씨제이올리브영(CJ올리브영),JavaScript
씨제이올리브영(CJ올리브영),Node.js
씨제이올리브영(CJ올리브영),Hybrid App
씨제이올리브영(CJ올리브영),React
씨제이올리브영(CJ올리브영),TypeScript
클레,OpenCV
클레,Monday.com
클레,Figma
클레,Git
클레,Avalonia
클레,OpenGL
클레,WPF
클레,Qt
클레,Nvidia Issac Sim
클레,Slack
클레,Notion
클레,Nvidia Omniverse
클레,Blender
클레,C
에이비일팔공(AB180),JavaScript
에이비일팔공(AB180),Streaming
에이비일팔공(AB180),D3.js
에이비일팔공(AB180),React
에이비일팔공(AB180),TypeScript
에이비일팔공(AB180),SSR
에이비일팔공(AB180),Next.js
에이비일팔공(AB180),Remix
에이비일팔공(AB180),QA
한글과컴퓨터,Android
한글과컴퓨터,Linux
한글과컴퓨터,iOS
한글과컴퓨터,STL
한글과컴퓨터,XML
한글과컴퓨터,Win32 API
한글과컴퓨터,GDI/GDI+
한글과컴퓨터,C++
한글과컴퓨터,API
한글과컴퓨터,WPF
한글과컴퓨터,C
제이투케이,Python
제이투케이,ROS
제이투케이,ML
제이투케이,AI
제이투케이,C
빗썸,Git
빗썸,Markdown
빗썸,QA
빗썸,API
스트라드비젼(STRADVISION),JavaScript
스트라드비젼(STRADVISION),PM
스트라드비젼(STRADVISION),AWS
스트라드비젼(STRADVISION),KubeFlow
스트라드비젼(STRADVISION),C
스트라드비젼(STRADVISION),SQL
스트라드비젼(STRADVISION),Python
스트라드비젼(STRADVISION),API
스트라드비젼(STRADVISION),Airflow
스트라드비젼(STRADVISION),MLFlow
스트라드비젼(STRADVISION),PostgreSQL
스트라드비젼(STRADVISION),Azure
스트라드비젼(STRADVISION),Docker
스트라드비젼(STRADVISION),C++
스트라드비젼(STRADVISION),Kubernetes
스트라드비젼(STRADVISION),Java
스트라드비젼(STRADVISION),Linux
스트라드비젼(STRADVISION),Django
스트라드비젼(STRADVISION),GCP
스트라드비젼(STRADVISION),MLOps
스트라드비젼(STRADVISION),MongoDB
아우토크립트,SoC
아우토크립트,RTOS
플라잎,CUDA
플라잎,Linux
플라잎,Python
플라잎,Git
플라잎,AI
플라잎,C
에이엑스지(axz),Linux
에이엑스지(axz),Python
에이엑스지(axz),Elasticsearch
에이엑스지(axz),Spark
에이엑스지(axz),Kubernetes
에이엑스지(axz),Java
에이엑스지(axz),Go
에이엑스지(axz),Docker
에이엑스지(axz),ETL
에이엑스지(axz),Hadoop
브이디크럭스,Socket
브이디크럭스,Electron
브이디크럭스,API
브이디크럭스,WPF
브이디크럭스,REST API
브이디크럭스,C
빗썸,R
빗썸,OP Stack
빗썸,Python
빗썸,L2 Switch
빗썸,Rust
빗썸,DeFi
빗썸,Geth
빗썸,Security
빗썸,Smart Contract
빗썸,Go
빗썸,Blockchain
빗썸,Cryptography
빗썸,Layer 2
빗썸,DEX
빗썸,Solidity
빗썸,ZK-Rollups
빗썸,C
코웨이,IoT
코웨이,Linux
코웨이,Cursor
코웨이,LVGL
코웨이,Embedded
코웨이,Jira
코웨이,Qt
코웨이,FreeRTOS
코웨이,Git
코웨이,AI
코웨이,C
코클,ONNX
코클,ARM
코클,Jenkins
코클,GitHub Actions
코클,Linux
코클,NPU
코클,C++
코클,DL
코클,Catch2
코클,CI/CD
코클,Docker
코클,GPU
코클,Git
코클,DSP
코클,QA
코클,C
제틱에이아이,Computer Vision
제틱에이아이,AI
제틱에이아이,NLP
제틱에이아이,ONNX
씨메스(CMES),Linux
씨메스(CMES),Python
씨메스(CMES),CS
씨메스(CMES),Qt
씨메스(CMES),Docker
씨메스(CMES),Git
씨메스(CMES),C
에스디티,FastAPI
에스디티,ML
에스디티,C
파이오링크,React
파이오링크,API
파이오링크,Java
파이오링크,Spring
파이오링크,REST API
비욘드알,Unity
비욘드알,Game
비욘드알,Xcode
비욘드알,XR
비욘드알,CS
비욘드알,AR
비욘드알,VR
비욘드알,OOP
비욘드알,C
퀀텀에어로,RTOS
퀀텀에어로,C++
퀀텀에어로,CS
퀀텀에어로,Autonomous Driving
퀀텀에어로,Robotics
퀀텀에어로,C
비트센싱,C
비트센싱,AUTOSAR
굿닥(goodoc),Planning
굿닥(goodoc),OOP
굿닥(goodoc),CI/CD
굿닥(goodoc),Git
굿닥(goodoc),TCP/UDP
굿닥(goodoc),C
굿닥(goodoc),Windows
굿닥(goodoc),WinDbg
굿닥(goodoc),STL
굿닥(goodoc),RDBMS
굿닥(goodoc),LevelDB
굿닥(goodoc),vcpkg
굿닥(goodoc),PDB
굿닥(goodoc),Visual Studio
굿닥(goodoc),Qt
굿닥(goodoc),TCP/IP
굿닥(goodoc),WebSocket
굿닥(goodoc),Network
굿닥(goodoc),MFC
굿닥(goodoc),SQLite
굿닥(goodoc),WinUI3
굿닥(goodoc),Embedded
바즈바이오메딕,Linux
바즈바이오메딕,Python
바즈바이오메딕,Embedded
바즈바이오메딕,Medical Device
바즈바이오메딕,Qt
바즈바이오메딕,C
씨드로닉스,CUDA
씨드로닉스,Python
씨드로닉스,ROS
씨드로닉스,Computer Vision
씨드로닉스,TensorRT
씨드로닉스,C
파이오링크,Jenkins
파이오링크,Linux
파이오링크,Python
파이오링크,Ansible
파이오링크,Kubernetes
파이오링크,MSA
파이오링크,ArgoCD
파이오링크,Go
파이오링크,CI/CD
파이오링크,Git
파이오링크,OpenStack
파이오링크,C
넥스트증권,SQL
넥스트증권,Linux
넥스트증권,Python
넥스트증권,Fintech
넥스트증권,RDBMS
넥스트증권,Finance
넥스트증권,Oracle
넥스트증권,Java
넥스트증권,PostgreSQL
넥스트증권,ERP
넥스트증권,PL
넥스트증권,C
포티투닷(42dot),Network
포티투닷(42dot),IoT
포티투닷(42dot),Linux
포티투닷(42dot),Python
포티투닷(42dot),Rust
포티투닷(42dot),Embedded
포티투닷(42dot),HTTP
포티투닷(42dot),Go
포티투닷(42dot),MQTT
포티투닷(42dot),Git
포티투닷(42dot),C
아이씨티케이,Python
아이씨티케이,Embedded
아이씨티케이,Java
아이씨티케이,C#
아이씨티케이,Security
아이씨티케이,C
파이브레인 에이아이,Diffusion
파이브레인 에이아이,Python
파이브레인 에이아이,ROS
파이브레인 에이아이,Linear Algebra
파이브레인 에이아이,Foundation Model
파이브레인 에이아이,TensorRT
파이브레인 에이아이,GPU
파이브레인 에이아이,Robotics
파이브레인 에이아이,AI
파이브레인 에이아이,C
긴트,ASPICE
긴트,AUTOSAR
긴트,CAN
긴트,Embedded
긴트,MCU
긴트,C
클로봇,IoT
클로봇,Python
클로봇,ROS
클로봇,Embedded
클로봇,CS
클로봇,Git
클로봇,C
메디인테크,UART
메디인테크,Linux
메디인테크,I2C
메디인테크,CAN
메디인테크,Embedded
메디인테크,SPI
메디인테크,CS
메디인테크,Qt
메디인테크,OOP
메디인테크,Slack
메디인테크,Git
메디인테크,Notion
메디인테크,C
쿤텍,R
쿤텍,Shell Script
쿤텍,TCP/UDP
쿤텍,C
쿤텍,Python
쿤텍,Socket
쿤텍,Rust
쿤텍,PostgreSQL
쿤텍,RDBMS
쿤텍,정보보호
쿤텍,NoSQL
쿤텍,Security
쿤텍,MariaDB
쿤텍,Linux Kernel
쿤텍,TCP/IP
쿤텍,MySQL
쿤텍,Network
쿤텍,Redis
쿤텍,MongoDB
리브스메드,Linux
리브스메드,Embedded
리브스메드,Qt
리브스메드,Shell Script
리브스메드,OOP
리브스메드,Git
리브스메드,C
슈퍼플레이,Game
포티투닷(42dot),Java
포티투닷(42dot),AI
포티투닷(42dot),QA
큐브리드,JavaScript
큐브리드,Linux
큐브리드,Python
큐브리드,PHP
큐브리드,HTML
큐브리드,Java
큐브리드,C
뷰런테크놀로지,CUDA
뷰런테크놀로지,Computer Vision
뷰런테크놀로지,Embedded
뷰런테크놀로지,CS
뷰런테크놀로지,OpenGL
뷰런테크놀로지,OpenCL
뷰런테크놀로지,DL
뷰런테크놀로지,Linux Kernel
뷰런테크놀로지,C
에이스웍스코리아,Linux
에이스웍스코리아,Python
에이스웍스코리아,ROS
에이스웍스코리아,CAN
에이스웍스코리아,Autonomous Driving
에이스웍스코리아,Sensor
에이스웍스코리아,Apollo Client
에이스웍스코리아,Git
에이스웍스코리아,TCP/UDP
에이스웍스코리아,Simulation
에이스웍스코리아,C
마스오토,React
마스오토,Python
마스오토,C
폴라리스쓰리디(Polaris3D),SLAM
폴라리스쓰리디(Polaris3D),ML
폴라리스쓰리디(Polaris3D),CS
폴라리스쓰리디(Polaris3D),Autonomous Driving
폴라리스쓰리디(Polaris3D),DL
폴라리스쓰리디(Polaris3D),Sensor
폴라리스쓰리디(Polaris3D),C
옵트에이아이,ASPICE
옵트에이아이,MISRA C
옵트에이아이,Embedded
옵트에이아이,C++
옵트에이아이,AI
옵트에이아이,C
나비프라,ROS
나비프라,SLAM
나비프라,C
나비프라,Autonomous Driving
나비프라,AI
나비프라,Robotics
프리모리스엔젯리미티드(IKC),Network
프리모리스엔젯리미티드(IKC),GCP
프리모리스엔젯리미티드(IKC),AWS
프리모리스엔젯리미티드(IKC),CAD
프리모리스엔젯리미티드(IKC),CS
프리모리스엔젯리미티드(IKC),Azure
프리모리스엔젯리미티드(IKC),ITIL
스카이랩스(SkyLabs),ARM
스카이랩스(SkyLabs),RTOS
스카이랩스(SkyLabs),Firmware
스카이랩스(SkyLabs),C++
스카이랩스(SkyLabs),MCU
스카이랩스(SkyLabs),Embedded
스카이랩스(SkyLabs),Medical Device
스카이랩스(SkyLabs),Cryptography
스카이랩스(SkyLabs),Security
스카이랩스(SkyLabs),C
페이타랩(패스오더),Socket
페이타랩(패스오더),API
페이타랩(패스오더),Planning
페이타랩(패스오더),WPF
페이타랩(패스오더),REST API
페이타랩(패스오더),C
모베이스에이에스이씨,MFC
모베이스에이에스이씨,Linux
모베이스에이에스이씨,DevOps
모베이스에이에스이씨,Python
모베이스에이에스이씨,Win32 API
모베이스에이에스이씨,Embedded
모베이스에이에스이씨,C
모베이스에이에스이씨,CI/CD
모베이스에이에스이씨,FreeRTOS
모베이스에이에스이씨,Windows
포티투닷(42dot),SQL
포티투닷(42dot),GCP
포티투닷(42dot),ROS
포티투닷(42dot),AWS
포티투닷(42dot),Azure
쿤텍,BSP
쿤텍,MCU
쿤텍,Embedded
스트라드비젼(STRADVISION),Ethernet
스트라드비젼(STRADVISION),CAN
스트라드비젼(STRADVISION),Embedded
스트라드비젼(STRADVISION),Autonomous Driving
소만사,C++
소만사,C
엑스페릭스,Computer Vision
엑스페릭스,Python
엑스페릭스,C
엑스페릭스,CS
빗썸,CI/CD
빗썸,Spring
빗썸,보안약점진단원
빗썸,PHP
빗썸,Fortify
빗썸,REST API
빗썸,OWASP
빗썸,OSCP
빗썸,Java
빗썸,SAST
빗썸,JWT
빗썸,Notion
빗썸,React
빗썸,SonarQube
디자인드에이아이,CUDA
디자인드에이아이,Python
디자인드에이아이,Transformer
디자인드에이아이,CS
디자인드에이아이,OpenCL
디자인드에이아이,DL
디자인드에이아이,Vulkan
디자인드에이아이,AI
디자인드에이아이,C
보이저,Backup/Restore
보이저,DL
보이저,LLM
보이저,AI
보이저,C
메디인테크,Python
씨드로닉스,Autonomous Driving
씨드로닉스,Robotics
아그모,UART
아그모,Python
아그모,CAN
아그모,SPI
아그모,CS
아그모,Java
아그모,Sensor
아그모,LiDAR
아그모,C
블록체인랩스,JavaScript
블록체인랩스,AWS
블록체인랩스,Cryptography
블록체인랩스,Spring
블록체인랩스,Python
블록체인랩스,Socket
블록체인랩스,Rust
블록체인랩스,API
블록체인랩스,Go
블록체인랩스,REST API
블록체인랩스,Azure
블록체인랩스,Docker
블록체인랩스,Causal Inference
블록체인랩스,Node.js
블록체인랩스,RDBMS
블록체인랩스,Kubernetes
블록체인랩스,Java
블록체인랩스,NoSQL
블록체인랩스,WebSocket
블록체인랩스,GCP
블록체인랩스,Blockchain
모니터랩,Linux
모니터랩,Java
모니터랩,Go
모니터랩,Docker
모니터랩,C
슈프리마,Linux
슈프리마,Firmware
슈프리마,RS485
슈프리마,Embedded
슈프리마,Security
웨이브릿지,Python
웨이브릿지,CEX
웨이브릿지,GCP
웨이브릿지,AWS
웨이브릿지,Rust
웨이브릿지,DeFi
웨이브릿지,C
웨이브릿지,Cryptography
웨이브릿지,DEX
올커넥,PACS
올커넥,OpenCV
올커넥,Python
올커넥,Computer Vision
올커넥,Qt
올커넥,VTK
올커넥,DICOM
올커넥,CGAL
올커넥,C
스누아이랩,ARM
스누아이랩,Network
스누아이랩,OpenCV
스누아이랩,Linux
스누아이랩,Python
스누아이랩,GStreamer
스누아이랩,FFmpeg
스누아이랩,WebRTC
스누아이랩,Streaming
스누아이랩,Embedded
스누아이랩,C
스누아이랩,HLS
스누아이랩,DL
스누아이랩,GPU
스누아이랩,DeepStream
스누아이랩,Quantization
스누아이랩,AI
스누아이랩,ONNX
현대오토에버,Monitoring
현대오토에버,Linux
현대오토에버,C
아이에이치더블유,RISC-V
아이에이치더블유,SoC
아이에이치더블유,Embedded
아이에이치더블유,Firmware
아이에이치더블유,USB
아이에이치더블유,WPF
아이에이치더블유,Qt
아이에이치더블유,FPGA
아이에이치더블유,CI/CD
아이에이치더블유,Git
아이에이치더블유,C
이지스헬스케어,API
이지스헬스케어,C
모빌리티랩,Qt
모빌리티랩,API
모빌리티랩,REST API
모빌리티랩,C
스콥정보통신,NAC
스콥정보통신,Network
스콥정보통신,MFC
스콥정보통신,Security
스콥정보통신,SVN
스콥정보통신,Git
스콥정보통신,IPS/IDS
스콥정보통신,VPN
