기업명,주요업무,자격요건,우대사항
타다(VCNC),"[What we do]현재 VCNC 서버 개발 파트는 타다(TADA) 서비스의 백엔드 시스템 개발에 주력하고 있으며, 클라이언트 애플리케이션을 위한 API 서버, 오프라인 운영을 위한 사내 시스템 등을 개발하고 있습니다.• 타다 클라이언트 어플리케이션을 위한 API 개발• Jenkins, AWS 및 Kubernetes 기반의 DevOps 작업• 효율적인 오프라인 운영을 위한 사내 시스템 개발• 더욱 쾌적한 타다 서비스를 위한 다양한 최적화 작업 및 리서치• VCNC 기술 블로그 운영 (http://engineering.vcnc.co.kr/) 타다를 누구보다 좋아하고 최고의 동료와 일하는 즐거움을 함께 누리고 싶은 분이라면 언제든 환영합니다 [How we work]• 실시간 대용량 데이터 처리 : 타다 서비스는 실시간 GPS 정보를 바탕으로 모든 드라이버의 위치를 파악하여 유저에게 최적의 드라이버를 배정해주어야 합니다. 이를 위해 VCNC 서버 팀은 실시간으로 업로드 되는 대용량 GPS 정보를 안정적으로 처리하는 데에 많은 노력을 쏟고 있습니다.• 확장성 있는 백엔드 개발 : 현재 타다 서비스는 폭발적인 성장세를 보이고 있습니다. 그 만큼 타다 서비스는 빠르게 변화하고 있습니다. VCNC 서버 팀에서는 이러한 변화의 속도에 충분히 대응할 수 있도록 확장성을 중시하여 백엔드 개발을 진행하고 있습니다.• 장애가 나지 않는 안정적인 시스템 구축 : 타다 서비스는 서비스 특성상 반드시 실시간 GPS 정보를 기반으로 운영되어야 합니다. 그렇기 때문에 서비스에 장애가 발생하여 드라이버의 GPS 정보를 받을 수 없는 상황에 대한 fallback을 준비할 수 없습니다. 따라서 VCNC 서버 팀은 백엔드 시스템에서 장애가 발생하지 않도록 매우 세심한 주의를 기울이고 있습니다.• 정밀한 지도 관련 기술 : 타다 서비스의 핵심은 지도 관련 기술입니다. 출발지로부터 목적지까지 걸리는 예상 시간(ETA), 거리 및 경로 계산과 GPS 기반의 요금 계산의 정확도는 서비스 품질에 직접적인 영향을 미칩니다. VCNC 서버 팀은 map matching 등 여러가지 기술을 활용하여 정확하고 정밀하게 GPS 정보를 처리할 수 있도록 노력하고 있습니다.• 데이터 기반의 자동화 : 타다 서비스는 기본적으로 O2O(Offline to Online) 서비스입니다. 오프라인의 수많은 드라이버와 차량을 관리하기 위해서는 반드시 시스템의 보조가 필요합니다. VCNC 서버 팀은 여러 경로로 수집한 데이터를 통해 서비스 운영을 개선하기 위한 다양한 인사이트를 얻고 데이터 기반의 자동화 및 최적화를 적용합니다.",• 기본적인 전산학 지식을 보유하신 분• 하나 이상의 프로그래밍 언어를 능숙하게 사용할 수 있는 능력을 갖추신 분• 새로운 기술을 거부감 없이 받아들이고 사용할 수 있으신 분• 자신의 작업에 대한 책임감이 강하고 자부심이 있으신 분• 제품 혹은 개발에 대한 의견을 거리낌없이 공유하시는 분[사용기술]• 서버 - Spring Boot + Kotlin + gRPC + Amazon Kinesis + Amazon SQS + Redis• 클라이언트와의 프로토콜 - Protocol Buffer• 데이터베이스 - MySQL + Amazon RDS• CI - Jenkins• 배포 및 운영 - Kubernetes + Helm + Amazon EKS + Terraform• 모니터링 - Prometheus + PagerDuty(* 타다 백엔드 아키텍처 대한 더욱 자세한 설명은 VCNC 기술블로그를 참고하시면 됩니다. http://engineering.vcnc.co.kr/ ).,"• Spring 기반 개발 경험 1년 이상 있으신 분• AWS 기반 서비스 운영 경험 1년 이상 있으신 분• 아키텍처 설계에 능숙하신 분• Jenkins, Kubernetes 등의 오픈소스 사용에 능숙하신 분[타다 개발팀 Tech blog] https://blog-tech.tadatada.com/ 모바일 클라이언트 사용 기술에 대해 더욱 자세한 설명이 기술되어 있으니 참고 부탁드립니다.[VCNC 개발팀 발표 자료]https://speakerdeck.com/vcnc."
빗썸,"• 거래소의 가장 핵심 기능인 가상자산 입출금 시스템을 개발하고 안정적으로 운영합니다. 이는 대용량 트랜잭션을 처리하고 고객 자산의 정확성을 보장해야 하는, 금융 수준의 무결성을 갖춘 미션 크리티컬 시스템을 다루는 경험입니다.• 새로운 외부 분산 시스템(블록체인 L1/L2)을 분석하고, 거래소 시스템과 안정적으로 연동합니다. 이는 다양한 외부 노드와의 비동기 통신, 대규모 트랜잭션 데이터의 정합성을 보장하는 복잡한 시스템을 설계하는 도전적인 일입니다.• 자산 기반의 신규 서비스(예: 스테이킹)의 백엔드 로직을 개발합니다. 이 과정에서 발생하는 복잡한 보상 및 정산 체계를 거래소 시스템과 안정적으로 연동하는 역할을 수행합니다.• 업계 최고 수준의 키 관리 시스템과 백엔드 서비스 간의 안전하고 효율적인 API 인터페이스를 개발하고 고도화합니다.","• Java/Kotlin, Go, Python 등 하나 이상의 언어 및 관련 프레임워크(Spring Boot 등)에 능숙하며, 안정적이고 확장 가능한 백엔드 시스템을 주도적으로 설계, 개발, 운영할 수 있는 역량을 보유한 분• RDBMS(MySQL 등)와 NoSQL(Redis 등)의 특성을 이해하고, 대용량 데이터를 처리하기 위한 스키마 설계 및 쿼리 최적화가 가능한 분• 자료구조, 알고리즘, 네트워크, OS 등 CS 핵심 지식을 바탕으로 시스템의 성능 병목을 분석하고 개선한 경험.","• Kafka 등 이벤트 스트리밍 플랫폼을 활용한 비동기/대용량 트래픽 처리 및 분산 시스템 설계/운영 경험이 있는 분• Go, Rust 등 고성능/동시성 처리에 강점이 있는 언어 사용에 능숙하신 분• Kubernetes, Docker 기반의 클라우드(AWS/GCP) 환경에서 개발 및 운영 경험을 보유한 분• 블록체인 노드 연동 또는 관련 기술(EVM 등) 개발 경험 혹은 성장하고 싶은 관심을 가진 분• 금융, 거래 시스템 등 높은 안정성이 요구되는 미션 크리티컬 시스템 개발/운영 경험, 그리고 이에 필요한 꼼꼼함과 책임감을 가진 분• 복잡한 도메인 문제를 주도적으로 해결하고, 다양한 기술 팀(리서치, 보안, DevOps 등)과 효과적으로 협업하는 능력을 보유하신 분[근무조건]• 고용형태 : 수습평가 후 정규직 전환• 근무장소 : 서울 강남구 테헤란로 124 삼원타워 (주)빗썸 본사• 급여 : 회사 내규에 따름 (인터뷰 후 결정)."
"브레이브모바일(숨고,Soomgo)","[기술 스택 & 사용 툴]• 프로그래밍 언어 및 프레임워크: Python (Flask, Falcon, FastAPI)• 데이터베이스: MySQL, MongoDB, Redis, ElasticSearch• 메시징 및 이벤트 스트리밍: Kafka, RabbitMQ• 원격 프로시저 프로토콜: GRPC• 컨테이너화 및 오케스트레이션: Kubernetes (K8s),ArgoCD• 버전 관리 및 CI/CD: Git, GitHub, Bitbucket• 모니터링 및 디버깅: NewRelic, Bugsnag• 협업 툴 & 지원 도구: Slack, Confluence, Jira, Copilot[합류 직후 이런 일을 해요]• 숨고 전체 서비스의 안정적인 운영을 위해 백엔드 시스템을 개발, 유지 보수합니다.• 숨고 서비스 운영에 필요한 RESTful API 서버를 설계하고 구축합니다.• 숨고 고객에게 다양한 경험을 제공하기 위해 새로운 기능을 추가하거나 개선을 위한 개발을 진행합니다.• 서비스를 안정적으로 배포하기 위해 테스트 코드 작성 및 코드 리뷰를 진행합니다.• AI Tool 을 활용하여 개발 퀄리티와 속도를 높일 수 있습니다.• 메시지 큐(RabbitMQ, Kafka 등)를 활용하여 비동기 이벤트 기반 처리를 구현합니다.[장기적으로 이런 일도 할 수 있어요]• 숨고 서비스 내 레거시 시스템 개선을 위한 개발 및 리팩토링을 담당합니다.","• Python, Java, Kotlin, Node.js, Go, C++ 등 다양한 백엔드 언어 중 하나 이상을 활용한 백엔드 개발 경험 (3년 이상 10년 이하)을 보유하신 분• Python 및 Python web framework를 활용한 백엔드 개발에 거부감이 없으신 분• REST API 설계 및 개발 경험이 있으신 분• RDBMS에 대한 이해가 높고 MySQL 사용 경험이 있으신 분• 다양한 직무의 동료들과의 협업 및 커뮤니케이션에 능숙하신 분.","• MSA(Microservices Architecture) 환경에서의 백엔드 개발 및 운영 경험• 대용량 트래픽 또는 실시간 처리 시스템 설계/운영 경험• 테스트 코드 작성에 익숙하신 분[미래의 동료에게 드리는 한 마디]안녕하세요. 백엔드 챕터의 Terry입니다. 숨고의 백엔드 챕터는 개발을 사랑하고, 함께 성장하는 과정에서 큰 보람을 느끼며, 좋은 동료들과 협업 하는 것을 소중하게 생각합니다. 숨고는 서비스 안정화와 MSA 전환, 기술 부채 해소를 동시에 추진 하며 성장하고 있는 플랫폼으로, 완성된 시스템을 유지하는 것이 아닌 직접 구조를 설계·개선하며 성장할 수 있는 환경입니다. 다양한 비즈니스와 기술에 대해 함께 고민하고, 서로 배우며 성장하는 문화를 지향하는 분이라면 숨고 백엔드 챕터에서 좋은 동료가 되어주실 거라 믿습니다. 함께 성장하고 싶은 분의 지원을 기다리고 있겠습니다!"
위시스트,"• 마케터를 위한 LLM 기반 AI 에이전트 웹 서비스 서버 운영 ‣ AI 에이전트 Tool Use 연동 및 결과 처리 (DB 설계 및 관리) ‣ 분산 처리 시스템을 활용한 마케팅 관련 작업 실행 (외부 API 연동, 웹 스크래핑 등)• WebSocket 기반 실시간 통신으로 프론트엔드-AI 간 양방향 상호작용 구현• Python 기반 웹 서비스 서버 개발 및 운영.","• Python 기반 웹 서버 개발 실무 경험 (FastAPI 등)• SQL 데이터베이스를 활용한 서비스 개발 경험 (MySQL 등)• 클라우드 인프라 구축 및 운영 경험 (AWS 등)• WebSocket을 활용한 실시간 통신 구현 경험• 기획자, 프론트엔드 개발자 등 다양한 직군과의 원활한 협업 능력.","• 초기 스타트업 환경에서 빠른 실험과 반복을 즐기시는 분 ‣ 시장 반응에 따른 빠른 방향 전환에 유연하게 대응 가능하신 분• 메시지 큐를 활용한 분산 처리 시스템 구축 경험 (Celery, RabbitMQ, Redis 등)• LLM 기반 AI SaaS 프로젝트 개발 경험• 컨테이너 기반 배포 경험 (Docker, Kubernetes 등)[사용하는 기술 스택]• 언어: Python• 프레임워크: FastAPI• 데이터베이스: MySQL• 분산 처리: Celery, RabbitMQ, Redis• 인프라: AWS• CI/CD: GitHub Actions."
빗썸,"• 데이터 파이프라인 구축 및 운영 : 다양한 소스로 부터 데이터를 수집, 변환, 적재 하는 대용량 데이터 파이프라인 설계 및 구현• 데이터 웨어하우스 구축 플랫폼 운영 : 클라우드 환경 (AWS, GCP 등)에서 DW를 구축 하고 안적적인 데이터 플랫폼 운영을 위한 모니터링 자동화 시스템 구축• 데이터 추출 및 BI 구성 지원 : 데이터 분석과 및 비지니스 팀의 요청에 따라 필요한 데이터를 추출하고 제공• 데이터 품질 관리 : 데이터 품질 확보및 무결성 유지를 위한 검증 및 테스트 프로세스 구축.","• 프로그래밍/스크립팅 언어 중 1개 이상에 능숙한 분 (예: Python, Scala, Java)• SQL에 매우 능숙하며, 복잡한 데이터 추출 및 쿼리 최적화 경험을 보유하신 분• 데이터베이스(RDBMS, NoSQL) 설계 및 운영 경험을 보유하신 분• 대용량 데이터 처리 시스템 구축 및 운영 경험을 보유하신 분 (예: Hadoop, Spark)• 데이터 파이프라인 구축 경험을 보유하신 분 (ETL/ELT).","• 클라우드 환경(AWS, GCP)에서 데이터 인프라 및 서비스(예: Redshift, BigQuery, EMR)를 운영해 본 경험이 있으신 분• 데이터 스트리밍 플랫폼(예: Kafka, Kinesis, Pulsar)을 활용한 실시간 데이터 처리 경험을 보유하신 분• 데이터 웨어하우스(DW) 설계 및 데이터 모델링(Dimensional Modeling 등)에 대한 깊이 있는 이해를 갖추신 분• 데이터 품질 관리(Data Quality) 및 데이터 거버넌스(Data Governance) 구축 경험이 있으신 분."
화해글로벌,"• 화해 글로벌 서비스 Server RESTful API 개발• MySQL 관계형 데이터베이스를 설계 및 최적화• 코드, 시스템 아키텍처 문서와 설계 문서 작성을 통한 팀 내 기술 자료 문서화에 기여• 시스템의 성능을 모니터링하고 최적화하여 더 나은 사용자 경험을 제공• 서비스 배포 관리 및 운영 환경에서 발생하는 문제 해결결.",• 백엔드 애플리케이션 개발 경험이 3년 이상 6년 이하의 실무 경험을 보유하신 분• RESTful API 기반 설계 경험이 있으신 분• RDB 기반의 데이터 모델링 경험이 있으신 분.,"• Django Rest Framework, FastAPI 이용한 API 개발 경험이 있으신 분• 테스트 코드 작성에 익숙하신 분• Open API Spec 기반의 명세서 작성 경험이 있으신 분• 기존 시스템을 분석하고 이해하는 데 강점을 가지며, 빠른 온보딩과 실질적 기여가 가능한 분• Open API Spec 기반의 명세서 작성 경험이 있으신 분• 주도적으로 팀의 문화, 기술적 성장에 기여해 본 경험이 있으신 분• AWS 클라우드 환경에서의 개발 경험이 있으신 분| 기술 스택을 안내드려요! • Python, Django REST Framework, Django Ninja, FastAPI• MySQL, Redis, Elasticsearch, Celery, DjangoORM, SQLAlchemy• Docker, AWS ECS, AWS SQS."
드림어스컴퍼니,ㆍ이용권 & 결제 시스템: FLO 음악 감상을 위한 다양한 구독 상품 및 이용권 판매 시스템을 개발 합니다.ㆍ정산 시스템: 음원 이용 데이터 기반 저작권자 및 유통사 대상 사용료 정산 시스템을 개발 합니다. ㆍ데이터 파이프라인: 대용량 콘텐츠 이용 데이터 처리 및 분석을 위한 배치 시스템을 구축 합니다.,"ㆍSpring Boot 및 Java/Kotlin 개발 경력 2년 이상 보유하신 분ㆍWeb 서비스 백엔드 개발 및 운영 경험을 보유하신 분ㆍRDBMS(MySQL, PostgreSQL 등) 활용 및 ORM(JPA 등) 사용 경험이 있으신 분ㆍ요구사항을 기반으로 한 데이터 모델링 및 API 설계·개발 경험이 있으신 분.","ㆍ결제, 정산, 또는 콘텐츠 플랫폼 시스템 개발 경험이 있으신 분ㆍ대용량 데이터 기반 데이터 파이프라인 및 배치 작업 경험이 있으신 분ㆍ마이크로서비스 설계 및 구현 경험이 있으신 분ㆍ클라우드 환경에서 백엔드 개발 및 운영 경험이 있으신 분ㆍAI 기반 개발 도구(Claude, Cursor, GitHub Copilot 등) 활용 경험이 있으신 분."
에이블리코퍼레이션,"• 유저들이 사용하는 에이블리 앱의 커머스 백엔드 서비스를 개발해요.• 에이블리 셀러들이 사용하는 플랫폼 서비스, Open API를 개발해요.• 에이블리 팀원들이 플랫폼 운영을 위해 사용하는 백오피스 서비스를 개발해요.","에이블리 조직문화에 공감하여, One Team으로 GRIT하게 일하며 Impact를 만들어갈 의지가 있는 분을 찾아요.• 개발 경력이 3년 이상이거나, 혹은 그에 준하는 역량을 갖고 계신 분을 찾고 있어요.• 웹 프레임워크(Django, Spring 등)과 RDBMS를 사용해 보신 분을 찾고 있어요.• 주도적으로 다른 직군과 함께 문제를 정의하고 해결책을 찾을 수 있는 분을 찾고 있어요.• Django와 DRF에 익숙하신 분이면 좋아요.• 클라우드 환경(AWS, GCP 등)에서의 개발 경험이 있으신 분이면 더 좋아요.• 플랫폼, 이커머스 서비스에 대한 이해가 있으신 분이면 더 좋아요.•",
트레바리(TREVARI),"• 회원, 주문, 결제, 환불, 추천, 독서모임, 독후감 등 트레바리 도메인 엔지니어링을 합니다.• MSA 환경에서 백엔드와 프론트엔드 프로젝트를 설계하고 개발합니다.• 트레바리 크루가 사용할 수 있는 백오피스 시스템을 설계하고 개발합니다.• 기술 스택 : MSA, Kubernetes, Nginx, Vercel, Javascript, Spring boot, AWS, Docker, Redis, SQS, EKS, EC2, ElasticSearch, Fluentbit, Kibana, Postgresql, Github actions, TDD, DDD, CRA, Nextjs, React, Typescript, Webview.","• 백엔드 엔지니어링 경험이 7~15년 이신 분• AI 툴 (chatGPT, claude code, cursor 등) 사용에 적극적인 분.","• 실무에서 테스트 코드 작성 경험이 있으신 분• 프로덕트/프로젝트/팀을 리딩한 경험이 있으신 분• 서버 사이드 렌더링과 검색 엔진 최적화에 대한 이해 및 처리 경험이 있으신 분• 객체지향 개발, 함수형 개발, 반응형 개발 등 하나 이상의 개발 패러다임을 깊게 고민해 보신 분."
빗썸,• 서비스 신뢰성 및 관측 가능성(Observability) 확보를 위한 모니터링 시스템 개발 및 운영 • 장애 대응 자동화 시스템 구축• 데이터 기반의 AIOps 도입 및 운영• 업무 자동화 및 개발 생산성 향상을 위한 도구 개발.,"• 3년 이상 또는 그에 준하는 실무 경험을 보유하신 분• RESTful API 설계 및 개발 경험이 있으신 분• Java(Spring boot), Python, Go 중 하나 이상의 언어를 사용하여 백엔드 서비스를 개발하고 운영해 본 경험이 있으신 분• 문제 해결을 위해 주도적으로 원인을 분석하고, 능동적으로 개선 과제를 실행하는 분• RDBMS, NoSQL, Kafka, Redis 등 다양한 데이터 저장소 및 메시징 큐 활용 경험이 있으신 분.","• 대규모 트래픽을 받는 서비스의 설계, 개발, 운영 경험이 있으신 분• Prometheus, Grafana, ELK Stack 등을 활용해 관측 가능성(Observability) 시스템을 구축하고 운영해 본 경험이 있으신 분• AIOps, 머신러닝, 통계적 분석을 통한 이상 징후 탐지 시스템 개발 또는 운영 경험이 있으신 분• 클라우드 환경(AWS, GCP 등) 및 컨테이너(Docker, Kubernetes) 기반 서비스 운영 경험이 있으신 분• 새로운 기술 습득에 대한 열정과 동료와 기술적 지식을 나누는 것을 즐기시는 분."
