Node_ID,Skill,Community_ID
512,Radix UI,0
515,React Native,0
516,Recharts,0
517,Recoil,0
518,Redash,0
7,AARRR,0
9,AD Tech,0
523,Remix,0
525,Retention,0
528,Riverpod,0
531,Rollup,0
24,AWS Athena,0
538,RxJS,0
27,AWS CloudFormation,0
28,AWS CloudFront,0
29,AWS CodePipeline,0
31,AWS ECS,0
33,AWS ElastiCache,0
34,AWS Elastic Beanstalk,0
36,AWS Lambda,0
37,AWS OpenSearch,0
38,AWS QuickSight,0
40,AWS Route 53,0
553,SEO,0
555,SOLID,0
556,SPA,0
43,AWS SQS,0
558,SPM,0
50,Amplitude,0
563,SSE,0
565,SSR,0
53,Android Studio,0
54,Angular,0
568,SWC,0
57,Ant Design,0
59,Apollo Client,0
62,AppsFlyer,0
575,Search Engine,0
574,ScyllaDB,0
578,Semantic Markup,0
580,Sentry,0
69,Axon Framework,0
582,Shopify,0
71,BDD,0
72,BFF,0
75,BLoC,0
587,Snowflake,0
77,Babel,0
79,Backoffice,0
84,Biome,0
596,Spring Cloud,0
597,Spring Security,0
85,Bitbucket,0
602,Storm,0
91,Braze,0
604,Storybook,0
606,Styled-components,0
607,Superset,0
608,Svelte,0
609,Swagger,0
102,CDC,0
617,TDD,0
619,TMS,0
107,CMS,0
623,Tailwind CSS,0
624,Tanstack Query,0
116,Cafe24,0
121,Celery,0
122,Charles,0
123,Chart.js,0
635,Turborepo,0
636,TypeORM,0
124,ChatGPT,0
130,Cloudflare,0
132,CodePush,0
645,Unity Ads,0
134,Cohort Analysis,0
133,Codec,0
139,Copilot,0
655,VOC,0
143,Crawler,0
148,Cursor,0
150,D3.js,0
152,DDD,0
666,Vite,0
667,Vitest,0
156,DNS,0
669,Vuex,0
672,WMS,0
678,Web Accessibility,0
169,DataHub,0
682,WebAssembly,0
171,Databricks,0
172,Datadog,0
685,WebKit,0
175,Debezium,0
688,WebView,0
185,DocumentDB,0
697,Wireframe,0
187,E-commerce,0
700,XML,0
186,DynamoDB,0
702,Xcode,0
704,Yarn Berry,0
193,ESBuild,0
194,ESLint,0
707,Zeplin,0
708,Zod,0
710,dbt,0
712,ePUB,0
719,pytest,0
720,shadcn/ui,0
208,Express.js,0
207,Expo,0
213,Facebook Ads,0
215,Fastlane,0
220,Firebase,0
225,Flutter,0
229,Framer Motion,0
231,Funnel Analysis,0
238,GSAP,0
241,Gemini,0
242,GetX,0
245,Git Flow,0
252,Google AdMob,0
253,Google Analytics,0
256,GraphQL,0
257,Growth Hacking,0
259,HBase,0
261,HIG,0
270,Hadoop YARN,0
272,Healthcare,0
299,JSON,0
300,JSON-RPC,0
310,Jotai,0
317,Kanban,0
318,Kibana,0
330,LVGL,0
335,Laravel,0
348,Looker Studio,0
351,Luigi,0
353,MAU,0
368,MSW,0
370,MVI,0
376,Material Design,0
377,Media,0
379,Memcached,0
382,Metabase,0
384,MetricFlow,0
385,Micro Frontends,0
394,Multi-Agent,0
400,NCP,0
415,North Star Metric,0
418,Nuxt.js,0
423,OOP,0
432,Oozie,0
452,PMF,0
454,PNPM,0
455,PO,0
456,PRD,0
458,PagerDuty,0
461,Payment,0
465,Pinia,0
467,Playwright,0
468,Poetry,0
471,Postman,0
474,Power BI,0
478,Prettier,0
480,Prompt Engineering,0
481,PropTech,0
483,Protocol Buffers,0
487,Puppeteer,0
494,Qwik,0
509,RTK Query,0
511,RabbitMQ,0
521,Redshift,1
12,AIOps,1
526,Retrofit,1
271,Hardhat,1
529,Roadmap,1
532,Room,1
535,Ruby,1
536,Ruby on Rails,1
