Node_ID,Skill,Community_ID
128,Claude,0
241,Gemini,0
148,Cursor,0
139,Copilot,0
124,ChatGPT,0
513,Ray,1
3,3D Geometry,1
516,Recharts,1
5,3D Reconstruction,1
10,ADAS,1
11,AI,1
12,AIOps,1
16,AR,1
17,ARM,1
530,Robotics,1
529,Roadmap,1
20,ASPICE,1
21,ASR,1
22,AUTOSAR,1
534,Routing,1
537,Rust,1
26,AWS Bedrock,1
544,SAP ECC,1
545,SAP FI,1
554,SLAM,1
557,SPI,1
560,SQLAlchemy,1
49,Altium,1
561,SQLite,1
564,SSL,1
566,STL,1
571,Scikit-image,1
576,Security,1
65,Audio,1
66,AutoML,1
67,Autonomous Driving,1
579,Sensor,1
70,Azure,1
583,Simulation,1
74,BLE,1
586,Smart Factory,1
588,SoC,1
589,Socket,1
76,BSP,1
82,BentoML,1
87,Blender,1
601,Storage,1
92,C,1
94,C++,1
96,CAD,1
97,CAE,1
98,CAN,1
101,CCNP,1
614,SystemVerilog,1
613,Switch,1
616,TCP/UDP,1
615,TCP/IP,1
618,TLS,1
620,TPM,1
621,TTS,1
110,CS,1
113,CUDA,1
625,TensorRT,1
114,CVAT,1
627,Test Case,1
631,Transformer,1
633,Triton,1
125,Circuit Design,1
126,Cisco,1
638,UART,1
641,USB,1
644,Unity,1
647,Unreal Engine,1
136,Computer Graphics,1
137,Computer Vision,1
650,VHDL,1
652,VITS,1
657,VPN,1
658,VR,1
147,Cryptography,1
659,VTK,1
661,Verilog,1
660,Vector DB,1
665,Visual Studio,1
154,DICOM,1
155,DL,1
670,Vulkan,1
158,DSP,1
673,WPF,1
684,WebGPU,1
686,WebRTC,1
177,Depth Estimation,1
691,Whisper,1
180,Device Driver,1
693,WinDbg,1
181,Diffusion,1
183,Django,1
695,Windows,1
697,Wireframe,1
692,Win32 API,1
701,XR,1
190,EMC/EMI,1
703,YOLO,1
198,Electron,1
199,Embedded,1
201,Ethernet,1
203,Event-driven,1
210,FFmpeg,1
722,vLLM,1
212,FPGA,1
724,x86,1
726,정보보안기사,1
214,FastAPI,1
211,FHIR,1
218,Fine-tuning,1
221,Firmware,1
222,Flask,1
228,Foundry,1
230,FreeRTOS,1
232,GCP,1
233,GDI/GDI+,1
234,GDPR,1
237,GPU,1
239,GStreamer,1
240,Game,1
260,HCI,1
263,HL7,1
264,HLS,1
272,Healthcare,1
275,HuggingFace,1
277,I2C,1
279,IEC 62304,1
280,IMU,1
281,IPS/IDS,1
282,IPsec,1
284,ISO 13485,1
286,ISO 26262,1
289,ITIL,1
294,IoT,1
295,JAX,1
322,KubeFlow,1
325,L3 Switch,1
327,LLM,1
328,LLMOps,1
331,Label Studio,1
332,LangChain,1
333,LangGraph,1
334,LangSmith,1
339,LiDAR,1
341,Linear Algebra,1
342,Linux,1
343,Linux Kernel,1
352,MATLAB,1
356,MCU,1
358,MFC,1
359,MISRA C,1
360,ML,1
361,MLFlow,1
362,MLOps,1
364,MQTT,1
373,Mapbox,1
375,Markdown,1
378,Medical Device,1
387,Milvus,1
388,Mobility,1
389,Modbus,1
390,Model Serving,1
394,Multi-Agent,1
395,Multi-thread,1
396,Multimodal,1
401,NLP,1
403,NPU,1
407,Network,1
414,Nordic,1
419,Nvidia Issac Sim,1
420,Nvidia Omniverse,1
422,ONNX,1
431,On-premise,1
433,OpenAI API,1
434,OpenCL,1
435,OpenCV,1
436,OpenGL,1
437,OpenLayers,1
438,OpenSSL,1
442,OrCAD,1
444,PACS,1
445,PADS,1
446,PCB,1
450,PLM,1
451,PM,1
457,PX4,1
462,Photoshop,1
463,Physics Engine,1
464,Pillow,1
469,Pose Estimation,1
476,PowerShell,1
480,Prompt Engineering,1
484,Prototyping,1
488,Python,1
490,QNX,1
491,Qt,1
492,Quantization,1
496,RAG,1
499,RF,1
500,RISC-V,1
503,ROS,1
505,RS232,1
506,RS422,1
507,RS485,1
510,RTOS,1
1,.NET,2
2,.NET Core,2
255,Grafana,2
519,Redis,2
8,ABAP,2
13,AML,2
273,Helm,2
19,ASP.NET,2
278,IAM,2
535,Ruby,2
23,AWS,2
25,AWS Aurora,2
283,ISMS-P,2
27,AWS CloudFormation,2
542,SAP,2
31,AWS ECS,2
32,AWS EKS,2
543,SAP CO,2
33,AWS ElastiCache,2
547,SAP S/4HANA,2
36,AWS Lambda,2
37,AWS OpenSearch,2
550,SCM,2
39,AWS RDS,2
296,JMeter,2
40,AWS Route 53,2
298,JPA,2
42,AWS SNS,2
41,AWS S3,2
43,AWS SQS,2
302,Java,2
305,Jenkins,2
562,SRE,2
56,Ansible,2
313,KMS,2
569,Salesforce,2
