Node_ID,Skill,Community_ID
2,3D Geometry,0
3,3D Motion,0
4,3D Reconstruction,0
9,ADAS,0
10,AI,0
11,AIOps,0
13,API,0
14,AR,0
15,ARM,0
18,ASR,0
19,AWS,0
22,AWS Bedrock,0
29,AWS ElastiCache,0
31,AWS Lambda,0
32,AWS OpenSearch,0
38,Action Recognition,0
41,Altium,0
43,Android,0
45,Animation,0
53,Audio,0
54,AutoML,0
55,Autonomous Driving,0
56,Azure,0
60,BentoML,0
63,Blender,0
66,C,0
67,C++,0
69,CAD,0
77,CS,0
80,CUDA,0
81,CVAT,0
88,ChatGPT,0
89,Circuit Design,0
90,Claude,0
92,Codec,0
94,Computer Graphics,0
95,Computer Vision,0
99,Crawler,0
106,DL,0
107,DPDK,0
108,DSP,0
109,Dagger Hilt,0
123,Depth Estimation,0
126,Diffusion,0
128,Docker,0
136,EVM,0
138,Embedded,0
144,FPGA,0
146,FastAPI,0
150,Fine-tuning,0
153,Flask,0
155,Flow,0
157,Foundation Model,0
160,GCP,0
161,GNN,0
162,GPU,0
163,Game,0
164,Gemini,0
170,Google ADK,0
175,GraphQL,0
180,HMI,0
185,Healthcare,0
188,HuggingFace,0
191,IEC 62304,0
192,IMU,0
194,ISO 14971,0
195,ISO 26262,0
198,ITIL,0
203,JAX,0
206,JSON,0
212,Jetpack Compose,0
215,KMS,0
216,KVM,0
220,KoNLPy,0
222,KubeFlow,0
223,Kubernetes,0
224,LLM,0
225,LLMOps,0
227,Label Studio,0
228,LangChain,0
229,LangGraph,0
230,LangSmith,0
231,LiDAR,0
233,Linear Algebra,0
235,Linux Kernel,0
241,MATLAB,0
243,MCU,0
245,MFC,0
246,ML,0
247,MLFlow,0
248,MLOps,0
255,Markdown,0
256,Media,0
257,Medical Device,0
260,Milvus,0
262,Model Serving,0
263,Monday.com,0
266,Multi-Agent,0
267,Multi-thread,0
268,Multimodal,0
270,NLP,0
271,NLTK,0
272,NPU,0
275,Neural Rendering,0
283,NumPy,0
285,Nvidia Issac Sim,0
286,Nvidia Omniverse,0
288,ONNX,0
289,OOP,0
292,On-premise,0
294,OpenAI API,0
295,OpenCL,0
296,OpenCV,0
297,OpenGL,0
298,OpenStack,0
300,OrCAD,0
302,PACS,0
303,PADS,0
304,PCB,0
313,PX4,0
316,Photoshop,0
317,Physics Engine,0
318,Pillow,0
321,Poetry,0
322,Pose Estimation,0
331,Prompt Engineering,0
334,Prototyping,0
338,Python,0
340,QNX,0
341,Quantization,0
343,RAG,0
345,REST API,0
348,ROS,0
350,RTOS,0
352,Ray,0
363,Rigging,0
365,Robotics,0
367,Routing,0
374,SAP SD,0
377,SLAM,0
381,SQLAlchemy,0
387,Scikit-image,0
394,Sensor,0
