Node_ID,Skill,Community_ID
257,Medical Device,0
4,3D Reconstruction,0
261,Mobility,0
262,Model Serving,0
260,Milvus,0
9,ADAS,0
10,AI,0
266,Multi-Agent,0
268,Multimodal,0
11,AIOps,0
270,NLP,0
15,ARM,0
272,NPU,0
14,AR,0
18,ASR,0
22,AWS Bedrock,0
286,Nvidia Omniverse,0
288,ONNX,0
292,On-premise,0
294,OpenAI API,0
295,OpenCL,0
296,OpenCV,0
297,OpenGL,0
43,Android,0
53,Audio,0
55,Autonomous Driving,0
60,BentoML,0
318,Pillow,0
63,Blender,0
322,Pose Estimation,0
67,C++,0
66,C,0
69,CAD,0
70,CAE,0
71,CAN,0
331,Prompt Engineering,0
77,CS,0
334,Prototyping,0
80,CUDA,0
81,CVAT,0
338,Python,0
341,Quantization,0
343,RAG,0
88,ChatGPT,0
90,Claude,0
348,ROS,0
92,Codec,0
94,Computer Graphics,0
95,Computer Vision,0
352,Ray,0
350,RTOS,0
106,DL,0
108,DSP,0
365,Robotics,0
120,Dataflow,0
377,SLAM,0
123,Depth Estimation,0
381,SQLAlchemy,0
126,Diffusion,0
128,Docker,0
387,Scikit-image,0
136,EVM,0
394,Sensor,0
138,Embedded,0
395,Sentry,0
397,Simulation,0
140,Exchange,0
142,Express.js,0
402,SoC,0
150,Fine-tuning,0
155,Flow,0
156,Flutter,0
162,GPU,0
163,Game,0
164,Gemini,0
427,TPM,0
428,TTS,0
432,TensorRT,0
437,Transformer,0
439,Triton,0
185,Healthcare,0
188,HuggingFace,0
444,Unity,0
447,Unreal Engine,0
192,IMU,0
450,VITS,0
454,VR,0
456,Vector DB,0
457,Verilog,0
458,Vertex AI,0
203,JAX,0
459,Virtualization,0
206,JSON,0
469,WebRTC,0
473,Whisper,0
474,Windows,0
222,KubeFlow,0
479,YOLO,0
224,LLM,0
225,LLMOps,0
227,Label Studio,0
228,LangChain,0
229,LangGraph,0
230,LangSmith,0
231,LiDAR,0
486,iOS,0
233,Linear Algebra,0
235,Linux Kernel,0
492,vLLM,0
495,정보처리기사,0
241,MATLAB,0
243,MCU,0
246,ML,0
247,MLFlow,0
248,MLOps,0
249,MQTT,0
1,.NET,1
264,MongoDB,1
265,Monitoring,1
269,MySQL,1
13,API,1
17,ASP.NET,1
274,Network,1
19,AWS,1
21,AWS Aurora,1
279,NoSQL,1
27,AWS ECS,1
28,AWS EKS,1
32,AWS OpenSearch,1
289,OOP,1
34,AWS RDS,1
290,ORM,1
36,AWS SNS,1
291,Observability,1
299,OpenTelemetry,1
301,Oracle,1
46,Ansible,1
306,PL,1
307,PLM,1
52,Async,1
51,ArgoCD,1
56,Azure,1
