Node_ID,Skill,Community_ID
261,Mobility,0
12,AML,0
273,NestJS,0
276,Next.js,0
277,Nginx,0
280,Node.js,0
25,AWS CodePipeline,0
282,Notion,0
26,AWS Direct Connect,0
284,Nuxt.js,0
36,AWS SNS,0
37,AWS SQS,0
299,OpenTelemetry,0
44,Angular,0
43,Android,0
302,PACS,0
48,Appium,0
305,PHP,0
308,PM,0
309,PMF,0
310,PMP,0
312,PRD,0
57,Backoffice,0
59,BeautifulSoup,0
315,Payment,0
62,Bitbucket,0
64,Blockchain,0
321,Poetry,0
320,Playwright,0
324,Postman,0
70,CAE,0
332,PropTech,0
78,CSS,0
79,CSTS,0
337,Puppeteer,0
87,Charles,0
345,REST API,0
91,Cloudflare,0
96,Confluence,0
353,React,0
354,React Native,0
355,Recharts,0
358,Redmine,0
103,D3.js,0
104,DDD,0
360,Redux,0
364,Roadmap,0
368,Ruby on Rails,0
369,Rust,0
374,SAP SD,0
376,SEO,0
121,DeFi,0
378,SOLID,0
379,SPA,0
124,Design System,0
383,SSE,0
384,SSR,0
127,Django,0
389,Scrum,0
391,Search Engine,0
136,EVM,0
393,Selenium,0
395,Sentry,0
141,Expo,0
398,Slack,0
142,Express.js,0
399,Smart Contract,0
146,FastAPI,0
147,Fastlane,0
148,Figma,0
404,Solidity,0
153,Flask,0
156,Flutter,0
412,Storage,0
415,Storybook,0
417,Styled-components,0
419,Svelte,0
420,Swagger,0
421,Swift,0
166,GitHub Actions,0
423,TCP/IP,0
170,Google ADK,0
430,Tailwind CSS,0
175,GraphQL,0
431,Tanstack Query,0
434,Test Case,0
435,Three.js,0
181,HTML,0
182,HTTP,0
184,Hadoop YARN,0
440,TypeScript,0
441,UI,0
451,VM,0
197,ISTQB,0
456,Vector DB,0
459,Virtualization,0
460,Vite,0
461,Vue,0
204,JMeter,0
209,JavaScript,0
465,Wallet,0
211,Jest,0
468,WebGL,0
213,Jira,0
469,WebRTC,0
214,Jotai,0
470,WebSocket,0
471,Webpack,0
467,Web3,0
477,XML,0
480,Yarn Berry,0
483,Zod,0
484,Zustand,0
230,LangSmith,0
487,k6,0
486,iOS,0
489,nGrinder,0
491,shadcn/ui,0
237,Loki,0
494,정보보호,0
249,MQTT,0
253,MVP,0
5,A/B Testing,1
6,AARRR,1
8,AD Tech,1
16,ARPU,1
20,AWS Athena,1
22,AWS Bedrock,1
23,AWS CloudFormation,1
24,AWS CloudFront,1
30,AWS Kinesis,1
31,AWS Lambda,1
33,AWS QuickSight,1
35,AWS S3,1
39,Agile,1
42,Amplitude,1
47,Apache,1
50,AppsFlyer,1
54,AutoML,1
60,BentoML,1
61,BigQuery,1
65,Braze,1
68,CAC,1
71,CAN,1
73,CDC,1
75,CPI,1
82,CX,1
83,Cassandra,1
84,CatBoost,1
85,Causal Inference,1
93,Cohort Analysis,1
98,Copilot Studio,1
100,Credit Scoring,1
101,Crypto,1
110,Data Cleansing,1
111,Data Extraction,1
112,Data Governance,1
113,Data Mart,1
114,Data Modeling,1
115,Data Quality,1
116,Data Warehouse,1
117,DataHub,1
118,Databricks,1
119,Datadog,1
120,Dataflow,1
122,Debezium,1
130,DynamoDB,1
131,E-commerce,1
132,ELT,1
133,EMR,1
135,ETL,1
137,Elasticsearch,1
139,Excel,1
140,Exchange,1
143,FHIR,1
145,Facebook Ads,1
149,Finance,1
151,Fintech,1
152,Firebase,1
154,Flink,1
158,Foundry,1
159,Funnel Analysis,1
163,Game,1
167,GitLab CI,1
168,GitOps,1
171,Google AdMob,1
172,Google Analytics,1
173,Google Workspace,1
174,Grafana,1
176,Growth Hacking,1
177,HBase,1
178,HIS,1
179,HL7,1
199,IaC,1
200,Iceberg,1
218,Kanban,1
219,Kibana,1
221,Kotlin,1
225,LLMOps,1
226,LTV,1
232,LightGBM,1
236,Logistics,1
238,Looker Studio,1
240,Luigi,1
242,MAU,1
250,MS Office,1
255,Markdown,1
256,Media,1
258,Metabase,1
259,MetricFlow,1
260,Milvus,1
281,North Star Metric,1
283,NumPy,1
287,O2O,1
291,Observability,1
293,Oozie,1
311,PO,1
314,Pandas,1
325,Power Apps,1
326,Power Automate,1
327,Power BI,1
328,Power Platform,1
329,Prefect,1
330,Prometheus,1
333,Protocol Buffers,1
335,Pub/Sub,1
336,Pulsar,1
342,R,1
346,ROAS,1
347,ROI,1
356,Redash,1
359,Redshift,1
362,Retention,1
366,Room,1
375,SCM,1
381,SQLAlchemy,1
382,SRE,1
386,Scala,1
388,Scikit-learn,1
390,ScyllaDB,1
401,Snowflake,1
407,Spreadsheet,1
411,Statistics,1
413,Storm,1
416,Streaming,1
418,Superset,1
429,Tableau,1
433,Terraform,1
438,Trino,1
445,Unity Ads,1
452,VOC,1
455,VTK,1
458,Vertex AI,1
476,XGBoost,1
482,Zeplin,1
485,dbt,1
1,.NET,2
7,ABAP,2
264,MongoDB,2
269,MySQL,2
17,ASP.NET,2
274,Network,2
21,AWS Aurora,2
278,No-code,2
279,NoSQL,2
27,AWS ECS,2
28,AWS EKS,2
289,OOP,2
34,AWS RDS,2
290,ORM,2
292,On-premise,2
41,Altium,2
298,OpenStack,2
300,OrCAD,2
301,Oracle,2
46,Ansible,2
303,PADS,2
304,PCB,2
49,Apps Script,2
306,PL,2
51,ArgoCD,2
52,Async,2
58,Backup/Restore,2
323,PostgreSQL,2
72,CCNP,2
76,CQRS,2
86,Celery,2
344,RDBMS,2
351,RabbitMQ,2
357,Redis,2
107,DPDK,2
370,SAP,2
371,SAP CO,2
372,SAP FI,2
373,SAP S/4HANA,2
125,DevOps,2
129,DocumentDB,2
385,Salesforce,2
392,Security,2
396,Shell Script,2
400,Smart Factory,2
403,Socket,2
408,Spring,2
409,Spring Security,2
410,Spring WebFlux,2
169,Go,2
426,TMS,2
180,HMI,2
436,Tibero,2
183,Hadoop,2
186,Helm,2
187,Hive,2
446,Unix,2
193,ISMS-P,2
449,VBA,2
196,ISO27001,2
198,ITIL,2
201,Impala,2
202,IoT,2
205,JPA,2
207,JWT,2
463,WMS,2
464,WPF,2
210,Jenkins,2
216,KVM,2
474,Windows,2
481,Zabbix,2
234,Linux,2
