기업명,Skill
우아한형제들(배달의민족),SQL
우아한형제들(배달의민족),CS
우아한형제들(배달의민족),Spreadsheet
더존비즈온,Claude
더존비즈온,Prototyping
더존비즈온,Planning
더존비즈온,ChatGPT
더존비즈온,AI
더존비즈온,Gemini
넥슨코리아(NEXON),SQL
넥슨코리아(NEXON),Statistics
넥슨코리아(NEXON),GCP
넥슨코리아(NEXON),Game
넥슨코리아(NEXON),AWS
넥슨코리아(NEXON),A/B Testing
넥슨코리아(NEXON),AI
에이블리코퍼레이션,E-commerce
에이블리코퍼레이션,A/B Testing
에이블리코퍼레이션,QA
에이블리코퍼레이션,Data Cleansing
비바리퍼블리카(토스),Growth Hacking
비바리퍼블리카(토스),AD Tech
비바리퍼블리카(토스),Retention
비바리퍼블리카(토스),Cohort Analysis
여기어때컴퍼니,SQL
여기어때컴퍼니,Apps Script
여기어때컴퍼니,Python
여기어때컴퍼니,n8n
비바리퍼블리카(토스),ML
비바리퍼블리카(토스),E-commerce
당근서비스,SQL
당근서비스,Excel
당근서비스,Looker Studio
당근서비스,Tableau
당근서비스,CS
당근서비스,A/B Testing
당근서비스,Monitoring
당근서비스,AI
당근서비스,BigQuery
페이타랩(패스오더),Cohort Analysis
페이타랩(패스오더),QA
페이타랩(패스오더),O2O
페이타랩(패스오더),CAC
페이타랩(패스오더),ROAS
페이타랩(패스오더),ROI
페이타랩(패스오더),A/B Testing
페이타랩(패스오더),AI
페이타랩(패스오더),Retention
페이타랩(패스오더),BigQuery
빗썸,SQL
빗썸,Python
빗썸,Crypto
빗썸,Finance
빗썸,AI
다큐브(daquv),SQL
다큐브(daquv),Data Modeling
다큐브(daquv),Power BI
다큐브(daquv),dbt
다큐브(daquv),Tableau
다큐브(daquv),Planning
다큐브(daquv),MetricFlow
다큐브(daquv),LLM
다큐브(daquv),AI
토스플레이스,Statistics
토스플레이스,Cohort Analysis
토스플레이스,Tableau
토스플레이스,AARRR
토스플레이스,Retention
비바리퍼블리카(토스),Looker Studio
비바리퍼블리카(토스),Data Mart
비바리퍼블리카(토스),Tableau
비바리퍼블리카(토스),Data Quality
비바리퍼블리카(토스),ETL
비바리퍼블리카(토스),Redash
비바리퍼블리카(토스),QA
마이리얼트립,R
마이리얼트립,Python
마이리얼트립,Statistics
마이리얼트립,Prompt Engineering
마이리얼트립,PM
마이리얼트립,RAG
마이리얼트립,A/B Testing
마이리얼트립,AutoML
마이리얼트립,LLM
마이리얼트립,AI
마이리얼트립,QA
마이리얼트립,Funnel Analysis
백패커,Snowflake
백패커,Statistics
백패커,Looker Studio
