기업명,주요업무,자격요건,우대사항
하이브(HYBE),"[주요 업무책임]• 온/오프라인 ​터치포인트에서 발생하는 ​다양한 ​형태의 데이터(음원/영상 스트리밍, ​SNS, 공연 ​등)를 정제하여 통합적 연결성 강화• 정형/비정형 데이터를 융합한 모델링을 통해 패턴 분석, 산업 현황 진단 및 시장 변화 예측• 지역/아티스트/BM별 맞춤형 전략 수립을 위한 데이터 기반 인사이트 제공• 산업 지형 파악을 위한 지표 개발 및 모니터링.","[필수 자격요건]• 데이터사이언스, 통계학, 컴퓨터공학, 수학 또는 관련 분야 학사 이상 학위• 머신러닝, 딥러닝, AI 분야에서 3년 이상의 실무 경험• Python, R 등 프로그래밍 언어와 SQL 등 데이터베이스 쿼리 언어에 대한 능숙한 활용 능력• 대용량 데이터 처리 및 분석 경험• 통계적 분석 및 가설 검정에 대한 전문 지식• Tableau, Power BI 등 데이터 시각화 도구 활용 능력.","[선호 자격요건]• GCP 및 Google BigQuery를 통한 대규모 데이터 핸들링 경험• 내부 DB를 활용한 RAG(Retrieval Augmented Generation) 구축 경험• 텍스트 마이닝, 이미지 분석, 음성 인식 등 비정형 데이터 처리 경험• 엔터테인먼트 산업 데이터 분석 및 비즈니스 인사이트 도출 경험﻿• 원활한 영어 커뮤니케이션 능력[필요 역량]• 데이터 분석가, 데이터 엔지니어, 유관 부서와의 원활한 커뮤니케이션 및 협업 능력• 복잡한 비즈니스 문제를 데이터 관점에서 재정의하고 해결책을 도출하는 능력• 분석 주제 발굴과 접근 방식에 대한 혁신적 사고• 결과물에 대한 높은 기준과 엄격한 데이터 품질 관리• 급변하는 트렌드 속에서 우선순위를 정하고 효율적으로 업무를 수행하는 능력."
업스테이지,"• AI 모델 개발을 위한 데이터 수집, 분석, 가공, 평가, 관리 전반의 프로젝트 운영 • 최신 AI 모델 개발 흐름을 바탕으로 한 창의적인 벤치마크 설계 및 학습 데이터 구축• AI 모델을 활용한 텍스트 및 이미지 데이터 증강부터 Human Feedback Loop까지 신규 데이터셋 구축을 위한 유기적인 데이터 제작 파이프라인 설계와 실행• 고품질 데이터셋 구축을 위한 내외부 협업 및 커뮤니케이션[근무 형태]• 정규직.","• HuggingFace 및 데이터 전처리/후처리 라이브러리(OpenCV, KoNLPy, NLTK, SpaCy 등)를 활용한 데이터 처리 경험이 있으신 분• Python 프로그래밍에 능숙하신 분• 다양한 팀과의 협업에서 원활한 커뮤니케이션 및 협력할 수 있는 능력이 있으신 분.",• AI 기술을 활용한 실제 제품 개발 경험이 있으신 분• AI 모델링 경험이 있는 분• 파운데이션 모델 API를 활용한 서비스 개발 또는 프로젝트 수행 경험이 있으신 분• 문제 해결을 위한 정량적 및 정성적 평가를 설계하고 실제로 적용해본 경험이 있으신 분.
마이리얼트립,"• 마이팩 데이터 분석데이터 분석을 통해 수요를 미리 읽고 ‘언제, 어떤 상품을 내놓을지’ 결정하는데 도움을 줍니다.상세 ＞ 구매 전환 퍼널을 데이터로 살피며 병목을 없애고, 기획전·상시 상품의 성과를 실험으로 검증하며 마이팩 버티컬의 성장을 도모 합니다.• 교통·통신 데이터 분석Rail Europe 구간권(P2P) 연동을 시작으로 일본 JR 패스·해외 렌터카 등 다양한 이동 수단을 순차적으로 통합하려 합니다.데이터 분석가는 고객 여정 데이터를 면밀히 분석해 최적의 교통 옵션을 추천하고, 항공·숙소·투어와 매끄럽게 이어지는 원스톱 여행 준비 경험을 제공하도록 합니다.분석을 통해 교통·통신관련 고객의 여행을 진정으로 돕고, 팀과 서비스가 함께 성장할 수 있도록 합니다.• End-to-End 문제 해결 & 데이터 문화 확산문제 정의 ＞ 데이터 모델링 ＞ 실험 설계 ＞ 제품 반영까지 주도적 오너십을 가지고, 반복 작업은 Generative AI·Workflow Automation으로 효율화 합니다.전사 구성원이 데이터를 ‘읽고·쓰고·행동’할 수 있도록 교육 및 가이드를 제공하여 함께 성장하는 문화를 만듭니다.","• 데이터 조작 및 분석 능력• SQL을 통해 데이터베이스에서 원하는 데이터를 추출할 수 있는 분• Python/R 로 데이터를 가공·전처리하고, 시각화까지 일관되게 수행할 수 있는 분2. 기본적인 통계 및 분석 역량• 기초 통계학·실험 설계(Design of Experiments)를 이해하고 있는 분• A/B 테스트, 퍼널 분석 등을 실제 서비스에 적용해 본 경험이 있는 분3. 데이터 기반의 변화 추진 능력 • 데이터를 기반으로 서비스나 업무 프로세스에 실질적인 변화를 만들어낼 수 있는 분• 개발자, 디자이너, PM, 비즈니스 담당자 등 다양한 직군과 원활하게 협업할 수 있는 분.","• 문제를 스스로 정의하고 끝까지 해결하려는 오너십을 지닌 분• 난관이 와도 쉽게 포기하지 않고 집요하게 파고드는 분• 익숙하지 않은 영역도 과감히 도전하며 자기 성장을 추구하는 분• AI·자동화 도구(Generative AI, AutoML, Prompt Engineering 등)를 활용해 반복적인 분석·리포트·Batch 작업을 자동화하고 팀 생산성을 향상시킨 경험, LLM·RAG 기반 분석/서비스 프로토타입을 신속히 구축하거나 운영에 적용한 사례• AI 기술을 팀원에게 전파하고 분석 워크플로를 ‘지능형’으로 고도화한 경험을 공유할 수 있는 분."
카카오페이(kakaopay),"• 카카오페이 데이터 및 마이데이터를 기반으로 대안신용평가, 고객/가맹점 프로파일, 비즈니스 예측모델 개발 등 지속적인 데이터 자산화 활동을 해요.• 내,외부의 다양한 데이터를 탐색하고 분석하여 비즈니스에 도움이 되는 피쳐를 발굴하고 개발해요.• 카카오페이 서비스 및 비즈니스에 필요한 다양한 분류, 예측 알고리즘을 개발하고 최적화해요.• 데이터 탐색부터 데이터 및 모델 파이프라인 개발, 운영, 모니터링까지 전 과정을 수행해요.","• 관련 데이터 업무 경력 3년 이상되신 분을 원해요.• 데이터 EDA 및 피쳐 개발, 머신러닝/딥러닝 모델을 개발하여 서비스에 적용하는 역량을 갖추신 분을 원해요.• 데이터 워크플로우 플랫폼을 이용하여 데이터/모델 파이프라인을 개발하고 운영할 수 있는 분을 원해요.• 데이터 분석, 모델 개발 및 서빙을 위한 Python, SQL 등의 언어를 능숙하게 다룰 수 있는 분을 원해요.• Hadoop Eco System(Hive/Impala, Spark 등)과 같은 빅데이터 플랫폼 사용 경험이 있는 분을 원해요.","• 대안신용평가 관련 업무 경험 또는 신용평가모형 개발 및 내재화 경험이 있는 분이면 더 좋아요.• 고객/가맹점 프로파일 데이터 관련 업무 경험이 있거나 이해도가 높은 분이면 더 좋아요.• 복잡한 원천 데이터를 직접 정제하여 활용한 경험이 있는 분이면 더 좋아요.• 대용량 데이터를 활용하여 모델을 개발하고, 개발 결과를 실제 서비스에 적용해보신 경험이 있는 분이면 더 좋아요.• 대용량 데이터 처리 및 파이프라인 자동화 역량을 보유한 분이면 더 좋아요.• 도메인에 대한 이해와 업무 경험을 바탕으로 데이터 기반의 적극적인 제안을 하실 수 있는 분이면 더 좋아요.• 동료와 원활하게 소통하며 협업하실 수 있는 분이면 더 좋아요."
도터,• 의료 데이터 라벨링 및 품질 관리• 특허 및 기술 보고서 작성 보조• Git/GitHub 기반 소스 코드 관리 및 협업.,"• 인공지능, 데이터사이언스, 컴퓨터공학 등 관련 전공 학사 (신입 ~ 3년 경력, 졸업 예정자 포함)• Python 프로그래밍 및 PyTorch, TensorFlow 등의 딥러닝 프레임워크 활용 능력• OpenCV, Pillow, Scikit-Image 등의 영상 처리/분석 라이브러리 활용 능력• 기술 문서 작성 역량 (README, 연구 노트, 기술 보고서 등).",• 의료 영상 또는 의료 데이터 프로젝트 경험• 인공지능 관련 대회 수상 또는 공개 리더보드 성과• 인공지능 모델 서빙/배포 경험• 영어 기술 문서 독해 및 작성 능력.
게임듀오,"데이터 정제/가공/분석 및 자동화-유저 행동 Raw 데이터 등 모바일 게임에서 발생하는 데이터를 정제, 가공 및 분석합니다. 이를 토대로 리포트와 대시보드를 작성하여 실제 Action Plan으로 이어질 수 있도록 기여합니다.-나아가, 반복적인 분석 리포트 출력을 자동화하고 주요 지표를 시스템화하여 전사의 효율적인 데이터 활용을 돕습니다.핵심 지표/로그 설계 및 실험 분석-게임 운영 및 분석에 필요한 핵심 지표와 로그 데이터를 설계하고 관리합니다. 이를 통해 목표 달성을 지원하고, 가설 검증을 위한 다양한 실험(A/B 테스트 등)을 계획하고 진행합니다.데이터 기반 의사 결정-경영진, PD, 기획자, 개발자, 마케터 등 다양한 직군의 동료들과 함께 주요 의사 결정 과정에 참여합니다. 데이터 기반(Data Informed) 문제 해결방식을 제시하여 보다 효과적인 의사 결정을 지원합니다.ML/DL 기술 활용-데이터 분석 결과와 예측 모델을 개발하여 게임 운영에 안정적으로 반영합니다. ML/DL 기술을 활용하여 유저 경험을 개선하는 데 기여합니다.사내 데이터 문화 개선-전사적인 데이터 리터러시 향상을 위한 활동에 기여합니다. 정기 데이터 세미나(분기 1-2회)를 기획/진행하거나, 데이터 인사이트 아티클을 작성 및 공유하며 데이터 기반 문화를 함께 만들어갑니다.","Python, SQL을 활용하여 데이터를 원하는 형태로 핸들링이 가능하신 분BI Tool(Looker Studio, Tableau, Superset 등)을 활용하여 대시보드 제작 경험이 있으신 분게임 데이터 분석에서 발생가능한 복잡한 이슈를 Deep dive 하여 해결할 수 있는 역량을 보유하신 분A/B 테스트, 수학/통계에 대한 이해를 바탕으로 목표에 맞는 실험 설계와 가설 검증이 가능하신 분다양한 팀원들과 주도적으로 협업하며 자기주도적이고 진취적이신 분GCP, AWS 등 클라우드 환경에서 데이터 활용 경험을 보유한 분.","게임을 좋아하시는 분게임 로그를 정의하고 분석한 경험이 있는 분ARPU, LTV, Funnel, Retention, CPI 등을 활용한 게임 데이터 분석 기법에 높은 이해도를 가지신 분BigQuery와 Airflow를 다양하게 다뤄본 경험을 보유한 분인과추론(Causal Inference) 방법론에 대한 이해 및 실제 비즈니스 문제 적용 경험이 있는 분생성형 AI 등 최신 AI 기술을 코드 작성, 리포팅, 분석 업무에 접목하여 생산성을 크게 향상시킨 경험이 있는 분."
하이퍼커넥트,"[Content Understanding 업무 소개]AI Lab의 contents understadning 업무에서는 영상이나 이미지, 음성 및 자연어로 구성된 비정형 데이터를 입력으로 받아 비즈니스에 유용한 정보를 추출하는 데 집중하며, 모더레이션을 통한 신뢰와 안전(Trust & Safety) 업무에 기여하는 것을 주 목표로 합니다. 하이퍼커넥트 및 Match Group 브랜드에서 생성되는 컨텐츠를 이해하는 데 기여하며 글로벌 신뢰와 안전 기준을 충족하기 위해 Match Group과 협력하여 다양한 과제를 수행합니다.• 모바일 및 웹 환경에서 짧은 레이턴시와 낮은 전력 소비를 유지하면서도 높은 정확도를 달성할 수 있는 경량 모델 설계 및 최적화 기법• noise와 imbalance가 심한 데이터에서 레이블 품질을 추적 및 관리하고, 최소한의 라벨링으로 성능을 확보하기 위한 액티브 러닝, core-set selection, semi-/self-supervised 학습 방법• multi-task 또는 multi-label 분류를 제한된 파라미터 budget 내에서 최적화하고, 텍스트, 이미지, 영상 등 multi-modal 정보를 통합하는 모델링 기법• 도메인 간 분포 차이를 극복하는 도메인 적응, 서비스 확장성을 위한 meta-learning 기법• 국제 AI 기준을 맞추기 위한 Fairness 및 Privacy 보장을 위한 학습 방법• 사용자 행동 로그와 콘텐츠 분석 정보를 활용하여 스팸, 가짜 계정 등 이상 행위를 실시간으로 탐지하거나 사전 예측하는 스트리밍 기반 모델링• ML 프로덕션 프로세스를 혁신하기 위한 LLM 활용 방법.","• AI/ML 도메인 전반에 대한 이해와 적어도 한 개 이상의 특정 도메인에 대한 깊이 있는 지식을 갖춘 분• AI 기술의 제품화에 관심이 많으신 분• AI를 통한 문제 해결 역량 및 이를 위한 프로젝트 관리 역량을 갖춘 분• Tensorflow, PyTorch, CatBoost, JAX 등 오픈소스 프레임워크 기반 개발역량을 포함한 파이썬 개발역량이 충분하신 분• 강한 오너쉽을 발휘해 프로젝트의 A-Z를 책임지고 완수하실 수 있는 분• 여러 직군의 이해관계자와 협업할 수 있는 강력한 커뮤니케이션 능력을 갖추신 분• ML 시스템의 소프트웨어 개발 구조와 내용을 이해하고 기능을 기획할 수 있는 엔지니어링 역량이 있는 분• 데이터의 통계적 특성과 패턴을 발견하고 이를 AI 문제 해결에 반영하실 수 있는 분• A/B 테스트에 대한 이해를 갖추고 SQL 기반의 데이터 분석 역량을 갖춘 분• 학위나 국적은 무관하되 한국어로 원활한 의사소통이 가능한 분.","• 기계학습 관련 탑티어 학회 및 저널(NeurIPS, ICLR, ICML, CVPR, ICCV/ECCV, KDD, …) 게재 실적 혹은 AI 관련 대회 수상 실적이 있으신 분• AI/ML 도메인 전반에 대한 방대한 지식을 자랑할 수 있으신 분• 실제 서비스에 AI 기술을 통합하고 주요 지표를 유의미하게 향상시켜 본 경험이 있으신 분• PO/PM 혹은 그에 준하는 경험이 있으신 분• 영어로 원활한 의사소통이 가능하신 분• 인과관계 분석(DID, RCT, Causal Inference 등), 다변량 테스트, Sequential Testing 등에 대한 이해가 깊으신 분."
씨디알아이(CDRI),"• 화장품 TIC 산업의 요구사항에 맞추어 AI 프로덕트 개발 (Computer Vision, NLP)• 사내 Document Layout Analysis 모델 성능 지속적 개선 및 배포 파이프라인 관리• 화장품 인증 프로세스 자동화 멀티에이전트 시스템, 검색 시스템 개발• 사내 데이터, 글로벌 규제 빅데이터 ETL 파이프라인 구축 및 운영• 논문 및 특허 작성.","• 컴퓨터 공학, 통계학 등 머신 러닝 관련 분야를 전공하신 분• 딥러닝 프레임워크 활용에 능숙하신 분(Pytorch, Tensorflow 등)• Google ADK와 같은 프레임워크를 사용해 Agentic AI를 개발한 경험이 있는 분• LLM/AI 프로젝트 경험 (RAG, Context Engineering, MSA API 설계)• 새로운 기술(바이브 코딩, MAS)에 적극적이고 능동적인 분• 약속한 것을 지키고, 책임감 있게 일하는 태도.","• 인공지능, 컴퓨터 공학 분야 석사 이상 학위 보유• 머신러닝/딥러닝 분야 5년 이상 현업 경력• 인공지능 분야 국내외 논문 출판 경험• AWS ECS, Airflow, Redis, Celery를 활용한 클라우드 추론 인프라 구축 경험."
틸다,"다양한 산업의 기업과 협력하여 현실 세계의 문제와 요구사항을 정의하고, 학문적 수준에 머물러 있는 첨단 기술을 연구 및 개발을 통한 고도화 작업의 지원 역할을 맡게 됩니다.• 산업 현장 데이터 분석을 통한 Metheus 엔진 개발 지원.",• 업무 진행에 필요한 프로그래밍 언어 및 프레임워크에 익숙하신 분• 현실 세계의 문제를 기술적으로 해결하고자 하는 열정을 가지신 분• 협업을 위한 열린 자세와 논리적인 의사소통 능력을 갖추신 분.,• 오픈소스 컨트리뷰션 경험이 있으신 분• 관련 선행 연구 논문을 조사하고 분석할 수 있는 능력을 갖추신 분.
슈퍼센트,"• 예측 분석 & 머신러닝 모델 개발 • LTV(Life Time Value)와 ROAS(Return on Ad Spend) 예측 모델을 개발 및 최적화합니다 • 개별 사용자 및 코호트 기반 고가치 유저 행동 예측 모델링을 진행합니다 • iOS SKAN 4.0을 활용한 모바일 마케팅 attribution 모델을 구축합니다 • 실시간 사용자 특성별 세그멘테이션 및 개인화 추천 시스템을 개발합니다• MLOps & 자동화 • GCP기반 Kubeflow Pipelines/Vertex AI를 활용한 end-to-end ML 파이프라인을 구축합니다 • 모델 성능 모니터링, A/B 테스트 자동화 및 실험을 설계합니다.","• 데이터 사이언스, 통계학, 컴퓨터공학 전공자이거나(학사 이상) 관련 실무 경험이 있는 분 • Python(pandas, scikit-learn, numpy)에 능숙하고 SQL을 기본적으로 다룰 수 있는 분 • 분류/회귀 모델 개발, 하이퍼파라미터 튜닝, 교차검증 경험이 있는 분 • A/B 테스트 설계, 통계적 유의성 검증, 가설 검증 경험이 있는 분 [이런 기술이 필요해요]• Python (Pandas, NumPy, scikit-learn, XGBoost, LightGBM, TensorFlow/PyTorch)• SQL, Apache Spark• Git, Docker, Kubernetest• Kubeflow Pipelines, Apache Airflow• Google Cloud Platform (Vertex AI, BigQuery, Cloud Storage, Dataflow)• Tableau, Looker, Power BI.","• 데이터 사이언스/ML 엔지니어링 분야에서 3년 이상의 실무 경험이 있는 분• GCP(Vertex AI, BigQuery, GCS) 실무 경험이 있는 분• Kubeflow, Docker, Kubernetes를 이해하고 사용 경험이 있는 분• LTV, ROAS, CPI, SKAN 4.0 attribution 모델링 경험이 있는 분• 모바일 게임 사용자 행동 분석, 마케팅 믹스 모델링 경험이 있는 분."
