기업명,주요업무,자격요건,우대사항
왓챠,"• 더 ​나은 사용자 ​경험을 ​위한 ​추천 모델(Sequential recommendation, ​Graph ​modeling 등) 개발 ​및 ​서비스화• 이미지, ​텍스트 데이터를 활용한 ​멀티 모달 ​추천 ​모델 개발 ​및 개선• 다양한 ​데이터(로그, ​정형화된 데이터, 멀티 ​모달 등)를 ​추출하고 가공하여 모델 성능 향상• 기획/엔지니어 및 프로덕트 팀과의 협업을 통한 문제 해결.","• 머신러닝 및 딥러닝 이론과 기본기가 탄탄하신 분• Pytorch, Tensorflow 등 딥러닝 프레임워크를 활용해 보신 분• 데이터 기반의 합리적인 의사결정을 통해 문제를 해결할 수 있는 분• 코드 리뷰, 테스트 코드 작성이 익숙하신 분.",• 석사 이상 학위 보유 또는 이에 준하는 경력을 보유한 분• 대용량 데이터 기반의 모델링 경험이 있는 분• 새로운 기술에 지속적인 관심을 가지고 새로운 시도를 즐기는 분.
클래스유,"• AI 프로덕트의 클라이언트 개발 및 최적화• 데이터 온톨로지 엔진 개발• AGI 생성 플랫폼 구축• LLM파인튜닝 및 최적화• 시스템 아키텍처 설계 및 구현• 실험설계(A/B Testing, 인과추론) 및 통계분석• NPL.","[누구나 지원할 수 있습니다!]필요한 것은 단 하나 *공학적 사고를 하는가*• ""구조적으로 보면 이 문제는... 잠깐 멈춰서 내 접근 방식이 최선인가?"" 이런 식으로 생각해본 분• ""근본 원인을 분석해보면... 내 접근에 한계가... 편향이 있을 수 있다"" 자기성찰을 하는 분• ""현상 vs 본질을 구분하면서도 내 관점의 한계는 뭘까? 다른 각도로 생각해 보면 어떨까?"" 다층적 사고를 하는 분• ""이상한데... 뭔가 놓친게 있는 거 같은데"" 직감적으로도 문제를 감지하는 분• ""잠깐 멈춰서... 내가 확신하는게 맞나? 한번 더 체크해보자"" 의식적·무의식적 성찰이 자연스러운 분• ""이 원인들의 속성은 뭐지? 각 원인들 간에 상관관계가 있나요?"" 모호한 개념을 구체적인 속성들로 분해하고 각 요소 간의 관계를 체계적으로 매핑해본 경험이 있는 분※경력이나 학력, 기술 스택에 제한을 두지 않습니다.","기술적 경험이나 특정 스킬보다는 문제를 바라보는 사고방식을 더 중요하게 생각합니다특별히 가산점을 많이 부여하지 않습니다.* 해당 분야 경력 5년 이상 시 연봉 1억 5천만원부터[AI/Prompt Engineering]• LLM 파인퓨팅 및 RAG 시스템 구축 경험• 머신러닝 모델 프로덕션 배포 경험• 언어적 개념의 정의와 인문학적 사고력• 프롬프트 엔지니어링을 통한 실제 비즈니스 문제 해결 사례[Development (Backend/Frontend)]• 대용량 트래픽 처리 시스템 설계 경험• 클라우드 인프라(AWS/GCP/Azure) 설계 및 운영 경험[Product Manager]• 0-＞1 신제품 런칭 또는 피봇 성공 경험• 데이터 기반 의사결정 경험[Data Science/Analytics]• 실제 비즈니스 임팩트를 창출한 데이터 분석 프로젝트 경험• 대용량 데이터 파이프라인 구축 및 운영 경험• 실험 설계(A/B Testing, 인과추론) 및 통계적 분석 경험[UX/UI Design]• 사용자 중심 디자인을 통한 비즈니스 지표 개선 경험• 디자인 시스템 구축 경험[Marketing/Growth]• 데이터 드리븐 마케팅 및 그로스 해킹 경험• 브랜드 마케팅 캠페인 기획 경험※기술은 함께 배우면 됩니다. 공학적 사고가 더 중요해요!"
티맵모빌리티,"• AI Agent 품질 지표(metrics)를 정의·수립하고, 이를 자동화된 평가 파이프라인으로 구현·운영합니다.• 제품의 특징과 목적을 이해하고 이를 반영한 사용자 중심 시나리오 설계 및 평가합니다.• 실제 Application 환경에서 AI Agent가 기대하는 품질 수준을 충족하는지 end-to-end QA 관점으로 검증합니다.• Agent의 내부 동작(planning, tool call, reasoning 등)과 외부 결과물을 연계 분석하여 품질 문제 진단합니다.• 운영 중인 Agent 서비스 품질 모니터링, 이상 징후 탐지 및 지속 개선합니다.• 평가 체계 고도화를 위한 리서치 활동합니다. (예: LLM-as-a-judge, synthetic test data 생성 등).","• AI Model / AI Agent / AI Service 품질 평가 관련 경력 1년~5년 이상이거나 이에 준하는 경험을 보유하신 분• Application 레벨 시나리오 기반의 end-to-end 테스트 경험을 보유하신 분• 제품 특성을 고려한 사용자 중심 QA 시나리오 설계·평가 경험을 보유하신 분• 대규모 서비스 또는 AI 프로젝트에서 품질 관리 및 개선을 주도한 경험을 보유하신 분• Python 등 프로그래밍 언어 능숙하신 분 (테스트 자동화, 데이터 처리/분석 스크립트 작성 가능)• 머신러닝/딥러닝 및 LLM 기반 Agent 구조·동작 원리에 대한 이해도를 보유하신 분• 평가지표 정의 및 자동화된 평가/QA 파이프라인 구축 경험을 보유하신 분• 로그 분석 및 디버깅을 통한 오류 원인 추적 역량을 보유하신 분• 리서치 기반 탐색 경험을 보유하신 분 (예: synthetic data 생성, 평가용 LLM 활용, 새로운 지표 정의)• 품질 이슈를 명확히 정의·문서화하여 팀에 공유할 수 있는 능력을 보유하신 분• 개발/QA/Product 팀과의 cross-functional team 협업 경험을 보유하신 분• 기술적 문제를 비기술적 이해관계자도 이해할 수 있게 설명할 수 있는 역량을 보유하신 분• 품질 개선을 위한 적극적 제안과 피드백 제공 태도를 보유하신 분.","• AI Agent 또는 대화형 시스템 평가 경험을 보유하신 분• human-in-the-loop 평가 시스템 설계 경험을 보유하신 분• synthetic/adversarial test data generation 경험을 보유하신 분• 클라우드 환경(AWS, Azure, GCP 등) 기반 개발 및 운영 경험을 보유하신 분• AI 윤리성, 공정성, 설명 가능성(Explainability) 관련 지식을 보유하신 분."
삼양식품,"[How we work]• AI 에이전트를 단순한 도구를 넘어, 핵심 동료로 생각합니다: 우리는 모든 워크플로우를 인간과 AI 에이전트의 협업을 전제로 설계하고 발전시킵니다.• 가설을 실제 작동하는 결과물로 증명합니다: 우리는 긴 토론 대신, 아이디어를 즉시 검증하는 작은 에이전트나 빌드를 통해 가장 효율적인 답을 찾습니다.• 내부 효율화와 프로덕트 개발을 동일하게 중요하게 생각합니다: 팀의 생산성을 높이는 자동화 시스템 역시 고객에게 제공하는 핵심 기능만큼 중요하게 여기며, 지속적으로 개선합니다.[Role & Responsibility]• AI 에이전트 설계 및 개발: 팀의 반복적인 업무나 복잡한 의사결정을 대신할 수 있는 AI 에이전트를 직접 설계하고 개발하여, 팀원들이 더 중요한 문제에 집중할 수 있는 환경을 만듭니다.• 프로덕트 가치 증대: 틱톡 트렌드 분석, 바이럴 영상 분석, 크리에이터 온보딩 심사 등 프로덕트의 핵심 경험을 자동화하고 지능화하는 에이전트를 직접 만듭니다.• 새로운 워크플로우 정의 및 확산: AI 에이전트를 통해 기존의 일하는 방식을 완전히 새롭게 정의하고, 팀 전체가 AI Native로 거듭나는 여정을 이끌어갑니다.","[Who we are looking for]• 실전 에이전트 빌더: 최근 1개월 내 본인이 직접 만든 에이전트가 2개 이상 있거나, 이에 준하는 실전 경험을 Github 등으로 증명할 수 있는 분• 핵심 도구 활용 능력: n8n, 다양한 LLM API, 각종 MCP 서버에 대한 깊은 이해와 실전 경험을 갖춘 분• 멀티 스킬: 뛰어난 프롬프트 엔지니어링 능력과 함께 이를 실제 서비스와 워크플로우에 적용할 수 있는 시스템 설계 역량을 갖춘 분• 실험과 실행 우선: 철학적 논의보다 작동하는 에이전트를 먼저 만들어 보여주는 방식을 선호하며, 가설을 세우고 빠르게 실험하여 증명하는 문화에 공감하는 분.",
위시스트,• 마케터를 위한 LLM 기반 AI 에이전트 서비스 설계 및 개발 ‣ LLM 프롬프트 엔지니어링 및 최적화 ‣ AI 에이전트 워크플로우 설계 및 구현 ‣ Tool Use 등 LLM 기능 연동 및 개발• 멀티턴 응답을 위한 AI 에이전트 파이프라인 구축 ‣ 멀티 에이전트 시스템 설계 및 구현 ‣ RAG 시스템 구축• LLM 성능 모니터링 및 품질 개선 ‣ 응답 품질 평가 및 최적화 ‣ 비용 효율화 및 레이턴시 개선.,"• Python 기반 LLM 애플리케이션 개발 경험• OpenAI, Anthropic 등 주요 LLM API 활용 경험• 프롬프트 엔지니어링 실무 경험• 기획자, 프론트엔드 개발자, 백엔드 개발자 등 다양한 직군과의 원활한 협업 능력.","• 초기 스타트업 환경에서 빠른 실험과 반복을 즐기시는 분 ‣ 시장 반응에 따른 빠른 방향 전환에 유연하게 대응 가능하신 분• AI 에이전트 시스템 설계 및 구축 경험• RAG 시스템 구축 경험 (Vector DB, Embedding 등)• Fine-tuning, RLHF 등 모델 최적화 경험• 마케팅 도메인 지식 및 관련 AI 프로젝트 경험• 논문 구현 또는 오픈소스 LLM 프로젝트 기여 경험."
버즈니(Buzzni),• 검색 백엔드 시스템 개발• 검색 관련 인프라 운영 관리.,"• 상용 서비스를 개발하고 운영해본 경험이 있거나, 빠르게 실무 역량을 발휘할 수 있는 분.","• 다른 사람이 작성한 코드의 구조와 로직을 빠르게 이해하고, 필요 시 효과적으로 리팩터링할 수 있는 역량을 갖추신 분• 백엔드 개발 실무 경험이 2년 이상 있으시거나, 이에 준하는 기술적 이해도를 보유하신 분• Elasticsearch를 활용하여 검색 또는 분석 시스템을 구축한 경험이 있으신 분• 테스트 코드의 중요성을 인지하고, 상황에 맞는 테스트를 개발 과정에 자연스럽게 통합하실 수 있는 분• 빌드, 테스트, 배포의 자동화(CI/CD) 환경을 구성하고 운영해본 경험이 있으신 분• Kubernetes 등 컨테이너 오케스트레이션 환경에 대한 이해와 실무 경험이 있으신 분• AWS 기반의 인프라 환경에서 서비스 운영 경험이 있으신 분[기술스택]• 프로그래밍 언어: Python• 인프라: AWS, Amazon EKS, Kubernetes On-Premises (hybrid)• 모니터링: Sentry, Elastic Stack, Prometheus & Grafana• 데이터베이스: Postgres, Redis, MongoDB■ 버즈니 소개버즈니는 인공지능 기술 기반 서비스 회사입니다. 2008년 세계 검색 대회 TREC 에서 1위(KLE팀)를 하면서 남다른 기술 DNA를 가지고 시작했습니다. 이후 모바일 시대에는 모바일 커머스 플랫폼 ‘홈쇼핑모아’로 성장했으며, 그 과정에서 이커머스에 필요한 다양한 커머스 AI기술들을 개발해 왔습니다.AI라는 큰 시대적 흐름에 맞춰 지난 2020년에는 버즈니 AI Lab을 출범하면서 다양한 커머스 AI 기술을 선도적으로 연구개발하고 있습니다. 2024년에는 커머스AI 기술을 누구나 쉽게 구독하여 비즈니스 효과를 만들 수 있는 커머스AI 구독 비즈니스 ‘에이플러스 AI’를 시장에 제공하며 빠르게 성장하고 있습니다.올해 모바일 커머스 플랫폼 ‘홈쇼핑모아’는 버즈니의 커머스AI 기술로 새로운 성장 동력을 얻고 있습니다. 버즈니의 신규 비즈니스인 커머스AI 구독 서비스 ‘에이플러스 AI’도 대형 이커머스사를 주요 고객사로 확보하면서 새롭게 성장하고 있는 국내 커머스AI 구독 서비스 시장을 빠르게 선점하고 있습니다.■ 버즈니가 걸어온 성장의 즐거움• 2024 커머스AI 구독 서비스 'APlus AI' 런칭• 2023 쇼핑 GPT '옥순AI' 베타 서비스 런칭 홈쇼핑모아 1500만 누적 다운로드 돌파• 2022 홈쇼핑모아, 현대홈쇼핑과 더블유쇼핑 상품 바로결제 도입• 2021 일생활균형 서울형 강소기업 선정• 2020 아시아 태평양 고성장 기업 20202 선정• 2019 대한상공회의소 일하기 좋은 중소기업 선정• 2019 고용노동부 일생활 균형 우수기업 선정."
씨제이올리브영(CJ올리브영),"• AI/ML/자동화 시스템 개발 및 최적화• 수요예측, 발주 고도화 등 비즈니스 요구에 맞춘 AI / 머신러닝 / 자동화 시스템 개발 및 성능 최적화• 모델 배포, 모니터링, 성능 개선 등 MLops 전체 운영 라이프사이클 설계 및 운영 관리• 데이터 과학자 및 분석가와 협업하여 모델의 실무 적용성을 높이고, 데이터 인프라와의 원활한 연계 지원2. 물류 특화 데이터베이스 및 분석 환경 구축• 물류 도메인에 특화된 데이터레이크 설계 및 구축• 대용량 데이터를 효율적으로 저장, 조회, 분석할 수 있는 인프라 환경 구축3. 데이터 파이프라인 구축 및 관리• API 연동, DB 연동 등 다양한 데이터 수집 방식을 적용하여 자동화된 데이터 파이프라인 구축• 데이터 수집부터 정제, 적재, 변환까지의 전 과정을 체계적으로 관리.","[Education] • 컴퓨터등 관련 학사 이상[Experience]• 유관경력 5~15년 보유• 레거시 시스템과 클라우드 환경(AWS, GCP) 간 데이터 연동 및 ETL 파이프라인 설계, 구축, 운영 경험• 실시간 데이터 처리 환경(Kafka 등) 구축 및 운영 경험• Airflow 등 워크플로우 툴을 활용한 ETL 자동화 및 모니터링 체계 운영 경험• 데이터 품질 관리, 메타데이터 관리, 접근 권한 제어 등 데이터 거버넌스 체계 설계 경험• ML/DL 모델 성능 개선, 재학습 자동화, 모니터링 등 MLOps 전 주기 운영 관리 경험• 데이터 플랫폼 및 ML 시스템과 연동되는 서비스 API 설계, 개발, 운영 경험[Skill]• Python, SQL, Java 등 개발 역량• 데이터 수집부터 정제, 전처리등 데이터파이프라인 전반에 대한 역량• Spark, AWS Redshift, GCP BigQuery 등 클라우드 DB 구축 관리 역량• Airflow 등 워크플로우 툴을 활용한 ETL 자동화 및 모니터링 체계 구축 및 운영 역량• 컨테이너 기반 환경(Docker, Kubernetes 등)에서 ML 시스템 배포, 관리, 운영 역량.","• 컴퓨터등 관련 석사 이상• Tensorflow, Pytorch, Scikit-learn등을 이용한 ML/DL 개발, 운영 경험 우대• 물류 또는 공급망 관리(SCM) 분야 실무 시스템 개발 경험 우대• 수요예측등 머신러닝, 자동화 프로젝트 리딩 경험 우대."
피에프씨테크놀로지스,"• 여신 시장의 실제 데이터를 분석하여 문제 해결의 실마리가 될 인사이트를 발굴해요.• 기존 금융의 한계를 넘어서는 새로운 신용평가 및 리스크 관리 모델을 연구·개발해요.• 개발한 모델이 실제 서비스에 적용될 수 있도록 서빙 파이프라인 구축 및 운영에 참여해요.• 모델의 성능을 지속적으로 모니터링하고, 비즈니스 임팩트를 분석하여 개선점을 제안해요.","• Python 기반의 데이터 분석 라이브러리와 머신러닝/딥러닝 알고리즘에 대한 이해가 탄탄하신 분• 금융, 특히 여신 시장의 문제를 데이터와 기술로 해결하는 것에 큰 흥미와 탐구 정신을 가지신 분• 고객의 신용 생애주기를 파악하기 위해, 시계열 데이터를 다룰 수 있는 분• 동료들과의 적극적인 소통과 협업을 통해 함께 성장하고 싶으신 분.","• 금융/커머스 등 실제 산업의 정형 데이터를 다루어 의미 있는 결과를 만들어 본 경험• Kaggle과 같은 데이터 분석 경진대회 참여 또는 개인/팀 프로젝트를 통해 모델링 전 과정을 경험해보신 분• 하고 싶은 일이 있으면, 도전도 좌절도 마다하지 않으시는 분."
도터,• 의료 데이터 라벨링 및 품질 관리• 특허 및 기술 보고서 작성 보조• Git/GitHub 기반 소스 코드 관리 및 협업.,"• 인공지능, 데이터사이언스, 컴퓨터공학 등 관련 전공 학사 (신입 ~ 3년 경력, 졸업 예정자 포함)• Python 프로그래밍 및 PyTorch, TensorFlow 등의 딥러닝 프레임워크 활용 능력• OpenCV, Pillow, Scikit-Image 등의 영상 처리/분석 라이브러리 활용 능력• 기술 문서 작성 역량 (README, 연구 노트, 기술 보고서 등).",• 의료 영상 또는 의료 데이터 프로젝트 경험• 인공지능 관련 대회 수상 또는 공개 리더보드 성과• 인공지능 모델 서빙/배포 경험• 영어 기술 문서 독해 및 작성 능력.
미리디,"""미리디에서 이런 일들을 함께 하고 싶어요""Agentic Workflow 구축 및 개선• Reflection / Planning / Tool Use / Multi-Agent 패턴을 기반으로 Task를 자동화합니다.• 모델의 reasoning, validation, self-improvement 루프를 설계합니다.• Pretrained 모델의 성능 한계를 극복하기 위한 Agentic Pipeline을 설계합니다.Design Domain 자체 모델 개발• 유관 스쿼드의 domain-specific 모델을 설계하고 학습합니다.• SFT / RLHF 기반으로 모델 성능을 고도화하고, 학습 및 추론 비용을 최적화합니다.• 저비용 환경에서도 효율적으로 작동하는 lightweight 모델을 탐색합니다.최신 기술 연구• 주요 논문을 구현하고 검증하여 기술을 벤치마킹합니다.• 모델 성능을 지속적으로 개선하고, 실제 서비스 적용 결과를 분석합니다.","""이런 분이라면 목표 달성에 확신을 얻을 것 같아요""• 1년 이상의 머신러닝 또는 생성형 AI 관련 경력이 있으신 분 • Domain-specific LMM LoRA 학습/평가 경험 또는 Agentic Workflow 설계 경험이 있으신 분 • Prompt Engineering 및 Fine-tuning 실무 경험이 있으신 분 • PyTorch, TensorFlow, Hugging Face 등 딥러닝 프레임워크 활용 능력이 있으신 분 • 모델 성능을 실제 서비스에 적용하고 개선한 경험이 있으신 분 • 디자인, 크리에이티브, UX 도메인에 대한 관심이 있으신 분.","""이런 분이라면 장기적으로 서로에게 더 긍정적일 것 같아요!""• 컴퓨터공학, 머신러닝 관련 석·박사 학위 또는 이에 준하는 경험이 있으신 분 • ML 관련 Top-tier 학회 및 저널 논문 게재 경험이 있으신 분 • Kaggle, AI Hackathon 등 AI 관련 챌린지 수상 경험이 있으신 분 • 디자인 생성 모델(Layout, Color, Font adaptation 등) 연구·개발 경험이 있으신 분 • LMM 기반 생성형 파이프라인 구축 및 모델 경량화 경험이 있으신 분 • Multi-Agent System 설계 및 평가 경험이 있으신 분 • 실시간 서비스 모델 개발 경험이 있으신 분."
