기업명,주요업무,자격요건,우대사항
뱅크샐러드,"[Data AI팀은 구체적으로 다음과 같은 일들을 합니다.]Data AI팀의 미션은 AI가 금융 문제를 대신 해결해주는 세상을 만드는 것입니다. 우리가 일상에서 느끼는 번거로운 자산관리 업무를 더욱 효율적이고 똑똑하게 해결하고자 합니다.고객의 금융과 건강 데이터를 가장 많이 확보하고 있는 뱅크샐러드는, 압도적인 데이터 커버리지를 바탕으로 사용자의 금융 문제를 해결하는 금융 AI 에이전트를 제품화하는 데 집중합니다.AI 기술을 도구로 하여 사용자에게 직접적인 효용과 만족을 주는 경험을 설계하며, 중장기적으로는 AI 에이전트 기술이 나아가야 할 방향성과 정책을 제시하는 데에도 기여하며 금융 산업의 미래를 함께 만들어가고자 합니다.1. 금융 AI 에이전트 전략 수립• AI Agent의 방향성과 설계 원칙을 수립하고, 어떤 기술을 어떻게 적용할지 전략을 고도화합니다.• AI 기술, 데이터 인프라, 정책·규제 등 다양한 관점을 고려해 지속 가능한 서비스 생태계를 설계하고 조율합니다.2. AI 모델 설계 & 제품화• 사용자 시나리오에 최적화된 AI 모델의 기획부터 학습, 평가, 개선까지 전체 사이클을 주도합니다.• 모델 성능이 실제 서비스에서 얼마나 잘 작동하는지를 꾸준히 관찰하고, 정확도와 신뢰도, 실용성 측면에서 지속적으로 개선합니다.[Data AI팀의 PM은 이러한 업무들을 주로 수행합니다.]• 사용자 중심의 문제 정의를 통해, AI를 활용한 금융 문제 해결 시나리오를 기획하고 검증합니다.• 마이데이터 기반의 금융 자산 정보를 활용해, 사용자 맞춤형 AI 에이전트 기능을 설계하고 제품화합니다.• 서비스에 적용할 AI 모델의 요구사항 정의부터 성능 검증, 제품화까지 전체 사이클을 리딩합니다.• AI 기술이 실제 사용자 경험에 자연스럽게 녹아들 수 있도록, UX 설계와 기능 설계를 유기적으로 연결합니다.• 데이터와 모델의 정확성, 신뢰도, 활용 가능성 등을 기준으로 서비스 품질을 지속적으로 점검하고 고도화합니다.• 기술 트렌드, 내부 인프라, 정책 환경 등을 고려하여 AI 기반 금융 서비스의 중장기 전략과 로드맵을 수립합니다.","[이런 경험을 지향하시는 분들과 여정을 함께하고 싶어요.]• 유저 관점에서 사고하여 경쟁력 있는 가치 제안을 개발하고, 유저의 후생 증대와 편익 극대화 기준을 정량화(북극성 지표)하고 이를 기준으로 제품을 고도화하는 경험이 있는 분들을 원해요.• MAKER들과 애자일 조직에서 가설 수립 및 가설 검증 이터레이션 통해 PMF를 끈질기게 찾아 본 분을 원해요.• 모바일 비즈니스나 트래픽 비즈니스의 핵심 지표 정의, 성장 로드맵을 구축하고 실행해본 경험이 있는 분을 원해요.• 도메인 경험은 없어도 되나, 도메인 학습에 있어 두려움이 없이 호기심을 가지고 있는 분을 원해요.• 직접 의사결정을 내리고 성과까지 온전히 책임지는 분, 여정 상 번거로운 일이나 어려운 일들을 마다하지 않고 손수 실질적 성과까지 이끌어내는 분들은 뱅크샐러드에서 크게 인정받습니다.• 한계 없이 문제를 풀 수 있다는 도전 정신이 투철하고, 스스로의 성과로 신뢰를 얻고자 하는 의지가 강하며, 뛰어나지만 항상 발전을 추구하는 독립심을 갖춘 사람과 일하고 싶습니다.",
삼양식품,"[How we work]• AI 에이전트를 단순한 도구를 넘어, 핵심 동료로 생각합니다: 우리는 모든 워크플로우를 인간과 AI 에이전트의 협업을 전제로 설계하고 발전시킵니다.• 가설을 실제 작동하는 결과물로 증명합니다: 우리는 긴 토론 대신, 아이디어를 즉시 검증하는 작은 에이전트나 빌드를 통해 가장 효율적인 답을 찾습니다.• 내부 효율화와 프로덕트 개발을 동일하게 중요하게 생각합니다: 팀의 생산성을 높이는 자동화 시스템 역시 고객에게 제공하는 핵심 기능만큼 중요하게 여기며, 지속적으로 개선합니다.[Role & Responsibility]• AI 에이전트 설계 및 개발: 팀의 반복적인 업무나 복잡한 의사결정을 대신할 수 있는 AI 에이전트를 직접 설계하고 개발하여, 팀원들이 더 중요한 문제에 집중할 수 있는 환경을 만듭니다.• 프로덕트 가치 증대: 틱톡 트렌드 분석, 바이럴 영상 분석, 크리에이터 온보딩 심사 등 프로덕트의 핵심 경험을 자동화하고 지능화하는 에이전트를 직접 만듭니다.• 새로운 워크플로우 정의 및 확산: AI 에이전트를 통해 기존의 일하는 방식을 완전히 새롭게 정의하고, 팀 전체가 AI Native로 거듭나는 여정을 이끌어갑니다.","[Who we are looking for]• 실전 에이전트 빌더: 최근 1개월 내 본인이 직접 만든 에이전트가 2개 이상 있거나, 이에 준하는 실전 경험을 Github 등으로 증명할 수 있는 분• 핵심 도구 활용 능력: n8n, 다양한 LLM API, 각종 MCP 서버에 대한 깊은 이해와 실전 경험을 갖춘 분• 멀티 스킬: 뛰어난 프롬프트 엔지니어링 능력과 함께 이를 실제 서비스와 워크플로우에 적용할 수 있는 시스템 설계 역량을 갖춘 분• 실험과 실행 우선: 철학적 논의보다 작동하는 에이전트를 먼저 만들어 보여주는 방식을 선호하며, 가설을 세우고 빠르게 실험하여 증명하는 문화에 공감하는 분.",
낭만상회,"• 기존 서비스 개선 및 고객사 요구사항 반영에 관한 기획 및 운영• 신규 서비스 기획(정책 설계, 기능 정의, 산출물 작성 등)• 기본적인 프로젝트 관리 및 리딩• UI / UX 기획 및 설계• 스토리보드 및 와이어프레임 설계 및 작성• 기획요구사항 취합 및 정리• 서비스 가이드 작성.","[자격요건 충족 시 지원 부탁드립니다.]• 4년제 대학 졸업자 혹은 졸업예정자(2026년 02월 졸업 예정자)이신 분• 서비스 기획 및 PM관련 경력 0~3년 이신분• 정리 및 문서화를 잘 하시는 분• 기본적인 UI / UX에 대한 개념 및 기획 능력을 보유하신 분• 다양한 팀 및 팀원들과 원활히 협업할 수 있는 커뮤니케이션 능력을 보유하신 분• 디자인, 개발 등 다른 분야에도 지속적으로 관심을 갖고 소통할 의지를 보유하신 분• 스스로 목표와 전략 설정이 가능하고 논리적인 커뮤니케이션을 통한 협업이 가능하신 분• Figma, Slack, Notion 등의 협업 툴을 사용한 경험이 있으신 분.",• 다양한 분야의 사람들과 협업을 해본 경험이 있으신 분• 외식업 및 프랜차이즈 도메인에 대한 이해도가 있으신 분• 이 외의 지원자분의 소중한 경험은 모두 우대사항이 될 수 있습니다.
큐피스트(글램),"• 자사 서비스(웹/앱) 멀티브랜드 QA 테스트• 테스트케이스 작성 및 테스트 수행• 결함(Bug) 리포트 작성 및 관리, 재현 및 원인 분석 지원• 개발 및 기획 등 관련 부서와의 협업(리뷰, 피드백)을 통한 서비스 품질 개선.","• 유관 경력 1년 이상• 웹/앱 서비스에 대한 관심과 이해도가 있는 분• QA 프로세스 및 소프트웨어 테스트에 대해 배우고자 하는 의지가 있는 분• 개발 수명 주기에 따른 적합한 테스트 전략 수립 경험이 있으신 분• 기획/디자인 결과물로 테스트 케이스 작성 경험이 있는 분• 동료 및 유관 부서(기획, 개발, 마케팅, 디자인 등)와 원활하고 적극적인 커뮤니케이션을 할 수 있는 분.","• RN 앱/웹/모바일 웹 테스트 경험• 서비스 요구사항 분석 및 테스트 계획 수립 경험• API 검증(Postman, Charles 등) 경험• 테스트 자동화 도구에 대한 관심 또는 경험• Slack , Notion, Figma 등 다양한 협업 툴 사용 경험• 빠른 주기의 앱/웹 배포 경험• QA 계획 단계부터 실행 단계까지 자기 주도적 진행 경험."
보이저엑스(VoyagerX),"보이저엑스의 서비스 기획자는 다음과 같은 활동을 통해 사용자들이 보이저엑스의 여러 서비스들을 더욱 즐겁고 편리하게 사용할 수 있도록 합니다.1. 사용자가 원하는 것이 무엇인지 정량적, 정성적인 방법을 사용하여 구체화합니다.2. 구체화한 내용을 논리적이고 체계적으로 정리하여 팀에 공유합니다.3. 다양한 직군의 사람들과 협업하여 사용자를 위한 서비스를 만들어 나갑니다.4. 그렇게 만든 서비스를 실제 사용자에게 선보이기 위하여 필요한 각종 작업을 찾아내고 진행합니다.5. 우리가 만든 서비스에 대한 사용자 반응을 정량적, 정성적 방법으로 분석합니다.",필수 사항: 아래 사항들은 모두 반드시 갖추고 있어야 합니다.1. 정직하고 책임감이 강함2. 공감하고 경청할 수 있음3. 설득을 잘 할 수 있음4. 글을 잘 읽고 잘 쓸 수 있음5. 문제의 발견과 해결을 즐김6. 논리적이고 분석적임7. 각종 소프트웨어를 잘 다룸8. 언러닝을 잘 함.,"아래 사항을 갖추고 있으면 더욱 적합합니다.1. 스타트업 근무 경험이 있음2. 서비스 기획 경험이 있음3. 화면 설계 경험이 있음4. 커머스, 플랫폼, SaaS 서비스 기획/운영 경험이 있음5. 영어 또는 일본어로 의사 소통이 가능함."
헥토이노베이션,"• 각 ​부서의 ​업무 프로세스에 AI를 ​적용• 활용할 ​수 ​있는 기회를 발굴하고, ​이를 선행적으로 ​검증• 가이드• 부서 ​간 협업을 ​위한 AI ​기반 ​업무 혁신 과제 ​리딩 및 ​추진 기원• AI 기반 기획/개발 프롬포트 설계• 적용을 위한 파일럿 개발 및 검증• AI 기반 실증 프로젝트 진행• AI 활용 가이드 및 개발 표준 문서화• 기술 트렌드 리서치 및 전사 교육 전파.","• AI 기술에 대한 이해도와 실용적 응용 경험 보유하신 분• AI Tool(Figma MCP, Copilot, Cursor, vLLM 등)에 대한 이해 및 실무 활용 경험 보유하신 분• 기획/개발/운영까지 전 과정에 대한 실무 경험 또는 이해도 보유하신 분 • 부서 간 조율 및 협업 커뮤니케이션 능력 보유하신 분• 체계적 문서화 및 표준화 경험 보유하신 분• 새로운 기술에 대한 빠른 학습 능력과 실험적 태도를 보유하신 분• 문제를 정의하고 개선안을 제안하는 논리적 사고력 보유하신 분• 무엇보다, 자신의 일에 책임감을 갖고, 지속적으로 성장하고자 하는 열정을 가진 분[공통지원자격]• 해외 여행에 결격 사유가 없는 자• 남성의 경우 병역 필 또는 면제자.",• AI 프롬포트 엔지니어링 경험 보유하신 분• AI/ML 개발 경험 또는 이해가 가능하신 분• 전사 수준의 교육/컨설팅 경험 보유하신 분• 디지털 트랜스포메이션 프로젝트 참여 경험 보유하신 분.
낭만상회,• 웹 또는 앱 서비스 기획(정책 및 기능 정의)• UI / UX 기획 및 설계• 스토리보드 및 와이어프레임 설계 및 작성• 기획요구사항 취합 및 정리• 서비스 가이드 작성.,"[자격요건 충족 시 지원 부탁드립니다.]• 4년제 대학 졸업자 혹은 졸업예정자(2026년 02월 졸업 예정자)이신 분• 정리 및 문서화를 잘 하시는 분• 기본적인 UI / UX에 대한 개념 및 기획 능력을 보유하신 분• 다양한 팀 및 팀원들과 원활히 협업할 수 있는 커뮤니케이션 능력을 보유하신 분• 디자인, 개발 등 다른 분야에도 지속적으로 관심을 갖고 소통할 의지를 보유하신 분.","• Figma, Slack, Notion 등의 협업 툴을 사용한 경험이 있으신 분• 다양한 분야의 사람들과 협업을 해본 경험이 있으신 분• 외식업 및 프랜차이즈 도메인에 대한 이해도가 있으신 분• 이 외의 지원자분의 소중한 경험은 모두 우대사항이 될 수 있습니다."
엠지알브이,"시니어 PM과 함께 맹그로브의 운영 및 프로덕트 개선을 지원하며, 운영 효율을 높이는 다양한 문제를 정의하고 해결합니다.• 운영 및 프로덕트 이슈 트래킹 및 우선순위 관리 (Jira / Notion / Slack 등)• 운영 자동화 및 데이터 수집, 프로세스 개선 업무 지원• 현장 피드백 및 사용자 이슈 정리 후 개선사항 도출 및 문서화• QA 및 릴리즈 일정 관리, 엔지니어·QA와의 협업 조율• PM이 주도하는 프로젝트의 후순위 태스크 수행 및 리포팅• (인턴 기간 동안) 프로젝트 진행 및 의사결정 과정 전반에 참여하여 PM 실무 역량 축적.","• 문제를 정의하고 해결책을 찾는 과정을 즐기는 분• 디지털 서비스 운영/프로덕트 프로세스에 대한 이해와 관심이 있는 분• 논리적으로 사고하고 명확히 문서화할 수 있는 분• 다양한 직군(QA, 엔지니어, 운영 등)과 원활히 커뮤니케이션할 수 있는 분• 새로운 도구와 환경에 빠르게 적응하고 배우는 것을 즐기는 분.","• 스타트업, 프롭테크, 운영 자동화 도구에 관심이 있는 분• Notion, Slack, Google Workspace 등 협업툴 사용 경험• QA, PM 관련 인턴 혹은 프로젝트 경험• 서비스 운영, 고객지원, CS 개선 경험• 데이터 분석, 혹은 스크립트 활용 경험[이런 분이라면 잘 맞아요.]• “이건 왜 이렇게 되어 있지?”라는 질문을 자주 하는 분• 프롭테크, 스마트빌딩, 운영 자동화 등 기술 기반 공간 관리에 관심 있는 분• 문제를 덮지 않고 원인을 찾아 개선하는 걸 좋아하는 분• 완벽보다 실행과 학습을 우선시하는 분고객 경험에서 출발해 문제를 정의하고, 구체적 솔루션으로 풀어내는 분."
트래블월렛,"트래블월렛/트래블페이 서비스(앱/웹) 기획B2C/B2B 서비스를 위한 백엔드, 플랫폼 설계디자인, 개발, 사업, 운영팀과의 협업개발 과제 및 프로젝트 관리(Project Manage)제품 개발부터 운영까지 전반적인 Life Cycle 관리.",프로덕트 기획/운영 경력 7년 이상백엔드/플랫폼 기획 및 설계 경험대규모 프로젝트를 주도 및 관리한 경험다양한 이해관계자들과의 원활한 커뮤니케이션 및 협업 능력 보유문제 해결 및 신속한 의사결정 경험 또는 복잡한 이슈를 정확하게 파악하고 해결한 사례 보유.,"최신 금융 및 기술 트렌드(핀테크, 블록체인, AI 등)에 대한 이해 및 적용 경험이 있으신 분금융, 외환 관련 지식과 경험을 가지신 분글로벌 규제 환경에 따른 시스템 운영 경험."
보이저엑스(VoyagerX),"보이저엑스의 서비스 기획 인턴은 다음과 같은 활동을 통해 사용자들이 보이저엑스의 여러 서비스들을 더욱 즐겁고 편리하게 사용할 수 있도록 합니다.1. 문제의 발견: 정량적, 정성적인 방법으로 사용자가 겪고 있는 문제를 발견합니다.2. 문제의 정리: 발견한 문제를 논리적이고 체계적으로 잘 정리합니다.3. 문제의 공유: 정리된 문제를 여러가지 방법으로 잘 공유합니다.4. 해결책의 제시: 문제의 해결책을 제시합니다.추가적으로 다음과 같은 업무도 합니다.5. 그 외 사용자 응대 등 보이저엑스의 서비스 기획자가 하고 있는 모든 일의 보조.",필수 사항: 아래 사항들은 모두 반드시 갖추고 있어야 합니다.0. 인턴 지원 자격에 해당하는 분1. 성실하고 꼼꼼한 분2. 정직하고 책임감이 강한 분3. 공감하고 경청할 수 있는 분4. 각종 소프트웨어를 잘 다루는 분5. 글을 잘 읽고 잘 쓸 수 있는 분6. 논리적이고 분석적인 분.,아래 사항을 갖추고 있으면 더욱 적합합니다.1. 영어 또는 일본어로 의사 소통이 가능한 분.
