기업명,Skill
우아한형제들(배달의민족),EMR
우아한형제들(배달의민족),BigQuery
우아한형제들(배달의민족),Planning
우아한형제들(배달의민족),Superset
우아한형제들(배달의민족),AWS
우아한형제들(배달의민족),Spark
우아한형제들(배달의민족),Tableau
우아한형제들(배달의민족),SQL
우아한형제들(배달의민족),Trino
우아한형제들(배달의민족),Python
컬리,Tableau
컬리,Data Quality
컬리,Looker Studio
컬리,Airflow
뤼튼테크놀로지스,BigQuery
뤼튼테크놀로지스,Data Governance
뤼튼테크놀로지스,Data Modeling
뤼튼테크놀로지스,Data Mart
콘센트릭스서비스코리아CATALYST,Data Warehouse
콘센트릭스서비스코리아CATALYST,ETL
콘센트릭스서비스코리아CATALYST,Power BI
콘센트릭스서비스코리아CATALYST,Tableau
콘센트릭스서비스코리아CATALYST,SQL
인포유앤컴퍼니,Tableau
인포유앤컴퍼니,Power BI
인포유앤컴퍼니,ERP
밀버스,Data Modeling
밀버스,Tableau
밀버스,SQL
밀버스,Apache
밀버스,Python
밀버스,Salesforce
해긴,Game
해긴,ML
해긴,ETL
해긴,Power BI
해긴,SQL
해긴,Statistics
해긴,Python
해긴,Snowflake
피엠인터내셔널코리아,PM
피엠인터내셔널코리아,NLP
피엠인터내셔널코리아,ML
피엠인터내셔널코리아,Power BI
피엠인터내셔널코리아,AWS
피엠인터내셔널코리아,Azure
피엠인터내셔널코리아,R
피엠인터내셔널코리아,AI
피엠인터내셔널코리아,Tableau
피엠인터내셔널코리아,SQL
피엠인터내셔널코리아,Network
피엠인터내셔널코리아,Python
씨제이올리브영(CJ올리브영),Spring
씨제이올리브영(CJ올리브영),ORM
씨제이올리브영(CJ올리브영),JPA
씨제이올리브영(CJ올리브영),Kotlin
씨제이올리브영(CJ올리브영),Java
씨제이올리브영(CJ올리브영),RDBMS
씨제이올리브영(CJ올리브영),AWS
씨제이올리브영(CJ올리브영),Agile
씨제이올리브영(CJ올리브영),Scrum
씨제이올리브영(CJ올리브영),Git
씨제이올리브영(CJ올리브영),NoSQL
에너자이(ENERZAi),DL
아우토크립트,React
아우토크립트,CSS
아우토크립트,JavaScript
아우토크립트,Vue
아우토크립트,WebSocket
아우토크립트,Security
아우토크립트,C
아우토크립트,Git
아우토크립트,Python
아우토크립트,WPF
아우토크립트,RDBMS
아우토크립트,DevOps
아우토크립트,API
아우토크립트,REST API
아우토크립트,Java
아우토크립트,Virtualization
아우토크립트,CI/CD
아우토크립트,NoSQL
슈프리마,ONNX
슈프리마,API
슈프리마,AI
슈프리마,CUDA
슈프리마,MLOps
슈프리마,CS
슈프리마,Computer Vision
슈프리마,DL
슈프리마,TensorRT
슈프리마,C
슈프리마,SoC
제틱에이아이,Embedded
제틱에이아이,iOS
제틱에이아이,Android
제틱에이아이,Git
제틱에이아이,DL
제틱에이아이,Python
제틱에이아이,C
씨제이올리브영(CJ올리브영),React
씨제이올리브영(CJ올리브영),TypeScript
씨제이올리브영(CJ올리브영),JavaScript
씨제이올리브영(CJ올리브영),Node.js
씨제이올리브영(CJ올리브영),Hybrid App
클레,OpenCV
클레,Monday.com
클레,OpenGL
클레,Qt
클레,Nvidia Omniverse
클레,C
클레,Slack
클레,Nvidia Issac Sim
클레,Avalonia
클레,Blender
클레,Notion
클레,Git
클레,Figma
클레,WPF
에이비일팔공(AB180),Streaming
에이비일팔공(AB180),React
에이비일팔공(AB180),SSR
에이비일팔공(AB180),TypeScript
에이비일팔공(AB180),JavaScript
에이비일팔공(AB180),D3.js
에이비일팔공(AB180),Next.js
에이비일팔공(AB180),Remix
에이비일팔공(AB180),QA
한글과컴퓨터,Linux
한글과컴퓨터,GDI/GDI+
한글과컴퓨터,iOS
한글과컴퓨터,API
한글과컴퓨터,Android
한글과컴퓨터,C
한글과컴퓨터,XML
한글과컴퓨터,C++
한글과컴퓨터,Win32 API
한글과컴퓨터,STL
한글과컴퓨터,WPF
제이투케이,ML
제이투케이,ROS
제이투케이,AI
제이투케이,Python
제이투케이,C
빗썸,API
빗썸,QA
빗썸,Git
빗썸,Markdown
스트라드비젼(STRADVISION),MongoDB
스트라드비젼(STRADVISION),JavaScript
스트라드비젼(STRADVISION),Linux
스트라드비젼(STRADVISION),Airflow
스트라드비젼(STRADVISION),GCP
스트라드비젼(STRADVISION),AWS
스트라드비젼(STRADVISION),Azure
스트라드비젼(STRADVISION),Docker
스트라드비젼(STRADVISION),Kubernetes
스트라드비젼(STRADVISION),MLFlow
스트라드비젼(STRADVISION),PM
스트라드비젼(STRADVISION),API
스트라드비젼(STRADVISION),Java
스트라드비젼(STRADVISION),PostgreSQL
스트라드비젼(STRADVISION),C
스트라드비젼(STRADVISION),KubeFlow
스트라드비젼(STRADVISION),MLOps
스트라드비젼(STRADVISION),SQL
스트라드비젼(STRADVISION),C++
스트라드비젼(STRADVISION),Python
스트라드비젼(STRADVISION),Django
아우토크립트,RTOS
아우토크립트,SoC
플라잎,Linux
플라잎,C
플라잎,AI
플라잎,CUDA
플라잎,Python
플라잎,Git
에이엑스지(axz),Go
에이엑스지(axz),Linux
에이엑스지(axz),ETL
에이엑스지(axz),Java
에이엑스지(axz),Spark
에이엑스지(axz),Docker
에이엑스지(axz),Hadoop
에이엑스지(axz),Python
에이엑스지(axz),Elasticsearch
에이엑스지(axz),Kubernetes
브이디크럭스,Electron
브이디크럭스,Socket
브이디크럭스,API
브이디크럭스,REST API
브이디크럭스,C
브이디크럭스,WPF
빗썸,Layer 2
빗썸,Rust
빗썸,DEX
빗썸,Go
빗썸,Security
빗썸,Cryptography
빗썸,Geth
빗썸,R
빗썸,DeFi
빗썸,ZK-Rollups
빗썸,L2 Switch
빗썸,OP Stack
빗썸,Smart Contract
빗썸,Python
빗썸,Blockchain
빗썸,C
빗썸,Solidity
코웨이,Embedded
코웨이,IoT
코웨이,Linux
코웨이,Qt
코웨이,Jira
코웨이,AI
코웨이,Git
코웨이,Cursor
코웨이,FreeRTOS
코웨이,C
코웨이,LVGL
코클,Jenkins
코클,ONNX
코클,ARM
코클,Catch2
코클,Linux
코클,Docker
코클,GPU
코클,GitHub Actions
코클,C++
코클,NPU
코클,CI/CD
코클,DSP
코클,DL
코클,Git
코클,QA
코클,C
제틱에이아이,NLP
제틱에이아이,ONNX
제틱에이아이,AI
제틱에이아이,Computer Vision
씨메스(CMES),Linux
씨메스(CMES),Qt
씨메스(CMES),Docker
씨메스(CMES),Git
씨메스(CMES),CS
씨메스(CMES),Python
씨메스(CMES),C
에스디티,C
에스디티,FastAPI
에스디티,ML
파이오링크,Spring
파이오링크,React
파이오링크,API
파이오링크,REST API
파이오링크,Java
비욘드알,Game
비욘드알,VR
비욘드알,Unity
비욘드알,XR
비욘드알,CS
비욘드알,AR
비욘드알,C
비욘드알,OOP
비욘드알,Xcode
퀀텀에어로,Autonomous Driving
퀀텀에어로,Robotics
퀀텀에어로,C++
퀀텀에어로,RTOS
퀀텀에어로,CS
퀀텀에어로,C
