기업명,Skills_List
111퍼센트,"['GCP', 'AWS', 'AI']"
Electronic Arts Korea (EA Korea),"['Unity', 'Python', 'C', 'Unreal Engine', 'Scikit-learn', 'Java', 'AI', 'LLM', 'Agile', 'PM', 'Game', 'Jira', 'Hybrid App', 'Scrum', 'QA']"
KAYPLE,['Flutter']
Launcher Capital,"['MongoDB', 'Game', 'JavaScript', 'CI/CD', 'Express.js', 'Vue', 'GCP', 'WebSocket', 'AWS', 'Azure', 'Docker', 'GraphQL', 'Git', 'Kubernetes', 'API', 'Node.js', 'Next.js', 'C', 'NestJS', 'React', 'TypeScript', 'Blockchain', 'LLM']"
가구커뮤니케이션,"['FastAPI', 'API', 'CAD', 'Python', 'Flask']"
가온프라임,"['NestJS', 'React', 'MongoDB', 'TypeScript', 'JavaScript', 'Vue', 'AI', 'PostgreSQL', 'Diffusion', 'Python', 'Git']"
가우디오랩,"['AI', 'Transformer', 'Diffusion', 'Spring', 'RDBMS', 'SQL', 'CS', 'Media', 'Python', 'Git', 'Kubernetes', 'Agile', 'React', 'TypeScript', 'JavaScript', 'Next.js']"
가이드웨이 컨설팅,"['MongoDB', 'JavaScript', 'ML', 'AWS', 'SQL', 'Node.js', 'DL', 'Python', 'Puppeteer', 'Security', 'Express.js']"
가이아코퍼레이션,"['Redis', 'FastAPI', 'Helm', 'GCP', 'AWS', 'Azure', 'AI', 'PostgreSQL', 'Django', 'Flask']"
가제트코리아,"['NestJS', 'TypeScript', 'Payment', 'API', 'SQL', 'CI/CD', 'C', 'SSR', 'React', 'UI', 'SEO', 'Design System']"
개념원리,"['JavaScript', 'AI', 'Flutter', 'Sentry', 'Redis', 'Spring', 'FastAPI', 'Kotlin', 'AWS', 'Grafana', 'ArgoCD', 'MSA', 'Git', 'Java', 'Next.js', 'AWS EKS', 'TypeScript', 'Kafka', 'Python']"
게임듀오,"['Funnel Analysis', 'Game', 'Superset', 'AWS', 'Retention', 'CPI', 'Causal Inference', 'Tableau', 'AI', 'LTV', 'Looker Studio', 'Python', 'QA', 'ELT', 'Data Modeling', 'Data Warehouse', 'dbt', 'ETL', 'SQL', 'Airflow']"
겟스마트,"['Spring', 'MS-SQL', 'RDBMS', 'React', 'JavaScript', 'Vue', 'API', 'REST API', 'Java', 'Node.js', 'PostgreSQL', 'Git']"
겟차,"['PM', 'Finance', 'UX', 'Planning', 'AI', 'Statistics', 'Mobility', 'Spring', 'Prometheus', 'JavaScript', 'Kotlin', 'MySQL', 'Datadog', 'AWS', 'Impala', 'Docker', 'ArgoCD', 'MSA', 'Node.js', 'Elasticsearch', 'Kubernetes']"
결,"['AI', 'AWS']"
고요에이아이,"['NLP', 'RAG', 'Fine-tuning', 'AI', 'MLOps', 'Multimodal', 'Python', 'LangGraph', 'LLM', 'LangChain']"
고위드,"['AI', 'Planning', 'Finance', 'Fintech', 'Redis', 'DevOps', 'Security', 'Kotlin', 'MySQL', 'GCP', 'Helm', 'AWS', 'VMware', 'Network', 'Kafka', 'CI/CD', 'Python', 'AWS EKS', 'On-premise', 'DataHub', 'Streaming', 'Data Warehouse', 'dbt', 'BigQuery', 'QA', 'Data Quality', 'Spark', 'IaC', 'Terraform', 'Shell Script', 'Airflow', 'PM', 'RDBMS', 'API', 'REST API']"
골프존,"['Network', 'Virtualization', 'Storage']"
교보문고,"['Redis', 'Data Modeling', 'MySQL', 'DocumentDB', 'SQL', 'PostgreSQL']"
군돌이,"['React', 'React Native', 'E-commerce', 'GraphQL', 'Expo']"
굳갱랩스,"['DL', 'AI', 'JavaScript', 'MySQL', 'HTML', 'Three.js', 'UI', 'FastAPI', 'WebSocket', 'AWS', 'Docker', 'SEO', 'Babylon.js', 'CSS', 'Next.js', 'Zustand', 'React', 'Tailwind CSS', 'Jetpack Compose', 'SQL', 'WebRTC', 'Cross-browsing', 'Python']"
굿닥(goodoc),"['Embedded', 'WinDbg', 'LevelDB', 'TCP/UDP', 'CI/CD', 'WinUI3', 'Visual Studio', 'WebSocket', 'Qt', 'Network', 'STL', 'Git', 'Windows', 'Planning', 'vcpkg', 'C', 'OOP', 'RDBMS', 'PDB', 'MFC', 'TCP/IP', 'SQLite']"
그래비티랩스,"['Data Modeling', 'ML', 'Pandas', 'ETL', 'Planning', 'Redash', 'Spark', 'Data Quality', 'Tableau', 'SQL', 'Monitoring', 'Looker Studio', 'A/B Testing', 'Python', 'QA', 'Airflow', 'React', 'MongoDB', 'TypeScript', 'Kotlin', 'React Native', 'iOS', 'Android', 'MVP', 'Swift']"
그래파이,"['RAG', 'iOS', 'Android', 'Jira', 'Multimodal', 'Quantization', 'Notion', 'Python', 'Git', 'LLM']"
그렙(프로그래머스),"['ONNX', 'ML', 'GCP', 'MLFlow', 'AWS', 'Azure', 'Fine-tuning', 'AI', 'Multimodal', 'CS', 'Python', 'CI/CD', 'Airflow', 'LLM', 'Computer Vision']"
그로비교육,"['Spring', 'AWS S3', 'MySQL', 'MariaDB', 'AWS RDS', 'API', 'REST API', 'AWS', 'Java', 'IAM', 'AI', 'Copilot', 'Python', 'ChatGPT', 'Git']"
그루우,"['SEO', 'HTML', 'CSS', 'JavaScript']"
그리드큐어,"['RF', 'Embedded', 'Circuit Design', 'SAP FI', 'Prototyping', 'R', 'OrCAD', 'Altium', 'EMC/EMI', 'Firmware', 'FPGA', 'DSP', 'EVM', 'BLE', 'SoC']"
그린재킷,"['Spring', 'RDBMS', 'MySQL', 'API', 'REST API', 'Java', 'HTTP', 'PostgreSQL', 'QA', 'Git', 'SSR', 'React', 'UI', 'JavaScript', 'Vue']"
그린카,"['MySQL', 'Airflow', 'SQL', 'Redshift', 'Data Mart']"
그립랩스,"['RDBMS', 'UI', 'CSS', 'JavaScript(ES6+)', 'JavaScript', 'Planning', 'AWS', 'Node.js', 'HTML', 'QA', 'NoSQL', 'Spring', 'ORM', 'NestJS', 'Jest', 'TypeScript', 'MySQL', 'Kotlin', 'Java', 'HTTP', 'SQL', 'PostgreSQL', 'MVC', 'AI', 'Python']"
그립컴퍼니,"['Redis', 'RDBMS', 'Kubernetes', 'NoSQL']"
글라우드,"['GMP', 'Planning', 'Medical Device', 'CAD', 'CAE']"
글로벌머니익스프레스,"['QA', 'iOS', 'SwiftUI', 'Git', 'Fintech', 'Swift', 'Flutter', 'CI/CD']"
글로벌시스템스,"['OpenCV', 'RS422', 'Visual Studio', 'OpenGL', 'Codec', 'RS485', 'Network', 'TCP/IP', 'TCP/UDP', 'RS232', 'FFmpeg', 'C', 'Computer Vision', 'Embedded', 'YOLO', 'AI', 'DL', 'Python']"
글리티,"['React', 'SSR', 'UI', 'TypeScript', 'JavaScript', 'Redux', 'UX', 'API', 'REST API', 'Network', 'SQL', 'Next.js', 'SEO', 'Git', 'Zustand', 'Async']"
금방,"['Logistics', 'Finance', 'Payment', 'iOS', 'Android']"
기아,"['Spring', 'OpenStack', 'RDBMS', 'Go', 'MySQL', 'MariaDB', 'GCP', 'AWS', 'Azure', 'Network', 'PostgreSQL', 'Storage', 'QA', 'Kubernetes', 'Async', 'Linux', 'CDN', 'Java', 'Docker', 'SQL', 'VM', 'NoSQL']"
기어세컨드,"['Game', 'GCP', 'Superset', 'AWS', 'Tableau', 'SQL', 'Looker Studio', 'Python', 'RAG', 'JavaScript', 'API', 'Azure', 'Gemini', 'AI', 'Claude', 'LLM']"
기웅정보통신,"['Puppeteer', 'Go', 'JavaScript', 'TLS', 'OpenTelemetry', 'Security', 'HTTP', 'AI', 'Network', 'Node.js', 'Playwright', 'Python', 'VM', 'C', 'Async', 'Spring', 'DevOps', 'TypeScript', 'Vue', 'API', 'REST API', 'Planning', 'Java', 'SQL', 'CS', 'Scrum', 'CI/CD', 'RPA', 'Jenkins', 'MS-SQL', 'ERP', 'Linux', 'Web Standards', 'Jira', 'eGovFramework', 'Tomcat', 'Git', 'MVC', 'Redis', 'MongoDB', 'Payment', 'RabbitMQ', 'Monitoring', 'Kafka', 'Statistics', 'Kubernetes']"
긴트,"['Embedded', 'AUTOSAR', 'CAN', 'MCU', 'ASPICE', 'C', 'Streaming', 'React', 'DynamoDB', 'DevOps', 'JavaScript', 'IoT', 'API', 'REST API', 'AWS', 'IaC', 'AWS Lambda', 'AWS CloudFormation', 'CI/CD']"
김캐디,"['Spring', 'RAG', 'Kotlin', 'API', 'Prompt Engineering', 'LLM', 'Docker', 'Gemini', 'Kubernetes', 'LangChain']"
