기업명,주요업무,자격요건,우대사항
뉴로엑스티,"• 소프트웨어 의료기기의 개발 총괄• 의료기기 인허가 및 품질 경영 관련 필요 문서 작성 보조• 연구팀, RAQA팀, AI플랫폼 팀 등 다부서 협업.","• 소프트웨어 의료기기 제품 개발 경험 5년 이상• 소프트웨어 의료기기 제품의 기획, 설계, 검증, 출시 전 주기 경험을 갖추신 분• 의료기기 인허가 규제 및 품질 경영에 대한 이해를 지니신 분.",• 영어 커뮤니케이션 능력 (비즈니스 영어 미팅 주도 가능한 수준)• 팀 또는 프로젝트 매니지먼트 경험.
스카이랩스(SkyLabs),이런 업무를 하시게 됩니다.• 스마트링 제품을 위한 펌웨어 테스트• BLE 통신 테스트 및 동작 검증• PPG 센서 성능 테스트 및 검증• 무선충전 성능 검증 및 테스트• 소스코드 통합 작업 및 검증• 테스트 결과에 대한 reporting 및 문서화 작업.,이런 분들을 모시려고 해요.• 전자/컴퓨터/제어계열 공학 전공 학사 졸업자(또는 예정자)• C 언어에 대한 이해 및 기본적인 임베디드 프로그래밍 경험.,이런 분들을 우대합니다.• BLE MCU 개발 경험• RTOS 개발 경험 • PC GUI (C# or 파이썬) 개발 경험• 하드웨어 개발/디버깅 경험• 관련 동아리/학회 경험• 전공학점 우수자• 정보처리기사 자격증 소유하신 분.
크래블,• 제어단말 개발 및 검증• 자율주행 단말 개발 및 검증.,"• C언어 사용 가능자• STM, AVR 등 MCU 사용 경험자• 회로도 이해 가능자.","• 전기, 전자, 컴퓨터공학 등 관련 공학계열 우대• 프로젝트 수행 경험 보유자 우대."
아폴론,"• Raman 분광 데이터를 활용한 신호 처리 및 특징 추출• 광학/생체신호 기반 기계학습 알고리즘 개발 및 최적화• 혈당 예측 및 보정 모델 개발 (Regression, Time-series 등)• 실험 데이터 전처리, 분석 및 시각화 (Clinical/Phantom/Animal 데이터 포함)• 논문 기반 모델 리서치 및 자체 알고리즘 성능 개선.","• 물리학, 바이오, 생명정보학, 데이터 과학, 전기전자, 컴퓨터공학 등 관련 전공 석사 이상 또는 그에 준하는 경험• Python 및 주요 분석 라이브러리(pandas, numpy, matplotlib, scikit-learn 등) 활용 능력• 신호처리 또는 스펙트럼 분석에 대한 이해• 머신러닝/딥러닝 모델 구현 경험.","• Raman spectroscopy 또는 바이오 광학 센서 데이터 분석 경험• 의료기기 또는 헬스케어 데이터 관련 프로젝트 경험• TensorFlow, PyTorch, Keras 등 딥러닝 프레임워크 사용 경험• 영어 논문 리서치 및 기술문서 작성 능력• Start-up 또는 cross-functional 팀에서의 협업 경험• 국책과제 수행 경험자."
에스디티,• FPGA 기반 펌웨어 개발 - Vitis 환경 개발 - FPGA 하드웨어 파일 패키징• Python 어플리케이션 개발 - 시스템 제어 및 처리 어플리케이션 개발 - 내/외부 API 분석 및 기능 구현• 인증 업무 지원.,• 초대졸 이상• 리눅스 환경에서 펌웨어 패키징 경험자.,"• 관련 전공 석/박사 학위자의 경우 신입 지원 가능• AMD, FPGA 시스템 개발 경험자."
비댁스,"• 클라우드 인프라 설계 및 구축: AWS를 기반으로 비즈니스 확장성과 안정성을 모두 고려한 최적의 인프라 아키텍처를 설계하고 구축합니다.• 컨테이너 오케스트레이션 운영: Kubernetes, Docker를 활용하여 MSA 환경을 효율적으로 운영하고 고가용성을 확보합니다.• CI/CD 파이프라인 고도화: 안정적이고 빠른 서비스 배포를 위한 CI/CD 파이프라인을 구축하고 지속적으로 개선합니다.• 인프라 자동화 및 코드화(IaC): Terraform, Ansible 등의 도구를 사용해 인프라 관리를 자동화하고, Python, Go, Shell 스크립트로 반복적인 작업을 효율화합니다.• 모니터링 및 장애 대응: 시스템의 상태를 선제적으로 파악하는 모니터링 시스템을 구축하고, 장애 발생 시 신속하게 원인을 분석하고 해결합니다.• 보안 및 규제 준수: 서비스 안정성을 위협하는 보안 요소를 개선하고, 각종 규제(ISMS 등)에 대응 가능한 인프라 환경을 만들어갑니다.","• 3년 이상의 Cloud(AWS) 또는 DevOps 관련 경력을 보유하신 분• Kubernetes, Docker 등 컨테이너 기술 기반의 아키텍처 설계 및 운영 경험이 풍부하신 분• CI/CD 파이프라인 구축 및 운영 경험을 통해 배포 자동화 프로세스를 이해하고 계신 분• Terraform, Ansible 등 IaC(Infrastructure as Code) 도구 사용에 능숙하신 분• 시스템 장애 발생 시 근본 원인을 찾고 해결하는 트러블슈팅 역량을 갖추신 분• Python, Shell, Go 중 하나 이상의 언어로 인프라 자동화 도구 개발이 가능하신 분• 동료에 대한 존중을 바탕으로 건설적인 피드백을 주고받으며 함께 성장하는 분.",• 대용량 트래픽을 처리하는 서비스의 아키텍처 설계 및 운영 경험• 핀테크 또는 B2B 서비스 개발 및 운영 경험• 클라우드 및 온프레미스 환경의 통합 모니터링 시스템 설계 및 구축 경험• ISMS 인증 심사 준비 및 대응 경험• 클라우드 네트워크 및 시스템 보안 전략 수립과 구현 경험• 비즈니스 레벨의 영어 커뮤니케이션 능력.
티에스엔랩,[어떤 팀에서 일 하나요?]• H/W팀에서 일 합니다.• H/W팀은 반도체 설계와 검증을 하는 팀입니다.[어떤 일을 하나요?]• 반도체 보드 설계 및 검증을 합니다. • 통신 또는 AI 관련 보드 설계를 합니다.• 구체적인 내용은 기술면접 때 말씀 드리겠습니다.,"[어떤 사람을 채용하나요?]• 회로 설계(Orcad) 및 PCB 설계에 익숙해야 합니다.• 컴퓨터, 전자공학 관련 학과를 졸업해야 합니다.• 관련 분야에 3년 이상의 경력이 있어야 합니다.",
스패로우,"사내 인프라 및 클라우드 서비스를 운영하고 고도화 하는 업무를 담당합니다.• 사내 인프라 및 시스템 운영·유지보수, 장비 관리 및 확장• 클라우드 인프라 운영 및 고도화• 설치형 솔루션 관리 및 자동화(CI/CD) 환경 구축• 시스템 성능 모니터링 및 장애 대응• 기술 문서화.","• 사내 및 클라우드 인프라 관련 직무 경험 3년 이상• Linux 기반 서버, 네트워킹, 스토리지, 가상화 환경에 대한 깊은 이해 및 실무 경험• Kubernetes 등 컨테이너 오케스트레이션 및 마이크로서비스 아키텍처 운영 경험• CI/CD 파이프라인 구축 및 자동화 도구(GitHub Actions 등) 활용 경험• 클라우드 인프라 성능 최적화 및 문제 해결 경험• 기술적 문제 해결 능력 및 원활한 커뮤니케이션 역량.","• Linux, Kubernetes, AWS 관련 자격증 보유자• 클라우드 아키텍처(API 기반) 설계 및 운영 경험• 자동화를 위한 프로그래밍 언어(Python, Go, Bash 등) 활용 경험• 모니터링 툴(ECK, Prometheus, Grafana 등) 사용 경험• 서비스 메시(Istio 등) 사용 경험• 클라우드 서비스 장애 대응 및 관제 경험."
리츠,• 펌웨어 개발• 임베디드 메인 개발.,• 관련 학위 소지자• 경력 우선.,• 전자공학 또는 관련 전공자• 팀워크 및 커뮤니케이션 능력 우수자• 창의적 문제 해결 능력 보유자.
디에이텍,"담당업무 ㆍMCU 기반 PCB 설계 및 Artwork ㆍPower stage (DCDC Converter (Buck, Boost, Buck/Boost), LDO) ㆍCommunication (USB, Bluetooth, RS232, RS485) ㆍInterface (EMI, ESD, SI평가) 스킬 ㆍAltium, Orcad ㆍ기본적인 Analog Circuit에 대한 이해도.",ㆍ학력: 4년제 대학ㆍ경력: 경력4년 이상 혹은 그에 준하는 실력.,
