기업명,주요업무,자격요건,우대사항
씨제이올리브영(CJ올리브영),"[유닛 소개]코어플랫폼유닛 - ①카탈로그서비스 / ②회원서비스 / ③인벤토리서비스 ""고효율 플랫폼""의 핵심 엔진을 개발하고 최적화합니다.올리브영 코어플랫폼유닛은 이커머스 옴니채널 비즈니스의 핵심 자산인 상품, 회원, 프로모션, 물류/재고 데이터를 통합 관리하며, 플랫폼의 효율성과 확장성을 책임지는 중요한 역할을 수행합니다. 깊이 있는 기술적 전문성과 풍부한 경험을 바탕으로, 안정적이고 성능 뛰어난 Back-End 시스템을 구축하고 운영하며, 미래 성장을 위한 혁신적인 기술 도입을 주도할 숙련된 Back-End 엔지니어를 찾습니다. 핵심 비즈니스 로직을 효율적으로 설계하고 구현하여 올리브영의 지속적인 성장에 기여할 전문가를 기다립니다.• 핵심 비즈니스 로직 (상품 관리, 회원 관리, 프로모션, 캠페인, 재고 관리 등) 개발 및 운영• Java 또는 Kotlin 기반의 Spring Framework를 활용한 애플리케이션 개발• JPA, Hibernate 등 ORM을 이용한 효율적인 데이터 모델링 및 관리• 대규모 트래픽 및 데이터 처리를 위한 시스템 설계 및 최적화• 시스템의 안정성, 확장성, 성능 향상을 위한 지속적인 기술 검토 및 개선.","• 4년 이상의 Application 개발 경력 보유• Java 또는 Kotlin 중에 숙련된 개발 경험 보유• Spring Framework 기반의 Application 개발 경험• JPA, Hibernate 등 ORM 사용과 도메인 모델링 경험.",• 새로운 기술을 익히고 도메인 지식을 쌓는 것을 좋아하시는 분• e-commerce 분야에서 개발경험이 있으신 분• 틀에서 벗어난 사고를 하고 기존 지식에 도전하기 좋아하시는 분• 어떤 문제든 끝까지 파고들어 해결하시는 분.
씨제이올리브영(CJ올리브영),"[주요 업무]온라인몰 거래 처리(주문, 결제, 배송, 클레임 등), 리테일 운영(POS, 정산 등), 파트너 연계 등 핵심 업무 로직 개발 및 유지보수Java 또는 Kotlin을 사용한 안정적인 서버 시스템 개발RDBMS 또는 NoSQL DB를 활용한 효율적인 데이터 모델링 및 관리레거시 시스템 분석 및 개선을 통한 시스템 현대화대용량 데이터 처리 및 고성능 트래픽 환경에서의 개발 및 운영 방안 구축.","• Java 또는 Kotlin을 사용한 서버 개발 경험 5년 이상이신 분 • RDBMS 또는 Nosql DB를 활용한 설계/운영 경험을 보유한 분• Git 사용, 코드 리뷰에 익숙한 분• 레거시 시스템 개선 경험 및 대용량 시스템 운영 경험이 있는 분.","• 대규모 트래픽을 고려한 시스템 디자인, 개발 경험을 보유한 분• AWS 및 클라우드 환경에서 서비스 개발/운영 경험을 보유한 분• 이커머스 또는 오프라인 유통 분야의 시스템 개발/운영 경험을 보유한 분• Agile 개발 방식 / Scrum 경험이 있으신 분• 직군과 관계없이 어울릴 수 있고, 적극적인 커뮤니케이션을 하려고 노력하는 분• 나와 나의 팀만을 위한 의사결정이 아닌 조직 전체를 위한 의사결정을 할 수 있는 분."
에너자이(ENERZAi),"• 정부 R&D 과제를 위한 머신러닝 모델 설계 및 고도화 - 주어진 Task에 적합한 머신러닝 방법론 검토를 위한 Paper Research 및 재현 - R&D 과제의 정량적 목표 달성을 위한 머신러닝 알고리즘 개발 - R&D 과제에서 요구하는 다양한 형태의 데이터 처리• 정부 R&D 과제 제안서 및 보고서 작성 지원 - 제안서 및 보고서의 기술(연구개발) 파트 초안 작성 - 정기 보고서, 회의록 등 연구개발 관련 프로젝트 관리 문서 작성• 제안서 내용 중 연구개발 관련 부분.","• Python을 활용한 프로젝트 수행 경험이 있으신 분• 딥러닝 프레임워크(Pytorch, Keras, Tensorflow 등)을 활용한 프로젝트 수행 경험이 있으신 분• 전문연구요원 지원 가능 - 현역 산업기능요원과 전문연구요원은 TO 상황을 고려한 채용 진행 중으로 개별 문의바랍니다.",
아우토크립트,차량 ​사이버보안 취약점 발견·검증을 ​위한테스트 ​솔루션 프론트앤드 개발 ​업무를 ​수행합니다. ​· 프론트앤드 웹(React) ​개발.,​· 컴퓨터과학·컴퓨터공학 ​등 관련 ​전공 ​학사 이상· ​웹/윈도우 애플리케이션 ​프론트엔드 개발 경험· React·Vue.js 또는 유사 프레임워크 개발 경험· Git 기반 개발 경험· CSS 기본 지식.,"• C#·WPF 개발 경험· C, C++, Python 중 1개 이상 개발 경험· 웹 퍼블리싱 경험· WebSocket 개발 경험· 보안 관련 실무 경험· 보안 관련 경력 또는 전반적 이해."
아우토크립트,차량 ​사이버보안 취약점 발견·검증을 ​위한테스트 ​솔루션 개발 업무를 ​수행합니다. ​· ​백엔드 서비스 개발 ​· 프론트엔드(웹) ​서비스 ​개발 · ​Linux 시스템 ​기반 ​개발.,"• ​컴퓨터과학·컴퓨터공학 등 ​관련 전공 학사 이상· C, C++, Python, Java, JavaScript 중 1개 이상 개발 경력· Git 기본 지식 및 개발 경험· CI·CD에 대한 기본 지식.","• 백엔드 서비스 개발 및 운영 경험 · React 또는 Vue.js 개발 경험 · RDBMS 또는 NoSQL 개발 경험 및 이해 · REST API, gRPC, WebSocket 개발 경험 · ELK 또는 유사 실시간 로그 처리 시스템 개발 경험 · DevOps 관련 경험 · 하드웨어 가상화(H/W Virtualization) 관련 경험."
슈프리마,• 신규 사업을 위한 AI 알고리즘 개발.,"• Deep learning framework ( Tensorflow, Pytorch )을 통한 알고리즘 연구 개발 역량 필수• 단순히 논문 따라 모델을 돌리는 수준을 넘어서, 문제에 맞는 AI 구조를 정의하고 개선해나갈 수 있는 역량• 알고리즘을 잘 구현하면서도, SW 제품과 연결되는 전체 흐름을 이해하고 협업할 수 있는 사람• 다양한 Edge 환경(SOC 등)에 맞춰 AI 모델을 최적화 및 경량화하고, 제품 적용을 위한 API/SDK 형태로 모듈화한 경험자.• Computer Science, Software Engineering 분야 학위소지자• mage processing / Pattern recognition / Computer vision 분야 석사/박사 학위 소지자.","• 각종 challenge, competition 입상 경력• AI 개발 경험 및 지식보유• 소프트웨어 엔지니어 역량 : C/C++, CUDA / ONNX / TensorRT 등 고성능 연산 환경 경험, MLOps 등에 경험• 최신 논문 및 기술을 빠르게 습득하고 필드 상황에 맞게 알고리즘을 수정 및 개선해 본 경험."
제틱에이아이,"- ZETIC.MLange 개발/검증/관리- 다양한 하드웨어(NPU)를 사용하는 소프트웨어 라이브러리 개발- 사용 언어: C, C++, Python.","• Python/C/C++ 경험을 보유하신 분• Computer Science, Engineering 또는 관련 분야의 학사 학위 이상을 보유하신 분.","- Machine learning에 대한 지식을 보유하신 분- Android 앱 혹은 iOS 앱 개발 경험- Git 사용에 능숙하신 분- PyTorch, TFLite, 및 Deep Learning 프레임워크 경험이 있으신 분- 임베디드 시스템에 대한 지식 및 경험을 보유하신 분- 우수한 커뮤니케이션 능력을 보유하신 분."
씨제이올리브영(CJ올리브영),"[주요 업무]내부 업무 시스템의 사용자 인터페이스 개발 및 유지보수Vue, JavaScript 등 Front-End Framework를 활용하여 효율적인 업무 환경 제공사용자 경험(UX) 및 사용자 인터페이스(UI) 디자인을 기반으로 최적의 인터페이스 개발백엔드 팀과의 긴밀한 협업을 통해 데이터 시각화 및 기능 연동웹 성능 최적화 및 사용자 편의성 향상을 위한 지속적인 개선다양한 기기 및 환경에서의 호환성 및 안정성 확보.",• 5년 이상의 Front-end 개발 경력이나 그에 준하는 역량이 있으신 분• JavaScript와 React 같은 Front-end Framework 개발 경험이 있으신 분• WEB 환경에 대한 기본적인 이해 및 지식이 있으신 분• 잠재적인 문제를 해결을 위해 가설을 수립하고 수행한 경험이 있으신 분• 올리브영의 성장과 함께 성공 경험을 만들어 가고 싶으신 분.,"• Typescript/React.js/Node.js 를 활용한 프로젝트 경험이 있으신 분• 모바일 웹 및 Single Page Application에 대한 이해가 높으신 분• 대규모 서비스 개발 프로젝트에서 Front-end 성능 최적화 경험이 있으신 분• Agile 개발 방식 / Scrum 경험이 있으신 분• 하이브리드 앱 환경에서 개발 경험이 있으신분• 직군과 관계없이 어울릴 수 있고, 적극적인 커뮤니케이션을 하려고 노력하는 분• 나와 나의 팀만을 위한 의사결정이 아닌 조직 전체를 위한 의사결정을 할 수 있는 분."
클레,"• 3차원 머신비전 솔루션 데스크탑 앱을 개발하고 유지보수합니다.• 3차원 카메라 조작 앱을 개발하고 유지보수합니다.• 3차원 카메라를 활용한 새로운 데스크탑 앱을 개발합니다.• 하드웨어 개발자, 필드 엔지니어, 현장 오퍼레이터들과 협업합니다.[구체적으로 어떻게 성장할 수 있나요?]• 높은 성능과 안정성을 요구하는 현장에서는 여전히 데스크탑 앱에 대한 수요가 높습니다. 또한 응용분야와 산업 별로 요구하는 플랫폼이 다르기 때문에 저희는 기본적으로 크로스플랫폼 개발을 지향합니다. 클레와 함께 하시면 높은 성능과 안정성을 갖춘 데스크탑 앱을 다양한 플랫폼으로 배포 가능한 개발자로 성장하실 수 있습니다. 또한 클레의 응용분야는 컴퓨터비전, 인공지능, 머신러닝, 디지털트윈 등입니다. 함께 개발 프로젝트를 진행하면 이와 같이 요즘 핫한 분야에 대한 경험과 지식을 습득하실 수 있습니다!",• 기술스택과 맞지 않더라도 본인이 자신 있는 프로그래밍 언어 하나는 있어야 합니다.• 새로운 것을 배우는 데 두려움이 없어야 합니다.• 다양한 직군과의 원활한 의사소통 및 협업 능력이 있어야 합니다.• 자기 주도적으로 개발하며 스스로 동기 부여할 수 있어야 합니다.• 업무상 필요에 의하여 해외출장이 있을 수 있습니다.• 대학교 졸업(4년) 이상 또는 그에 준하는 학력 기준을 요합니다.,"• 기술스택에 있는 언어나 프레임워크를 다뤄본 경험이 있으면 좋습니다.• 데스크탑 앱을 개발해본 경험이 있으면 좋습니다.• 공장자동화 관련 개발을 해본 경험이 있으면 좋습니다. (PLC, 로봇 등)• 컴퓨터비전 관련 개발을 해본 경험이 있으면 좋습니다.• Git 을 사용할 줄 알면 좋습니다.• 영문 자료를 참고하고 해외 커뮤니티에서 소통하며 문제를 해결할 수 있는 영어실력이 있으면 좋습니다.• 기술스택과 툴: 1) 언어: C#, C/C++, Python2) 프레임워크 및 라이브러리: .NET, .Net Framework, WPF, Avalonia, Qt, OpenCV, OpenGL, Issac Sim, Omniverse, Blender, Unity3) 협업툴: Git, Figma, Slack, Monday.com, Notion."
에이비일팔공(AB180),"• 프론트엔드 팀 내외의 개발 환경 및 업무 프로세스 개선• 안정적인 소프트웨어 개발을 위한 SDLC 설계, Best Practice 발굴• 애널리틱스 대시보드를 비롯한 제품들의 프론트엔드 기능 구현 및 고도화.","• 5년 이상의 프론트엔드 개발자로서의 실무 경험• React, TypeScript 기반의 웹 어플리케이션 개발 능력• 최신 기술 및 트렌드에 관한 빠른 이해와 습득력• 여러 조직 간 원활한 의사소통이 가능하고 업무 프로세스 개선에 관심이 많은 분• 오버엔지니어링과 언더엔지니어링 사이에서 최선의 해결 방법을 찾는 데 관심이 많은 분.","• Next.js, Remix 등 서버 스트리밍 / 서버 사이드 렌더링 (SSR) 어플리케이션 개발 경험• 중규모 혹은 마이크로 프론트엔드 구조를 갖춘 서비스의 구축 및 개발 경험• D3 등을 사용한 데이터 시각화, 프론트엔드 테스팅 관련 경험."
