기업명,주요업무,자격요건,우대사항
빗썸,"• 데이터 파이프라인 구축 및 운영 : 다양한 소스로 부터 데이터를 수집, 변환, 적재 하는 대용량 데이터 파이프라인 설계 및 구현• 데이터 웨어하우스 구축 플랫폼 운영 : 클라우드 환경 (AWS, GCP 등)에서 DW를 구축 하고 안적적인 데이터 플랫폼 운영을 위한 모니터링 자동화 시스템 구축• 데이터 추출 및 BI 구성 지원 : 데이터 분석과 및 비지니스 팀의 요청에 따라 필요한 데이터를 추출하고 제공• 데이터 품질 관리 : 데이터 품질 확보및 무결성 유지를 위한 검증 및 테스트 프로세스 구축.","• 프로그래밍/스크립팅 언어 중 1개 이상에 능숙한 분 (예: Python, Scala, Java)• SQL에 매우 능숙하며, 복잡한 데이터 추출 및 쿼리 최적화 경험을 보유하신 분• 데이터베이스(RDBMS, NoSQL) 설계 및 운영 경험을 보유하신 분• 대용량 데이터 처리 시스템 구축 및 운영 경험을 보유하신 분 (예: Hadoop, Spark)• 데이터 파이프라인 구축 경험을 보유하신 분 (ETL/ELT).","• 클라우드 환경(AWS, GCP)에서 데이터 인프라 및 서비스(예: Redshift, BigQuery, EMR)를 운영해 본 경험이 있으신 분• 데이터 스트리밍 플랫폼(예: Kafka, Kinesis, Pulsar)을 활용한 실시간 데이터 처리 경험을 보유하신 분• 데이터 웨어하우스(DW) 설계 및 데이터 모델링(Dimensional Modeling 등)에 대한 깊이 있는 이해를 갖추신 분• 데이터 품질 관리(Data Quality) 및 데이터 거버넌스(Data Governance) 구축 경험이 있으신 분."
클래스유,"• AI 프로덕트의 클라이언트 개발 및 최적화• 데이터 온톨로지 엔진 개발• AGI 생성 플랫폼 구축• LLM파인튜닝 및 최적화• 시스템 아키텍처 설계 및 구현• 실험설계(A/B Testing, 인과추론) 및 통계분석• NPL.","[누구나 지원할 수 있습니다!]필요한 것은 단 하나 *공학적 사고를 하는가*• ""구조적으로 보면 이 문제는... 잠깐 멈춰서 내 접근 방식이 최선인가?"" 이런 식으로 생각해본 분• ""근본 원인을 분석해보면... 내 접근에 한계가... 편향이 있을 수 있다"" 자기성찰을 하는 분• ""현상 vs 본질을 구분하면서도 내 관점의 한계는 뭘까? 다른 각도로 생각해 보면 어떨까?"" 다층적 사고를 하는 분• ""이상한데... 뭔가 놓친게 있는 거 같은데"" 직감적으로도 문제를 감지하는 분• ""잠깐 멈춰서... 내가 확신하는게 맞나? 한번 더 체크해보자"" 의식적·무의식적 성찰이 자연스러운 분• ""이 원인들의 속성은 뭐지? 각 원인들 간에 상관관계가 있나요?"" 모호한 개념을 구체적인 속성들로 분해하고 각 요소 간의 관계를 체계적으로 매핑해본 경험이 있는 분※경력이나 학력, 기술 스택에 제한을 두지 않습니다.","기술적 경험이나 특정 스킬보다는 문제를 바라보는 사고방식을 더 중요하게 생각합니다특별히 가산점을 많이 부여하지 않습니다.* 해당 분야 경력 5년 이상 시 연봉 1억 5천만원부터[AI/Prompt Engineering]• LLM 파인퓨팅 및 RAG 시스템 구축 경험• 머신러닝 모델 프로덕션 배포 경험• 언어적 개념의 정의와 인문학적 사고력• 프롬프트 엔지니어링을 통한 실제 비즈니스 문제 해결 사례[Development (Backend/Frontend)]• 대용량 트래픽 처리 시스템 설계 경험• 클라우드 인프라(AWS/GCP/Azure) 설계 및 운영 경험[Product Manager]• 0-＞1 신제품 런칭 또는 피봇 성공 경험• 데이터 기반 의사결정 경험[Data Science/Analytics]• 실제 비즈니스 임팩트를 창출한 데이터 분석 프로젝트 경험• 대용량 데이터 파이프라인 구축 및 운영 경험• 실험 설계(A/B Testing, 인과추론) 및 통계적 분석 경험[UX/UI Design]• 사용자 중심 디자인을 통한 비즈니스 지표 개선 경험• 디자인 시스템 구축 경험[Marketing/Growth]• 데이터 드리븐 마케팅 및 그로스 해킹 경험• 브랜드 마케팅 캠페인 기획 경험※기술은 함께 배우면 됩니다. 공학적 사고가 더 중요해요!"
마이리얼트립,"[함께 일하게 될 팀]• 데이터 플랫폼팀은 마이리얼트립에서 서비스 되는 모든 데이터를 개발 및 관리 하는 팀입니다.• 마리트의 비지니스에서 필요로 하는 DB데이터, Log데이터, 외부수집데이터등을 통합/관리합니다.이렇게 개발 수집된 데이터는 검색/추천, 다양한 의사결정, Planning, 회계/정산, 업무 자동화, A/B Test 등 다양한 곳에 사용됩니다.이를 관리하기 위한 다양한 DW 운영 기술들을 경험해 볼 수 있으며, 다양한 소스를 통합관리하는 데이터 파이프라인, 대용량 데이터 처리를 위한 빅데이터 기술, 실시간 데이터 처리등의 기술을 습득할 수 있습니다. [Data Engineer가 하는 일]• 정보계 데이터 저장소 및 파이프라인 개발/운영• 다양한 데이터의 Batch 및 streaming 처리• DW/Mart 설계 및 개발• 대용량 데이터 처리 아키텍쳐 개발 및 운영• 대용량 데이터 분석 후 관련 서비스 개발/운영• MLOps를 통한 성능 최적화 작업.","• 클라우드 환경에서의 대규모 데이터 처리를 위한 데이터 파이프라인 설계 및 구현 경험• 주도적인 BI/DW 구축 경험• 탁월한 수준의 SQL• Airflow, luigi 같은 ETL 도구의 경험• Java or Python 등 하나의 언어를 자유롭게 다룰수 있는 분• 실시간 Streaming 데이터 처리 경험.",• 분산 환경 대용량 데이터 처리 환경 구축 경험• AI를 활용한 생산성 향상 경험• 광고 데이터 파이프라인 구축 경험• debezium(CDC) 개발 및 운영 경험.
씨제이올리브영(CJ올리브영),"[유닛 소개]코어플랫폼유닛 - ①카탈로그서비스 / ②회원서비스 / ③인벤토리서비스 ""고효율 플랫폼""의 핵심 엔진을 개발하고 최적화합니다.올리브영 코어플랫폼유닛은 이커머스 옴니채널 비즈니스의 핵심 자산인 상품, 회원, 프로모션, 물류/재고 데이터를 통합 관리하며, 플랫폼의 효율성과 확장성을 책임지는 중요한 역할을 수행합니다. 깊이 있는 기술적 전문성과 풍부한 경험을 바탕으로, 안정적이고 성능 뛰어난 Back-End 시스템을 구축하고 운영하며, 미래 성장을 위한 혁신적인 기술 도입을 주도할 숙련된 Back-End 엔지니어를 찾습니다. 핵심 비즈니스 로직을 효율적으로 설계하고 구현하여 올리브영의 지속적인 성장에 기여할 전문가를 기다립니다.• 핵심 비즈니스 로직 (상품 관리, 회원 관리, 프로모션, 캠페인, 재고 관리 등) 개발 및 운영• Java 또는 Kotlin 기반의 Spring Framework를 활용한 애플리케이션 개발• JPA, Hibernate 등 ORM을 이용한 효율적인 데이터 모델링 및 관리• 대규모 트래픽 및 데이터 처리를 위한 시스템 설계 및 최적화• 시스템의 안정성, 확장성, 성능 향상을 위한 지속적인 기술 검토 및 개선.","• 4년 이상의 Application 개발 경력 보유• Java 또는 Kotlin 중에 숙련된 개발 경험 보유• Spring Framework 기반의 Application 개발 경험• JPA, Hibernate 등 ORM 사용과 도메인 모델링 경험.",• 새로운 기술을 익히고 도메인 지식을 쌓는 것을 좋아하시는 분• e-commerce 분야에서 개발경험이 있으신 분• 틀에서 벗어난 사고를 하고 기존 지식에 도전하기 좋아하시는 분• 어떤 문제든 끝까지 파고들어 해결하시는 분.
업스테이지,"• AI 모델 개발을 위한 데이터 수집, 분석, 가공, 평가, 관리 전반의 프로젝트 운영 • 최신 AI 모델 개발 흐름을 바탕으로 한 창의적인 벤치마크 설계 및 학습 데이터 구축• AI 모델을 활용한 텍스트 및 이미지 데이터 증강부터 Human Feedback Loop까지 신규 데이터셋 구축을 위한 유기적인 데이터 제작 파이프라인 설계와 실행• 고품질 데이터셋 구축을 위한 내외부 협업 및 커뮤니케이션[근무 형태]• 정규직.","• HuggingFace 및 데이터 전처리/후처리 라이브러리(OpenCV, KoNLPy, NLTK, SpaCy 등)를 활용한 데이터 처리 경험이 있으신 분• Python 프로그래밍에 능숙하신 분• 다양한 팀과의 협업에서 원활한 커뮤니케이션 및 협력할 수 있는 능력이 있으신 분.",• AI 기술을 활용한 실제 제품 개발 경험이 있으신 분• AI 모델링 경험이 있는 분• 파운데이션 모델 API를 활용한 서비스 개발 또는 프로젝트 수행 경험이 있으신 분• 문제 해결을 위한 정량적 및 정성적 평가를 설계하고 실제로 적용해본 경험이 있으신 분.
마이리얼트립,"• 마이팩 데이터 분석데이터 분석을 통해 수요를 미리 읽고 ‘언제, 어떤 상품을 내놓을지’ 결정하는데 도움을 줍니다.상세 ＞ 구매 전환 퍼널을 데이터로 살피며 병목을 없애고, 기획전·상시 상품의 성과를 실험으로 검증하며 마이팩 버티컬의 성장을 도모 합니다.• 교통·통신 데이터 분석Rail Europe 구간권(P2P) 연동을 시작으로 일본 JR 패스·해외 렌터카 등 다양한 이동 수단을 순차적으로 통합하려 합니다.데이터 분석가는 고객 여정 데이터를 면밀히 분석해 최적의 교통 옵션을 추천하고, 항공·숙소·투어와 매끄럽게 이어지는 원스톱 여행 준비 경험을 제공하도록 합니다.분석을 통해 교통·통신관련 고객의 여행을 진정으로 돕고, 팀과 서비스가 함께 성장할 수 있도록 합니다.• End-to-End 문제 해결 & 데이터 문화 확산문제 정의 ＞ 데이터 모델링 ＞ 실험 설계 ＞ 제품 반영까지 주도적 오너십을 가지고, 반복 작업은 Generative AI·Workflow Automation으로 효율화 합니다.전사 구성원이 데이터를 ‘읽고·쓰고·행동’할 수 있도록 교육 및 가이드를 제공하여 함께 성장하는 문화를 만듭니다.","• 데이터 조작 및 분석 능력• SQL을 통해 데이터베이스에서 원하는 데이터를 추출할 수 있는 분• Python/R 로 데이터를 가공·전처리하고, 시각화까지 일관되게 수행할 수 있는 분2. 기본적인 통계 및 분석 역량• 기초 통계학·실험 설계(Design of Experiments)를 이해하고 있는 분• A/B 테스트, 퍼널 분석 등을 실제 서비스에 적용해 본 경험이 있는 분3. 데이터 기반의 변화 추진 능력 • 데이터를 기반으로 서비스나 업무 프로세스에 실질적인 변화를 만들어낼 수 있는 분• 개발자, 디자이너, PM, 비즈니스 담당자 등 다양한 직군과 원활하게 협업할 수 있는 분.","• 문제를 스스로 정의하고 끝까지 해결하려는 오너십을 지닌 분• 난관이 와도 쉽게 포기하지 않고 집요하게 파고드는 분• 익숙하지 않은 영역도 과감히 도전하며 자기 성장을 추구하는 분• AI·자동화 도구(Generative AI, AutoML, Prompt Engineering 등)를 활용해 반복적인 분석·리포트·Batch 작업을 자동화하고 팀 생산성을 향상시킨 경험, LLM·RAG 기반 분석/서비스 프로토타입을 신속히 구축하거나 운영에 적용한 사례• AI 기술을 팀원에게 전파하고 분석 워크플로를 ‘지능형’으로 고도화한 경험을 공유할 수 있는 분."
씨제이올리브영(CJ올리브영),"• AI/ML/자동화 시스템 개발 및 최적화• 수요예측, 발주 고도화 등 비즈니스 요구에 맞춘 AI / 머신러닝 / 자동화 시스템 개발 및 성능 최적화• 모델 배포, 모니터링, 성능 개선 등 MLops 전체 운영 라이프사이클 설계 및 운영 관리• 데이터 과학자 및 분석가와 협업하여 모델의 실무 적용성을 높이고, 데이터 인프라와의 원활한 연계 지원2. 물류 특화 데이터베이스 및 분석 환경 구축• 물류 도메인에 특화된 데이터레이크 설계 및 구축• 대용량 데이터를 효율적으로 저장, 조회, 분석할 수 있는 인프라 환경 구축3. 데이터 파이프라인 구축 및 관리• API 연동, DB 연동 등 다양한 데이터 수집 방식을 적용하여 자동화된 데이터 파이프라인 구축• 데이터 수집부터 정제, 적재, 변환까지의 전 과정을 체계적으로 관리.","[Education] • 컴퓨터등 관련 학사 이상[Experience]• 유관경력 5~15년 보유• 레거시 시스템과 클라우드 환경(AWS, GCP) 간 데이터 연동 및 ETL 파이프라인 설계, 구축, 운영 경험• 실시간 데이터 처리 환경(Kafka 등) 구축 및 운영 경험• Airflow 등 워크플로우 툴을 활용한 ETL 자동화 및 모니터링 체계 운영 경험• 데이터 품질 관리, 메타데이터 관리, 접근 권한 제어 등 데이터 거버넌스 체계 설계 경험• ML/DL 모델 성능 개선, 재학습 자동화, 모니터링 등 MLOps 전 주기 운영 관리 경험• 데이터 플랫폼 및 ML 시스템과 연동되는 서비스 API 설계, 개발, 운영 경험[Skill]• Python, SQL, Java 등 개발 역량• 데이터 수집부터 정제, 전처리등 데이터파이프라인 전반에 대한 역량• Spark, AWS Redshift, GCP BigQuery 등 클라우드 DB 구축 관리 역량• Airflow 등 워크플로우 툴을 활용한 ETL 자동화 및 모니터링 체계 구축 및 운영 역량• 컨테이너 기반 환경(Docker, Kubernetes 등)에서 ML 시스템 배포, 관리, 운영 역량.","• 컴퓨터등 관련 석사 이상• Tensorflow, Pytorch, Scikit-learn등을 이용한 ML/DL 개발, 운영 경험 우대• 물류 또는 공급망 관리(SCM) 분야 실무 시스템 개발 경험 우대• 수요예측등 머신러닝, 자동화 프로젝트 리딩 경험 우대."
에스투더블유(S2W),"데이터 팀은 S2W의 제품 개발·운영에 필요한 모든 데이터를 수집·분석하고, 관련 소프트웨어들의 효율성과 가용성을 높이는 역할을 담당합니다. 그 중 웹 데이터 수집 및 분석 영역에서는 다음과 같은 업무를 수행합니다.• Surface Web, Deep/Dark Web 수집기 운영• 봇탐지/차단 우회 기술 개발/적용• 수집데이터 저장/관리• 수집 모듈을 위한 API 개발 및 운영• 웹 수집/분석/데이터 파이프라인을 위한 컨테이너 환경 관리• 웹 수집/분석/데이터 파이프라인을 위한 core library 개발/관리.","• 컴퓨터공학 전공 혹은 그에 준하는 전공 및 지식 보유• 2년 이상의 Python 또는 Java 개발 경험 (한 개 이상 원활한 프로그래밍 가능)• Docker, Kubernetes 활용 경험• DB를 활용한 애플리케이션 또는 파이프라인 설계/구축 경험• Object Oriented Programming (OOP)에 대한 이해 (Java, C++ 등의 프로그래밍 언어 경험)• HTTP에 대한 기초 지식.","• Playwright, Selenium을 이용한 웹 수집 경험• Deep/Darkweb 수집 경험• 봇 탐지/차단 기술 분석, 우회 기술 개발 경험 (e.g., Captcha, Cloudflare)• linux 환경에서의 개발 경험• NoSQL DB를 활용한 개발 경험• 비동기 프로그래밍 경험• AI를 활용한 업무 자동화 경험."
도터,• 의료 데이터 라벨링 및 품질 관리• 특허 및 기술 보고서 작성 보조• Git/GitHub 기반 소스 코드 관리 및 협업.,"• 인공지능, 데이터사이언스, 컴퓨터공학 등 관련 전공 학사 (신입 ~ 3년 경력, 졸업 예정자 포함)• Python 프로그래밍 및 PyTorch, TensorFlow 등의 딥러닝 프레임워크 활용 능력• OpenCV, Pillow, Scikit-Image 등의 영상 처리/분석 라이브러리 활용 능력• 기술 문서 작성 역량 (README, 연구 노트, 기술 보고서 등).",• 의료 영상 또는 의료 데이터 프로젝트 경험• 인공지능 관련 대회 수상 또는 공개 리더보드 성과• 인공지능 모델 서빙/배포 경험• 영어 기술 문서 독해 및 작성 능력.
피에프씨테크놀로지스,"- 안정적이고 확장 가능한 데이터 파이프라인을 설계, 개발 및 운영해요.- 비즈니스 요구사항에 맞는 데이터 마트를 구축하고 고도화해요.- 사내 다양한 부서의 데이터 추출 및 분석을 지원해요.- 데이터 처리 과정에서 발생하는 이슈를 트래킹하고 해결하며, 서비스 안정성을 확보해요.- 반복적인 데이터 관련 업무를 자동화하거나 시스템을 개선해요.","- 경력 상관없이, SQL을 활용한 데이터 처리 및 분석 역량이 있으신 분- Python 등 하나 이상의 프로그래밍 언어에 대한 이해도가 있으신 분- 데이터 엔지니어링 및 데이터 모델링에 대한 기본적인 지식을 지니신 분- 동료와 함께 문제를 해결해나가는 적극적인 커뮤니케이션 역량이 있으신 분.","- 안정적인 서비스 운영에 대한 책임감이 강하신 분- 동료와의 협업과 소통을 중요하게 생각하시는 분- 주어진 문제를 능동적으로 해결하고, 선제적으로 시스템을 개선하려는 의지가 있으신 분- PFCT와 함께 데이터 전문가로 성장하고 싶으신 분- 클라우드 환경(AWS, GCP 등)에서의 데이터 처리 경험이 있으신 분- Airflow, Spark 등 데이터 관련 프레임워크 사용 경험이 있으신 분- 대용량 데이터 처리 및 분산 시스템에 대한 이해도가 있으신 분- 핀테크 또는 금융 도메인에 대한 높은 관심을 지니신 분- 새로운 기술을 배우고 적용하는 데 흥미가 있으신 분."
