Skill1,Skill2,Weight
Photoshop,CSS,3
Photoshop,Figma,3
Photoshop,HTML,3
Photoshop,UI,3
Photoshop,UX,2
Photoshop,AI,2
Photoshop,C,2
Photoshop,CI/CD,2
Photoshop,Docker,2
Photoshop,Embedded,2
Photoshop,Game,2
Photoshop,Git,4
Photoshop,JavaScript,3
Photoshop,Linux,3
Photoshop,MCU,2
Photoshop,Monitoring,2
Photoshop,Network,3
Photoshop,Python,2
Photoshop,React,2
Photoshop,SPA,2
Photoshop,SSR,2
Photoshop,Socket,2
Photoshop,MariaDB,2
Photoshop,Redis,2
Photoshop,Security,2
Linear Algebra,3D Reconstruction,2
Linear Algebra,AI,12
Linear Algebra,C,11
Linear Algebra,C++,4
Linear Algebra,Computer Vision,6
Linear Algebra,DL,9
Linear Algebra,Depth Estimation,2
Linear Algebra,Python,12
Linear Algebra,CUDA,7
Linear Algebra,MVC,2
Linear Algebra,OpenCV,4
Linear Algebra,OpenGL,4
Linear Algebra,Qt,3
Linear Algebra,Statistics,5
Linear Algebra,UI,4
Linear Algebra,WPF,2
Linear Algebra,React,5
Linear Algebra,API,7
Linear Algebra,Autonomous Driving,4
Linear Algebra,CI/CD,7
Linear Algebra,CS,9
Linear Algebra,Cypress,2
Linear Algebra,DSP,4
Linear Algebra,DevOps,5
Linear Algebra,Embedded,5
Linear Algebra,Jira,6
Linear Algebra,LiDAR,5
Linear Algebra,Linux Kernel,2
Linear Algebra,ML,5
Linear Algebra,PM,5
Linear Algebra,Playwright,2
Linear Algebra,Postman,3
Linear Algebra,QA,8
Linear Algebra,Robotics,6
Linear Algebra,Selenium,3
Linear Algebra,Sensor,4
Linear Algebra,ADAS,2
Linear Algebra,ARM,2
Linear Algebra,AUTOSAR,2
Linear Algebra,AWS,5
Linear Algebra,Airflow,4
Linear Algebra,Apache,2
Linear Algebra,Azure,3
Linear Algebra,CAN,2
Linear Algebra,Confluence,3
Linear Algebra,Django,3
Linear Algebra,Docker,7
Linear Algebra,Ethernet,3
Linear Algebra,GCP,4
Linear Algebra,Git,7
Linear Algebra,Hybrid App,2
Linear Algebra,IMU,4
Linear Algebra,ISO 26262,2
Linear Algebra,JAX,2
Linear Algebra,Java,4
Linear Algebra,JavaScript,6
Linear Algebra,Jenkins,2
Linear Algebra,KubeFlow,2
Linear Algebra,Kubernetes,6
Linear Algebra,Linux,7
Linear Algebra,MATLAB,2
Linear Algebra,MCU,2
Linear Algebra,MLFlow,3
Linear Algebra,MLOps,3
Linear Algebra,MongoDB,5
Linear Algebra,NPU,2
Linear Algebra,PostgreSQL,3
Linear Algebra,QNX,2
Linear Algebra,ROS,5
Linear Algebra,RTOS,3
Linear Algebra,SLAM,4
Linear Algebra,SQL,7
