기업명,주요업무,자격요건,우대사항
우아한형제들(배달의민족),• 주간 VOC 취합/리포팅 및 대시보드 업데이트 관리 • 주간 부정리뷰 모니터링 및 이슈 관리 • CS/고객경험 관련 서비스 고도화 과제 기획 및 실행.,"• 데이터 기반 리포팅 및 대시보드 활용 경험(Google Sheet, SQL 등)을 보유한 분• 플랫폼 서비스 및 프로세스 운영 경험을 보유한 분• 유관부서와의 원활한 커뮤니케이션 스킬을 보유한 분• 문제 상황을 빠르게 파악하고 개선안을 제시할 수 있는 문제 해결 능력을 보유한 분.","• 플랫폼, 이커머스 CS 운영 경험을 보유한 분• 데이터 분석 및 리포트 자동화 경험을 보유한 분• 프로젝트 참여 및 서비스/프로세스 개선 경험을 보유한 분."
우아한형제들(배달의민족),"• 데이터를 기반으로 고객 경험 및 서비스 개선을 위한 신규 과제를 발굴하고 기획합니다.• 제품 및 서비스 성과 측정을 위한 지표를 정의하고 분석합니다• 데이터 분석, 모델링 등 다양한 데이터 기술을 활용하여 비즈니스 문제를 해결합니다.• 개발, 마케팅, 사업 등 다양한 직군과의 협업을 통해 프로젝트를 성공적으로 이끌고 커뮤니케이션합니다.",• 데이터를 활용해 목적에 맞는 명확한 기획을 할 수 있는 분• 다양한 직군과의 효과적인 협업을 위한 문서화 및 커뮤니케이션 능력이 뛰어난 분• 문제를 주도적으로 정의하고 해결하는 능동적인 자세를 갖춘 분.,"• 글로벌 업무 경험이 있거나, 영어 커뮤니케이션에 능숙한 분• 데이터 관련 프로젝트 경험이 풍부하고, 데이터 활용에 대한 깊은 이해를 가진 분."
더존비즈온,"• AI 웹서비스 기획1. 서비스 기획• 인사 메뉴에 배포될 노무사 AI 도우미 프로그램 기획• 회계 메뉴에 배포될 회계사 AI 도우미 프로그램 기획*각 분야 전문가(회계사,노무사,변호사)의 컨설팅 분석 및 AI 서비스 기획2. 데이터 분석 및 기획• AI 서비스의 입출력 데이터 분석, 정의(정리)• 각 분야 전문가와 협업, AI 서비스 성능 평가 및 개선 활동 진행3. 서비스 POC• XD나 피그마를 이용한 프로토타이핑 제작• 스크린샷 or 동영상 편집 활용 프리젠테이션 제작4. UI/UX 기획• 전문가 AI 도우미 웸/모바일 화면 기획• 에이전트 제작 및 운영 플랫폼의 관리자 페이지 기획• 데이터 정제 및 RAG 데이터 구축 플랫폼 관리자 페이지 기획*AI 연구소 기술 상품화.","• 1년 이상 IT 계열 웹기획(서비스기획) 실무경력 보유 필수2. 프로토타이핑 도구 사용 가능자3. 챗GPT, 클로드, 제미나이 등 관련 AI 프로그램 능숙자4. 전문가의 업무 분석 및 서비스 기획, 설계 연결 가능자5. 근무지 : 서울(을지로).",• AI/데이터 관련 학과 전공자2. 노무/회계 전공 또는 관련 개발 프로젝트 경험 보유자3. 최신 AI 기술 동향 관심 보유자4. IT 관련 신규 서비스 런칭 경험 보유자.
넥슨코리아(NEXON),"• 게임 및 플랫폼 데이터를 기반으로 유저 행동 분석, 서비스 개선을 위한 인사이트 도출• 비즈니스 지표 설계 및 성과 분석을 통한 전략적 의사결정 지원• AI/ML 실험 결과 분석 및 성능 평가, 개선 방향 제안• 데이터 시각화 및 리포트 자동화 시스템 구축[분석 환경]• 기술 스택 : Spark, Databricks, Snowflake, AWS Console• 사용 언어 : SQL, Python• 업무 도구 : JupyterHub, Tableau, Power BI, Airflow, Notion, Confluence, GitLab• AI 도구 : Azure OpenAI, Cursor, Microsoft Copilot.","• [지원 시 필수 제출] 자기소개서 (분량 자유)(1) 자유롭게 본인을 소개해 주시고 지원하신 분야에 적합하다고 생각하는 이유를 말씀해 주세요.• 데이터 기반으로 문제를 정의하고 해결하는 데 흥미를 느끼시는 분• 다양한 직군과 협업하며, 커뮤니케이션에 능숙하신 분• 복잡한 데이터를 구조화하고 인사이트를 도출하는 데 강점을 가지신 분• 겸손하고 배우는 자세로 동료들과 즐겁게 일할 수 있으신 분[필수 자격 요건]• SQL 및 Python을 활용한 데이터 분석 실무 경험이 있으신 분• 클라우드 환경(GCP, AWS 등)에서 데이터 분석 및 시각화 경험이 있으신 분• 통계적 사고 및 실험 설계 역량을 보유하신 분.","• 게임 또는 플랫폼 서비스 관련 데이터 분석 경험이 있으신 분• AI/ML 모델 성능 분석 및 개선 경험이 있으신 분• 데이터 기반 비즈니스 지표 개선을 주도한 경험이 있으신 분[선택 제출] 포트폴리오• 데이터 분석 프로젝트 경험을 자유롭게 공유해주세요.• 문제 정의, 분석 과정, 해결책, 정량적 성과 및 배운 점을 포함하면 더욱 좋습니다."
에이블리코퍼레이션,"• 여러 액션 (실험, 사업 전략, 프로모션 등)의 효과성을 데이터로 검증하고, 도출한 인사이트를 실행 가능한 태스크로 구체화해요.• 다양한 영역 (패션, 라이프스타일, 뷰티, 콘텐츠 등)에서 성장 기회를 발굴하고, A/B 테스트 중심으로 임팩트를 측정해요.• 빠르고 일관된 의사결정을 위해 스쿼드에서 활용 가능한 지표 성과 체계 등을 설계해요.• 비즈니스 상황을 다면적으로 해석 및 시각화하여 구성원이 다양한 시각에서 문제 해결 방법을 논의할 수 있도록 지원해요.","• 에이블리 조직문화에 공감하여, One Team으로 GRIT하게 일하며 Impact를 만들어갈 의지가 있는 분을 찾아요.• 데이터 정제, 문제 정의, 인사이트 도출 및 액션 아이템 제시까지 데이터 분석의 전반을 경험한 분을 찾아요.• SQL과 Python을 활용해 복잡한 데이터를 손쉽게 추출 및 가공이 가능한 분을 찾아요.• 다양한 직군의 동료가 복잡한 분석 결과를 쉽게 이해 및 활용할 수 있도록 명확하게 의사소통할 수 있는 분을 찾아요.• 실험 설계 (A/B 테스트 등)과 지표에 대한 고민이 깊고, 의사결정 시스템을 설계 및 고도화해본 분이면 더 좋아요.• 커머스 및 플랫폼 데이터에 대한 이해도가 높은 분이면 더 좋아요.• 새로운 기술 및 툴 도입에 적극적이며, 팀의 생산성을 높이는 방법을 지속적으로 탐구할 수 있는 분이면 더 좋아요.",
비바리퍼블리카(토스),"[합류하면 함께할 업무예요]• 작은 스타트업인 Silo에서 제품/그로스해킹/매출/마케팅/고객 행동 전반에 대해 분석을 하고 Insight와 전략을 제안해요.• 목표를 달성하기 위한 지표와 가설을 설정하고, 이를 검증할 수 있는 다양한 A/B 테스트를 설계하며 결과를 분석하고 Action Item을 제안해요.• 토스 내 다양한 데이터를 탐색하고 프로덕트 성장 기회를 찾아요.• 지표로 팀을 목표에 얼라인하고 Silo 내에서 Data-driven 문화를 리드하는 역할을 해요.• Product Owner와 함께 서비스의 방향을 결정하는 중요한 제품 전략가로서의 역할을 수행해요.","[이런 분과 함께하고 싶어요]• 다양한 데이터를 주도적으로 탐색하고 여러 데이터를 종합하여 논리적 해석을 하실 수 있는 분이 필요해요.• SQL을 활용해 자유롭게 원하는 데이터를 추출하고 분석하실 수 있는 분이 필요해요.• 모바일 서비스 데이터 분석 방법(Retention, Cohort Analysis 등)에 대한 이해도가 필요해요.• 가설을 세워 A/B 테스트를 설계하고 검증하며 지속적해서 개선해 나간 경험이나 지식이 있는 분이 필요해요.• 업무 경력 기간에 제한을 두지 않아요. 연차에 관계 없이 지원해주세요.• 제품/그로스해킹/매출/마케팅 등 다양한 데이터에 대한 분석 경험이나 지식이 있는 분이면 좋아요.• 간편결제, 이커머스, 광고, 앱테크, 금융중개 등 토스에서 운영하고 있는 도메인 관련 분석 경험이나 지식, 관심이 있으신 분이면 좋아요.• 조직 내에서 데이터를 기반으로 전략을 제안하고 실행에 옮겨 임팩트를 낸 경험이 있으면 좋아요.","[이력서는 이렇게 작성하시는 걸 추천해요]• 그동안 해오신 업무 중 임팩트가 있었던 프로젝트를 구체적으로 적어주세요.• 진행했던 프로젝트의 문제정의-가설설정-실험설계 및 검증-결과의 과정이 드러나면 좋아요.• 데이터 분석으로 유저에 대해 깊이 이해하고 이를 통해 액션/전략을 제시하신 경험이 있다면 적어주세요.• 목표를 달성했다면 이탈률, 전환율, 매출액 등 지표의 개선을 수치로 나타내주면 좋아요. (외부 공개가 민감한 사항일 경우, 해당 부분은 제외하여 주세요.)."
여기어때컴퍼니,"• 데이터 분석을 통한 서비스 품질 관리 (검색, 리뷰, 상품 등)• 서비스 변경사항에 대한 품질 모니터링 체계 구축• 운영 효율화를 위한 어드민 구축 참여 및 운영• 운영 지표 설정 및 성과 측정, 데이터 기반 의사결정을 위한 대시보드 구축.","• SQL 및 데이터 분석 도구를 활용한 데이터 처리 및 분석 역량이 있는 분• 운영 프로세스를 자동화한 경험이 있거나, 이에 대한 깊은 관심과 실행 역량을 보유한 분• 주도적으로 운영 이슈를 발굴하고 해결할 수 있는 분• 데이터 기반으로 이해관계자를 설득하고 협업할 수 있는 분.","• 운영 효율성 향상을 위한 도구 활용 (SQL, Python, n8n, Apps Script 등) 경험 또는 관심이 있는 분• Product Operations 또는 유사 직무 경험이 있는 분• 검색 또는 추천 시스템 운영 경험이 있는 분."
비바리퍼블리카(토스),"합류하면 함께할 업무예요• 토스 앱 내에서 커머스 제품을 이용하는 유저의 행동을 분석해 Insight를 발굴하고 전략을 제시해요.• 토스 앱의 다른 서비스를 사용하는 유저도 분석해 커머스 제품의 새로운 기회를 발굴하고 전략을 제시해요.• 커머스 도메인의 목표 달성을 위한 지표와 가설을 설정하고, 이를 검증할 수 있는 다양한 A/B 테스트를 설계하며 결과를 분석하고 Action Item을 제안해요.• 유저의 행동을 더 잘 정의하고 분석하기 위한 새로운 지표도 개발해요.• 광고 추천, 제품 추천, 검색 기능이 더 잘 되기 위해 ML 모델 성능 개선을 위한 분석도 함께 진행해요.• 예를 들면 이런 주제를 분석하고 실행해요.• 구매 전환율을 높일 수 있는 전략 도출• 최적의 광고 노출을 위한 데이터 분석• 추천 로직 고도화를 위한 실험 설계 및 분석.","이런 분과 함께하고 싶어요• SQL을 활용해 자유롭게 원하는 데이터를 추출하고 분석하실 수 있는 분이 필요해요.• 이커머스 플랫폼, 입점사 등에서 커머스 제품에 대한 직/간접적으로 분석경험이 있거나 커머스 사업에 관심이 있는 분이 필요해요.• 데이터 분석으로 유저의 행동을 정의하고 이를 통해 전략/액션을 제시해보고 실행해본 경험이 있으면 좋아요.• 가설을 세워 A/B 테스트를 설계하고 검증하며 지속해서 개선해 나간 경험을 해본 분이 필요해요.• 추천, 검색, 타겟팅 등 Machine Learning 모델 알고리즘과 평가방법에 관련된 지식과 경험이 있으면 좋아요.",이력서는 이렇게 작성하시는 걸 추천해요• 그동안 해오신 업무 중 임팩트 있었던 프로젝트를 구체적으로 적어주세요.• 진행했던 프로젝트의 문제정의-가설설정-실험설계-검증-결과의 과정이 드러나면 좋아요.• 데이터 분석으로 유저와 비즈니스에 대해 깊이 이해하고 이를 통해 액션/전략을 제시하신 경험이 있다면 적어주세요.
당근서비스,"[이런 일을 해요]- 당근서비스의 문의 유형, 업무 처리량, 구성원 개개인의 퍼포먼스와 같은 데이터를 수집, 가공, 분석하고 시각화해요.- 당근서비스 팀이 데이터를 기반으로 더 나은 의사결정을 할 수 있도록 정량적 수치와 분석 결과를 제공해요.- 전사 KPI 지표를 분석하고, 목표를 달성하기 위한 개선 포인트를 제시해요.- 통계 분석을 통해 서비스별 적정 운영 인력 계획을 수립하고 운영 효율화를 도와요.[이런 경험을 할 수 있어요]- 국내 최대 규모 중고거래 서비스의 고객 문의 데이터를 A부터 Z까지 다루며, 데이터 분석의 전 과정을 주도적으로 경험할 수 있어요.- 단순히 데이터를 추출하는 것을 넘어, 분석 결과를 바탕으로 서비스 운영과 제품 개선에 직접적으로 기여하고 그 성과를 함께 달성하는 경험을 해요.- 수평적인 문화 속에서 동료들과 자유롭게 의견을 나누고, 데이터 기반의 합리적인 의사결정 문화를 함께 만들어갈 수 있어요.- 빠르게 성장하는 조직 안에서 스스로 문제를 발견하고 해결하며, 조직과 함께 성장하는 짜릿한 경험을 할 수 있어요.- 분석에서 그치는 것이 아니라, 본인의 분석 결과가 실제 프로덕트와 서비스 운영에 반영되어 임팩트를 만들어내는 것을 직접 확인할 수 있어요.","[이런 분을 찾고 있어요]- 2~5년의 유사 업무 경험을 하신 분- SQL, BigQuery, Excel 등 데이터 분석 도구에 익숙하고, 이를 활용해 데이터를 다룰 수 있는 분- 대량의 데이터를 Google Data Studio(Looker Studio), Tableau 등 BI 툴을 사용해 시각화해 본 경험이 있는 분- 데이터 분석을 통해 사용자를 깊이 이해하고, 이를 바탕으로 실제 액션이나 전략을 제시해 본 경험이 있는 분- 데이터를 바탕으로 빠르게 개선사항을 발굴하고 성과를 만들어 낸 경험이 있는 분- CS/CX에 대한 이해도가 있거나, 빠르게 성장하는 스타트업에서의 경험이 있는 분.","[이런 분이면 더 좋아요]- 스스로 문제를 정의하고, 다양한 방법으로 시도하며 빠르게 문제를 해결한 경험이 있는 분- 빠르게 변화하는 조직에서 다양한 역할을 자율적으로 수행하며 성과를 낸 경험이 있는 분- 데이터 파이프라인 구축 및 관리에 대한 이해가 있는 분- 생성형 AI 도구를 활용해 분석, 문서화 등 업무 효율화를 경험해 보신 분[이력서는 이렇게 작성해주시면 더 좋아요]- 자신의 개성에 맞는 자유 양식으로 제출해주세요.- 데이터 분석 및 모니터링 Tool 사용 경험 (SQL, BigQuery, BI 툴 등)을 알려주시면 좋아요.- 데이터 분석 결과를 통해 실제 업무 효율을 높이거나 프로세스를 개선한 경험 (개선 전/후 비교, 본인의 역할 포함)을 알려주시면 좋아요.- 진행했던 프로젝트의 [문제 정의 - 가설 설정 - 실험 설계/검증 - 결과]의 과정이 잘 드러나면 좋아요.- 다양한 부서와 협업하며 문제를 해결한 경험을 알려주시면 좋아요.- 본인의 성과를 증명할 수 있는 포트폴리오나 관련 자료를 첨부해 주시면 검토에 큰 도움이 돼요."
페이타랩(패스오더),"• CRM 성과 분석을 통해 캠페인·메시지별 전환과 반응을 측정하고, LTV·CAC·ROI 등 핵심 지표를 기반으로 성과를 평가하며 개선 방향을 도출해요.• 타겟팅 고도화를 위해 행동·가치 데이터를 기반으로 세그먼트를 정의하고, 각 세그먼트별 개인화된 소구점·발송 채널·타이밍을 제안해요.• 목표 달성을 위한 가설을 수립하고, 정성·정량 데이터를 활용한 실험으로 성과를 검증하며 지속적으로 개선하는 실험 사이클을 주도해요.• 핵심 지표 정의, 데이터 마트 설계, 대시보드화 등을 통해 조직이 스스로 인사이트를 도출할 수 있는 데이터 분석 환경을 만들어요.","• SQL과 Python을 활용해 대용량 데이터를 추출·정제·가공·분석할 수 있는 분 • 비즈니스 목적에 맞는 데이터 마트를 설계하고 구축한 경험이 있는 분• 모바일 서비스의 고객 행동 분석(Retention, Cohort, 세그먼트)과 마케팅 효율 지표(CAC, ROAS, ROI) 분석에 대한 이해가 있는 분• 문제정의 ＞ 가설수립 ＞ 실험설계(A/B 테스트) ＞ 성과측정 ＞ 개선으로 이어지는 데이터 분석 사이클을 직접 수행한 경험이 있는 분• 지원 시, 아래 사전질문에 대한 답변을 함께 제출해 주세요. 1. 페이타랩에서 데이터 분석가로 함께하고 싶은 이유에 대해 구체적으로 알려주세요! - 본인의 업무 스타일과 비교했을 때, 페이타랩 그로스해킹팀의 일하는 방식이 어떤 점에서 잘 맞는다고 느끼셨는지 궁금해요. *그로스해킹팀에서 일 잘하는 방법 ＞ https://blog.paytalab.com/hidden-rules-growth 2. 직접 문제를 정의하고 실험을 설계해 개선한 경험이 있다면 알려주세요. - 문제정의 ＞ 가설수립 ＞ 실험설계 ＞ 성과측정 ＞ 회고 및 개선의 과정을 서술해 주세요.","• 2년 이상의 마케팅 또는 프로덕트 데이터 분석 관련 경험이 있는 분• 빠르게 성장하는 IT 스타트업 환경, 특히 O2O·모바일 앱·식음료 도메인에서 근무한 경험이 있 분• BigQuery 등 클라우드 기반의 대용량 분석 환경에서 데이터 마트를 설계해보신 분• ML 기반 개인화 추천 모델 및 이탈 예측 모델을 구축한 경험이 있는 분• AI 툴을 활용한 리서치, 코드 생성, 리포팅 자동화 등 업무 효율을 개선한 경험이 있는 분• 조직 내 Data-Driven 문화 확산 및 데이터 리터러시 증대에 기여한 경험이 있는 분."
