기업명,주요업무,자격요건,우대사항
미소(miso),"[미소에서 하게 될 업무는요]• 비즈니스 성장을 위한 대시보드 구축 및 데이터 분석을 수행합니다. - 비즈니스 의사결정을 위한 대시보드 구축 - 데이터 가공, A/B 테스팅, 가설 검증, EDA 등 데이터 분석 - 매출 증대를 위한 사업 전략 및 데이터 분석• 공급과 수요 관리를 위해 알고리즘을 개선하고 가격 전략을 수립합니다. - 파트너 모집의 효율 증대를 위한 대시보드 구축 및 전략 제시 - 매칭 알고리즘 개발 및 프로세스 개선 - 파트너 활동을 장려하기 위한 추천 알고리즘 개발 - 수요와 공급 균형을 위한 가격 전략• 전략적 문제 해결 및 연구를 위한 지원을 제공합니다. - 문제 정의 및 해결 방안 도출 - ad-hoc 데이터 분석 지원 - Qualitative Research 수행.","[이런 분과 함께하고 싶습니다]• 데이터 주도적 업무 수행 및 결과 도출, 문제 해결이 가능하신 분• 복잡한 데이터를 단순하고 직관적인 형태로 표시하고 결과를 명확, 간결한 방식으로 제시할 수 있으신 분• 스스로 문제를 정의하고 해결책을 도출하며 결과에 따른 다음 액션까지 연결시킬 능력이 있으신 분• 개인이 아닌 팀 플레이에서의 시너지를 중시하고 협업을 지향하시는 분• 원활하고 프로페셔널 한 커뮤니케이션이 가능하신 분• 성과 지향적이신 분.","[이런 분을 우대합니다]• 데이터 시각화 도구(예: Tableau, PowerBI 등) 사용 경험이 있는 자• 학술적 또는 취미 프로젝트에서 실제 데이터 처리 및 분석 경험이 있으신 분• 기계 학습 및 인공 지능에 대한 기본적인 이해를 가지고 있는 자• 영어 회화 유창하신 분."
센드버드코리아,"• 데이터베이스의 유연한 확장성, 비용 효율화, 운영 자동화 등 도전적인 개선 과제를 도출하고 수행 합니다.• 비지니스 확장 및 신규 서비스 발굴에 따른 최적의 데이터 관리 시스템을 설계하고 모델을 검토 합니다.• 클라우드 환경에서 전세계에 존재하는 mission-critical 대용량 데이터베이스들을 운영 합니다.• 고객의 다양한 needs를 만족 하는 성능과 가용성을 확보할 수 있도록 데이터베이스 관점의 해결책을 제공합니다.","• DB 업무 자동화를 위한 AI Agent 개발 경험이 있으신 분• 대규모 DB schema change를 위한 오픈소스 툴을 개발해 보신 분• Python 또는 Go 언어를 활용한 개발 및 자동화 스크립트 작성에 능숙한 분• Terraform과 같은 도구를 활용하여 인프라를 코드로 관리하고 배포(IaC) 이해도가 높은 분• Kubernetes (K8s) 또는 AWS EKS와 같은 컨테이너 오케스트레이션 플랫폼에서 서비스를 운영 및 관리 경험이 많은 분• Prometheus, Grafana 등을 활용하여 대규모 시스템 모니터링 및 트러블슈팅에 친숙한 분• Search 엔진, Redis/Valkey, MongoDB 등 NoSQL 데이터베이스 사용 경험이 있는 분• 다양한 부서와 능동적으로 소통하고 협업할 수 있는 능숙한 커뮤니케이션 스킬을 갖춘 분.","• 기술 문서, 테스트 환경 등에 친숙하고, 비지니스 요구 사항 및 어플리케이션 로직에 대한 이해• AI API, 머신러닝 모델, LLM 등 AI 기술을 활용하여 업무를 최적화·자동화에 관심이 많으신 분• ProxySQL, Vitess 와 같은 데이터베이스 프록시 사용 경험• Django와 같은 ORM (Object-Relational Mapping) 프레임워크에 대한 이해 및 사용 경험• 심층적인 DB admin에 대한 높은 관심."
이지스헬스케어,-타사 소프트웨어 데이터 구조 분석-타사 프로그램 데이터 변환 개발 및 정합성 검증-업무 관련 자동화 도구 개발 및 기술지원 서비스.,"-기초 SQL 활용 능력: select, join, where 기본 쿼리 작성이 가능하신 분-데이터베이스 이해도: MSSQL/MySQL/PostgresSQL 중 택 1-기초적 프로그래밍 능력(C#)을 보유하신 분.",-유관업무 경험 보유하신 분-데이터 분석과 분석 중 오류를 개선하는 것에 흥미가 있으신 분-원활한 커뮤니케이션 역량을 보유하신 분.
삼양식품,• PLM 시스템 개발 및 운영 유지 보수• 사용자 요구 사항 관리• PLM 시스템 형상 관리 및 서버 관리• PLM 에러 대응 및 사용자 지원 업무• ERP Data 연동 관리.,"• 웹 기반 PLM 시스템 개발 경력 4년 이상• JAVA, JSP, Javascript, MQL, ORACLE DB 중 3개 이상 경험 (JAVA 필수)• PLM 업무 프로세스 및 ERP 인터페이스 구현 경험• 학사 이상, 공과 계열.","• 다쏘 PLM(ENOVIA), SAP ERP 경험이 있는 분• PLM 외 기타 IT 시스템의 운영 및 유지 보수 경험이 있는 분• 식품 제조업의 업무 프로세스 경험이 있는 분• 자기 주도적으로 업무를 분석하고 적극적으로 문제를 해결해본 경험이 있는 분."
트리플콤마(골드스푼),• 데이팅 앱 백엔드 서버 설계 및 개발• 백엔드 레거시 서비스 전환 및 업무 리딩• AWS 인프라 서비스 활용 및 운영• 서비스 성능 최적화를 위한 지속적인 개선.,• 개발 경력 7년 이상 또는 그에 준하는 실력 보유• Java 17 이상 / Spring Boot 환경에서의 개발 경험• 사용자 대상 서비스의 설계·개발·런칭·운영 경험 보유• RDB 설계·운영 및 SQL 활용 능력 (Aurora RDS MySQL 우대)• RESTful API 기반 서버 개발 경험.,"• 레거시 코드 이관 및 안정화 경험• 복잡한 쿼리 분석·최적화 경험• 고객 경험 중심의 사고와 원활한 커뮤니케이션 역량• JWT, WebSocket, Spring Security, WebFlux 활용 경험• DDD 아키텍처 설계 경험• 멀티스레딩 및 캐시를 이용한 성능 최적화 경험• 리눅스 환경 개발 경험• AWS 클라우드 환경에서의 개발/운영 경험• 리눅스 환경에서의 개발 경험."
그린카,"ㆍ카셰어링 데이터 분석, 추출 및 가공ㆍBI 도구를 활용한 시각화 및 분석 리포트 작성ㆍ문제정의/가설수립/검증/결과도출 및 제안 ㆍ유관 부서와의 커뮤니케이션 및 협업.","초대졸 이상 / 경력 5년 ~ ㆍ데이터 분석에 필요한 기본적인 통계지식을 보유하신 분ㆍ논리적인 사고 역량을 가지고 계신 분ㆍSQL query 능숙자 (mysql, redshift)ㆍ리눅스 사용 경험이 있으신 분ㆍBI 도구 사용 경험이 있으신 분.","ㆍ데이터 웨어하우스 , 데이터 마트 구축을 해보신 분ㆍ데이터 파이프라인 구성을 해보신 분ㆍAWS클라우드 사용 경험 해보신 분ㆍETL 도구 사용해보신 분 (Airflow)ㆍ머신러닝을 통한 모델 학습 해보신 분."
빗썸,"• IDC ORACLE, AWS AURORA, OCI ORACLE, IDC MYSQL 운영 및 관리 • 데이터베이스 분석, 설계, 구축• 데이터베이스 모니터링, 성능 최적화, 장애 대응• 데이터베이스 패치 및 업그레이드.","• 유관 경력 총 5년 이상 보유하신 분• ORACLE 데이터베이스 운영 3년 이상 경험을 보유하신 분• 대용량 DBMS 운영 경험을 보유하신 분• SQL 숙련도 중급, 튜닝 관련 중급 이상의 능력을 보유하신 분• 국내외 4년제 이상의 학위를 보유하신 분• 데이터베이스 아키텍처에 대한 이해도가 높으신 분• 동료들과 적극적으로 소통하고 협업할 수 있는 분• 긍정적인 성향을 보유하신 분.","• ORACLE 데이터베이스 운영 7년 이상 경험을 보유하신 분• AWS Aurora 데이터베이스 운영 5년 이상 경험을 보유하신 분• 대용량 데이터 추출을 위한 SQL 작성 및 튜닝이 가능하신 분• SQL 숙련도 상급, 튜닝 관련 상급 이상의 능력을 보유하신 분• EXADATA 운영 경력을 보유하신 분• 이기종간 DB Migration 경험이 있으신 분• OGG 구축 및 운영 경력을 보유하신 분• 차세대 프로젝트, 업그레이드 프로젝트 등을 주도적 또는 간접적으로 이끌었던 경험이 있으신 분• AURORA MYSQL SHADING 구축 및 운영 경험이 있으신 분• ORACLE 기반 SHARDING Architecture 경험이 있으신 분."
와따에이아이,"• 물류관리 BtoB 서비스 플랫폼의 백엔드 서비스 개발/운영• 해당 DB, API 설계/개발• 기존 Legacy 시스템 파악 및 통합 작업• AWS 서버 운영 및 모니터링＜ 개발환경 ＞• 개발 언어 및 기술 : java, springboot• 인프라 : AWS(EC2, S3, EBS …)• DBMS : PostgreSQL, MongoDB, Redis• 소스버전 관리 : Github• 협업 도구 : Jira, Confluence, Google Chat, Slack• 기타 : InteliJ, Postman, Datagrid, VS Code, 등.","• 경력 : JAVA Spring 경력 5년 이상 • 플랫폼(솔루션), 프로젝트의 각 단계와 결과물을 이해하시는 분• java, spring 또는 spring boot를 익숙하게 사용해 오신 분(5년 이상)• REST API개발 경험이 있으신 분• RDB 정규화 설계 및 구조 파악이 무난하신 분 • 적극적인 업무 수행 및 커뮤니케이션을 하실 수 있는 분• AWS 상에서의 개발/배포의 경험이 있으신 분• CI/CD 구축 및 운영이 가능하신 분(jenkins, github actions, kubernetes 중 하나 이상).","• 공학계열• 위치 기반 시스템 업무 경험• MongoDB 사용 경험이 있으신 분• 웹소켓 개발 경험이 있으신 분• Node.js, jsp 등 개발 경험• 데이터베이스 모니터링 및 튜닝 능력• AWS 환경에서의 DevOps 가능."
클라우드네트웍스,• 리눅스 기술지원 및 유지보수 (Redhat 등)• 기타 부서 유관업무 (서버 기술지원 및 유지보수 등).,• 경력 : 경력 1년 이상.,"• 리눅스 관련 공인 자격증 보유자• 전반적인 IT 인프라 및 솔루션에 대한 이해도가 높은자• Redhat, Oracle Linux 경험 보유자• 다양한 고객의 니즈를 잘 이해하고 응대할 수 있는 능력 보유• 새로운 기술 및 지식 습득에 대한 적극성과 열의가 있는 분."
야나두,"• 서비스 성장을 위한 앱 내 각종 데이터 분석 및 인사이트 제공• DAU, Retention(D1/D7/D30), ARPDAU, LTV, Funnel 분석• 앱 내 핵심 이벤트별 이탈율/전환율 분석• 실험 설계 지표 정의 결과 해석 인사이트 리포트• 사용자 Cohort 분석 및 행동 기반 세그먼트 정의• UA(유저 획득), CPA/CPS, eCPI, eROAS 등 퍼포먼스 지표 분석• PO, 기획, 마케팅팀 요청에 따른 ad-hoc 분석 및 데이터 시각화• 데이터 정합성 체크, ETL 모니터링, 로그 누락 검수 등.","• SQL을 활용한 데이터 추출/분석 실무 경험 2년 이상• NoSQL(ElasticSearch 등) 기반의 비정형 로그 데이터 분석 경험• Kibana, Dev Tools를 활용한 쿼리 작성 및 시각화 가능• 사용자 행동 로그(user_event 등)를 기준으로 DAU, Retention, Funnel 등 지표 도출 경험• Retention, Funnel, Cohort 분석 등 앱 서비스 핵심 지표 분석 경험• Tableau, Looker Studio, PowerBI 등의 BI 툴 활용 경험• 실험 설계 및 통계적 분석(A/B Test, T-test 등) 경험• 데이터 기반 문제 정의 및 원인 분석, 인사이트 도출 능력• PO/마케팅/개발 조직과의 협업 경험.","• B2C 앱 서비스 또는 리워드 기반 서비스 분석 경험• Firebase, Google Analytics, AppsFlyer 등 서드파티 데이터 연동 분석 경험• Python/Pandas 등을 통한 데이터 분석 자동화 경험• 광고 플랫폼 (Google AdMob, Unity Ads, Facebook Ads 등) 데이터 분석 경험• SQL 외 BigQuery, Redshift 등 데이터 웨어하우스 경험."
교보문고,"교보문고 DBA는 Database를 구성하고 안정적으로 운영합니다 1. PostgreSQL HA 구성 및 성능 관리2. 안정적인 DBMS 운영을 위한 모니터링 및 트러블슈팅3. DBMS 스키마 관리4. 주요 사용 기술 : PostgreSQL,MySQL.",• PostgreSQL 혹은 MySQL DBMS 운영 3년 이상 • DBMS의 실행계획 분석 후 SQL 최적화가 가능한 분 • 서비스에 적합한 DBMS 설계 또는 데이터모델링(ERD) 설계 경험이 있으신 분 • PostgreSQL 혹은 MySQL 구축 및 백업이 가능한 분 • DB 운영 표준 프로세스 정립 경험이 있으신 분 • 책임감이 높고 동료들과 소통하며 협업할 수 있는 분.,"• Redis, DocDB 운영 경험이 있으신 분 • 이기종 DBMS 이관 경험이 있으신 분."
