기업명,주요업무,자격요건,우대사항
딜리버리랩,"[백엔드 개발]• 오더히어로 웹앱(VUE + SPRING BOOT) - 고객 서비스• 오더히어로 ADMIN ERP(VUE + SPRING BOOT) - 고객 관리 서비스• 기타 다른 플랫폼(MFC, WMS, TMS)들을 만들고 관리.",• 웹앱으로 모바일 서비스를 운영 해본 경험이 있으신 분• API 속도를 높이기 위해 고민해보신 분• 데이터베이스의 대한 이해도가 높고 쿼리를 효율적으로 작성하시는 분• 인프라 설계 경험이 있으신 분.,"• SpringBoot로 능숙하게 작업 가능하신 분• RDB(Postgresql, mysql, maria, oracle)을 사용 가능하신 분• BackEnd 경력 5년 이상• AWS 경험이 있으신 분."
더즌(dozn),• 아파트 ERP 각 검침 사용량 처리 및 대외기간 연계 운영 담당• 아파트 ERP 기능 개선에 따른 기능 구현 및 개발• Windows 기반 ERP 시스템 개발 및 유지보수.,"• C# 기반 웹 어플리케이션 개발 경험 3년 이상(필수)• JavaScript, CSS 기본적인 이해 및 개발/운영 역량을 보유하신 분• Windows 운영체제 기반 Web 서비스 및 Application 개발/운영 역량을 보유하신 분• RDBMS에 대한 이해를 바탕으로 MS-SQL 개발 및 데이터 분석 역량을 보유하신 분.",• ERP 시스템에 대한 기본적인 이해도가 있으신 분• 외부 API와 데이터 연동 경험이 있으신 분• 꼼꼼하게 문제를 다루고 책임감 있게 일하신 분.
현대오토에버,"• 경영지원시스템 개발/운영• : 예산관리시스템, 방문자관리시스템 유지보수.",• IT업무(개발/운영/유지보수 업무) 3년 이상• WEB Application 개발역량(Java)• RDBMS(MS-SQL)를 활용한 데이터 분석 및 개발 역량.,"• CS Programing 개발 경험 (SAP ABAP, VBA)."
삼양식품,• PLM 시스템 개발 및 운영 유지 보수• 사용자 요구 사항 관리• PLM 시스템 형상 관리 및 서버 관리• PLM 에러 대응 및 사용자 지원 업무• ERP Data 연동 관리.,"• 웹 기반 PLM 시스템 개발 경력 4년 이상• JAVA, JSP, Javascript, MQL, ORACLE DB 중 3개 이상 경험 (JAVA 필수)• PLM 업무 프로세스 및 ERP 인터페이스 구현 경험• 학사 이상, 공과 계열.","• 다쏘 PLM(ENOVIA), SAP ERP 경험이 있는 분• PLM 외 기타 IT 시스템의 운영 및 유지 보수 경험이 있는 분• 식품 제조업의 업무 프로세스 경험이 있는 분• 자기 주도적으로 업무를 분석하고 적극적으로 문제를 해결해본 경험이 있는 분."
여니으니,• Workflow및 외부서비스와의 연결• AI System과의 연동 • 물류관리 자동 처리시스템 제작• Postgresql을 사용한 REST API 제작• 현재 주 백엔드 언어는 Go이며 부분적으로 Python 또는 Typescript 사용.,"• HTTP 프로토콜에 대한 깊은 이해: HTTP의 동작 원리, 요청/응답 헤더, 상태 코드 등에 대한 전반적인 이해가 있으신 분• RESTful API 설계 및 개발 경험: RESTful 원칙에 따라 API를 설계하고 구현한 경험이 있으신 분• JSON, XML 등 데이터 포맷 처리 능력: 다양한 데이터 포맷을 활용하여 서버와 클라이언트 간의 데이터 교환이 가능하신 분• API 인증 및 보안: OAuth, JWT 등 인증 방식에 대한 이해와 보안 요소를 고려한 API 개발 경험• API 문서화 및 테스트 도구 활용: Swagger(OpenAPI), Postman 등 도구를 사용하여 API를 문서화하고 테스트한 경험• 에러 처리 및 디버깅 능력: HTTP 통신 과정에서 발생하는 에러를 분석하고 해결할 수 있는 능력.","• 클라우드 환경에서의 개발 경험: AWS, Azure, GCP 등에서 API를 개발하고 배포한 경험• 마이크로서비스 아키텍처 이해: 대규모 시스템에서의 API 설계 및 관리 경험• 고성능 및 확장성 있는 API 개발 경험: 트래픽이 많은 환경에서의 최적화 경험• Golang 경험이 필수는 아니나 우대함• Library 및 Core algorithm 제작경험 우대."
올리브인터내셔널,"[담당하시게 될 업무를 소개합니다]• 월마감 및 결산 지원• 월매출 확정 및 세금계산서 발행 등• 세무신고 지원(부가세, 원천세 등)• 그외 지원 업무(자금 및 법인카드 관련 업무).","[이런 분과 함께 성장하고 싶습니다]• 신입/경력 : 재무회계 전공, 혹은 재무회계 및 세무업무 2~3년차• 책임감 있고 성실한 분.",[이런 분이면 더욱 좋습니다]• SNS 및 인플루언서 관련 B2C 업무 경험있으신 분• 기본적 재무회계 및 자금관리에 대한 이해가 있으신 분• 원활한 엑셀 활용 가능하신 분• ERP 실무 경험이 있으신 분.
쏘카(SOCAR),[담당하시게 될 업무를 소개합니다]• SAP ​S/4 ​HANA 시스템 ​SCM 모듈의 ​운영 ​및 유지보수• SAP 관련 ​데이터 연계/확장 ​및 통합 시스템 관리• 사용자 요청 (ITSM / Helpdesk)에 따른 시스템 설정 변경 및 이슈 대응• 비즈니스 프로세스 진단 및 개선 주도• SAP 시스템 최적화 및 IT 고도화 수행.,[이러한 분과 함께 성장하고 싶습니다]• SAP SD / MM 시스템 구축/관리 경력을 1년 이상 3년 이하 보유한 분• SAP SCM 프로세스 이해 및 컨설팅 경험을 보유한 분• ABAP을 통한 SAP 개발 구축 및 유지보수 경험이 있는 분.,"[이러한 분이면 더욱 좋습니다]• SAP SD/MM Module / ABAP Programming 자격증을 보유한 분• SAP S/4 HANA 운영 또는 프로젝트 참여 경험이 있는 분• Platform Business 분야 경험 또는 공유경제/모빌리티 사업에 대한 이해가 있는 분[동료의 한마디]• ""꼼꼼하게, 효율적으로, 근데 또 재밌게. 시스템이든 프로세스든 '더 나아지게 만드는 일'에 흥미 있다면, 우리랑 잘 맞을지도 몰라요 :) 같이 해봐요!""• 선수들과 함께 SAP 커리어 패스를 시작해보세요."
이지케어텍,"• 클라우드 기반 병원정보시스템(Edge&Next) 원무(접수·수납·진료비계산 등) 모듈 개발• EMR·OCS, 외부시스템 등 타 모듈 간 연계 API 및 인터페이스 개발• 운영 병원 이슈 대응 및 신규 기능 개발.","• 병원정보시스템(HIS) 원무/심사/보험 청구 관련 개발 경험• 자바스크립트, C# 기반 개발 경험• MySQL 또는 Oracle등 관계형 DB 설계 및 SQL 활용 능력.","• OCS, EMR 등 병원정보시스템(HIS) 프로젝트 참여 경험자• 원무 진료비 계산 능통자."
현대오토에버,• ERP 시스템의 운영 및 개발 (S/4 HANA) : 현업부서와의 원할한 Communication 수행 : 사용자 비즈니스 요건 기반 IT설계 수행 및 범위 산정 : Non-SAP 시스템과의 Interface 개발 관리.,• SAP S4HANA 및 ABAP 개발 지식 보유• SAP FI 경험 및 지식 보유• 영업/구매/재경 업무 프로세스 이해.,• SAP ABAP 개발 경험• SAP ABAP 및 모듈 자격증 보유• EAI/API/솔루션 기반 SAP ERP 인터페이스 연계 경험.
현대오토에버,"• ERP 솔루션 활용 진단/컨설팅/구축/운영 효율화 서비스 및 상품 기획• 상품 및 서비스 홍보 활동(Sales kit 구성, 대고객 설명회 및 로드쇼 등).","• SAP 구축 프로젝트 및 시스템 운영 경험• 서비스 기획, 솔루션 개발 등 상품 개발 경험.","• 기획, 영업 등 현업 경험• 컴퓨터, SW 등 IT관련 전공자• Low-code / No-code 기반 솔루션 활용 경험."
