기업명,주요업무,자격요건,우대사항
미리디,"• 누구나 쉽게 디자인 할 수 있는 편집 환경을 제공 • 직관적이고 사용하기 쉬운 인터페이스를 제공하여, 사용자가 복잡한 편집 기능을 쉽게 활용할 수 있도록 합니다.• 유연하고 재사용 가능한 프레임워크 개발 • 기능을 넘어 구조를 고민합니다. 도메인 경계 정의, 상태/데이터 흐름 설계, 점진적 리팩터링으로 변화에 강한 코드베이스를 만듭니다.• 성능 최적화 및 유지보수 • 입력 지연·롱태스크·불필요한 리렌더를 줄여 체감 반응성을 개선합니다. 필드 지표(LCP/INP 등)로 측정하고 결과로 대화합니다.• 팀 개발 문화 및 코드 품질 향상 • 작은 단위의 PR, 설계/코드 리뷰, 테스트·자동화로 안정적 속도를 유지합니다. • 문제를 빠르게 쪼개고 가설을 세워 실험하며, 배포 전후 변화량을 추적합니다.","• 한 가지 이상 프론트엔드 프레임워크(예: React/Vue/Svelte 등)로 사용자 기능을 끝까지 구현해 본 경험이 있으신 분• 설계의 언어에 익숙함: 경계/책임 분리, 의존성 다루기, 테스트 가능한 구조에 대한 관심이 있으신 분• 측정 -＞ 가설 -＞ 개선의 문제해결 방식에 익숙하신 분• 함께 일하기 좋은 습관을 갖고 계신 분 (작은 PR, 명확한 커뮤니케이션, 리뷰와 기록 등)• 그래픽·2D 스택 전부를 알고 있을 필요는 없습니다. 빠르게 배우고 성장하려는 태도를 더 중요하게 생각합니다.","• 대규모 상호작용/렌더링 최적화(가상화, 배치 업데이트, 롱태스크 분할 등) 경험이 있으신 분• MVC/MVP/MVVM 등 패턴 기반 설계와 테스트 경험이 있으신 분• 해당 경험이 없어도 괜찮습니다. 입사 후 함께 익히며 성장할 수 있습니다.| 미리디에서 활용하는 기술 스택 미리캔버스 웹 에디터 팀은 최신 기술을 적극적으로 도입하며, 팀원들과 함께 최적의 스택을 고민하고 적용합니다.• 코어: React, Typescript, Next.js• 상태관리: jotai, React-Query• 스타일링: styled-components• 빌드: Turborepo, Vite, Webpack, Rollup• CI/CD: GitHub Actions."
아이코닉무브먼트,"IconicMovement 개발팀은 디지털 사이니지 운영 및 영상 송출을 위한 자체 CMS(콘텐츠 관리 시스템) 솔루션인 iconicHADA를 개발 및 운영하고 있습니다. iconicHADA는 웹 애플리케이션 기반의 강력한 미디어 운영 프로그램으로, 현재 다수의 파트너사 사이트에 성공적으로 적용되어 안정적인 서비스를 제공하고 있습니다. 저희는 iconicHADA의 기술력을 한층 더 높이고, 미디어 서비스를 안정적으로 이끌어갈 개발 팀장님을 찾고 있습니다.• 미디어 서버 아키텍처 설계 및 개발 총괄 - 대용량 미디어 데이터의 안정적인 처리를 위한 미디어 서버 아키텍처를 설계하고 개발을 리딩합니다. - 프로젝션 매핑과 같은 특수 미디어 기능 구현을 위한 API 설계를 주도하고 기술을 검토합니다.• 백엔드 시스템 개발 리딩 및 표준화 - 다양한 클라이언트 환경에 최적화된 RESTful API 아키텍처를 설계하고 표준 가이드라인을 수립합니다. - 실시간 상호작용을 위한 웹소켓(WebSocket) 기반 통신 프로토콜 설계를 주도하고 구현을 리드합니다.• 개발팀 리드 및 관리 - 개발팀의 목표 설정, 성과 관리, 코드 리뷰 및 멘토링을 통해 팀원의 성장을 지원합니다. - 개발 일정 및 리소스를 관리하며, 유관 부서와의 협업을 조율합니다.• 시스템 아키텍처 설계 및 운영 - 콘텐츠 운영 및 관리를 위한 웹 기반 관리자 시스템의 백엔드 아키텍처를 설계하고 개발을 관리합니다. - 인증, 권한, 배포, 모니터링 등 서비스 운영 핵심 기능 API 개발을 총괄하고 시스템을 고도화합니다. - 서비스 안정성 및 확장성을 고려한 시스템 설계를 주도합니다.","• Spring Boot 기반 웹 서비스 개발 및 운영 경험 8년 이상이신 분• 소규모(3~5인) 이상의 개발 조직 또는 팀을 리드해 본 경험이 있으신 분• 대용량 트래픽을 고려한 RESTful API 설계, 문서화, 운영 경험이 풍부하신 분• ORM 활용 및 효율적인 쿼리 작성, 데이터베이스 성능 최적화에 대한 탁월한 역량을 보유하신 분• 자료구조, 알고리즘, 네트워크 등 컴퓨터 과학의 탄탄한 기본 지식을 갖추신 분• 다양한 클라이언트 대상 API 설계 및 연동 프로젝트 리딩 경험이 있으신 분• CI/CD 파이프라인 구축, 운영 및 개발 문화 개선 경험이 있으신 분.","• Unity 혹은 Unreal Engine에 대한 개발 경험이 있으신 분• 온프레미스(On-premise) 환경에서 서비스 구축 및 운영(Docker, Kubernetes 등) 경험이 있으신 분• WebRTC, HLS, MPEG-DASH 등 미디어 스트리밍 기술에 대한 깊은 이해나 경험이 있으신 분• 미디어아트, 인터랙티브 전시 등 새로운 형태의 콘텐츠에 대한 깊은 관심과 열정을 가지신 분• 팀의 성과를 극대화하고 시너지를 이끌어내는 탁월한 커뮤니케이션 및 리더십을 보유하신 분• 새로운 기술을 학습하고 팀에 전파하며 성장을 이끄는 것을 즐기시는 분."
스튜디오씨드코리아(프로토파이),"[포지션 소개]Studio XID Korea의 제품에서 사용되는 그래픽 기반 엔진과 모바일 플레이어(Player) 개발을 담당합니다.내부 엔진과 렌더링 모듈을 설계·구현하며, 모바일(iOS/Android) 환경에서 최적화된 그래픽 품질을 제공하기 위해 협업합니다. 또한, Kotlin 기반 엔진 및 Kotlin/JS 기반 프리뷰 개발에도 참여하게 됩니다.[이런 일을 합니다]• ProtoPie Player의 네이티브 기능 개발 및 최적화• 모바일(iOS/Android) 렌더링 모듈 설계 및 구현• 내부 그래픽 엔진 설계, 성능 분석 및 최적화• UI/UX 팀과 협업하여 시각적 요소 구현 및 개선• Kotlin 기반 내부 엔진 및 Preview 기능 개발[기술 스택]• iOS: Swift• Android: Kotlin• 공통: Kotlin Multi Platform, Web/HTML.","• 3년 이상의 서비스/제품 개발 경험• Web과 iOS 또는 Android 중 한 플랫폼에 대한 깊이 있는 경험• 모바일 또는 웹 화면 렌더링 프로세스 이해• 그래픽스 라이브러리/툴 개발에 관심이 있으신 분• 자동화된 빌드, 테스트, 배포 시스템 경험 및 Git 기반 코드 리뷰 경험• 문제 해결 능력 및 팀 협업 능력• 마인드: 현재 기술에 대한 완벽한 이해가 없어도 배워서 내 것으로 만들 수 있다는 자신감 / 본인의 업무를 투명하게 공유하고 적극적으로 커뮤니케이션하는 성향 / 공통 목표 달성을 위해 필요한 일을 스스로 찾아 실행하는 자세.","• Drawable Package, Core Graphics, HTML Canvas 등 그래픽 렌더링 경험• WebGL, OpenGL, Three.js, Babylon.js 등 그래픽스 라이브러리 경험• ReactiveX (Swift Combine, Kotlin Coroutine, RxSwift, RxJava 등)에 대한 이해• KMM/KMP (Kotlin Multi Platform) 경험• 일상 회화 수준의 영어 능력 (레벨을 이력서에 구체적으로 기재)."
잉클,• 3차원 설비 모니터링 화면 개발• 설비 3D모델 객체와 실시간 수집된 설비 데이터 매핑 및 시각화• 설비와 소재 변화에 대한 실시간 애니메이션 • 가상 공장 디지털 트윈 개발.,"• Unity와 C#에 대한 이해 및 활용 경험• 코드 구조화 및 아키텍처에 대한 이해가 있으신 분• 그래픽스 파이프 라인에 대한 이해가 있으신 분• Unity UI (UGUI, UI Toolkit) 개발 경험이 있으신 분• Unity Batch 및 최적화 관련 이해가 있으신 분 • REST API, MQTT 사용 경험이 있으신 분 • 선형대수를 잘 아시는 분• 원활한 커뮤니케이션 능력과 긍정적인 사고를 가지신 분.","• 제품 개발을 이끌거나, 아이디어를 제품화 해본 경험이 있으신 분• 요구사항에 대한 화면 기획 경험이 있으신 분• Unity Shader 작성 경험이 있으신 분 • Unity WebGL 빌드 및 최적화 경험이 있으신 분 • Javascript 언어에 대한 지식이 있으신 분."
올커넥,덴탈 소프트웨어 개발자• 덴탈 영상뷰어• 덴탈 캐드 디자이너• 2D/3D 응용프로그램 개발 및 유지보수플랫폼 통합• 주문 웹 포탈 통합 인테그레이션.,"• 컴퓨터 공학 및 관련 전공• 의료영상처리, 영상처리, DICOM, PACS, 3D그래픽스• 응용프로그램 개발 능력• Python, C/C++.","• VTK, OpenCV 경험자• CGAL 및 3D Graphics 경험자• Qt, PySide2 프레임워크 경험자• 다양한 협업 및 커뮤니케이션."
네이션에이,"• AI 모델 개발• 텍스트/비디오 기반 3D Motion 생성 모델 연구 및 구현예: Video-to-Motion, Text-to-Motion, In-Between, 3D Modeling 등• 2D 비디오&이미지 생성 모델 연구 및 구현• Auto Rigging, Retargeting 모션 처리 기술 도입• 신체 모션, 얼굴 표정, 행동 AI를 포함한 AI 기반 캐릭터 애니메이션 모델 개발• 최신 생성모델 구조 적용 및 실험• 논문 리뷰 및 SOTA 벤치마크 분석, 연구 아이디어 실험 및 적용 2. 시스템 설계 및 툴 통합• 게임 엔진(Unity/Blender/Unreal) 등 콘텐츠 툴과 연동 가능한 모션 플러그인/라이브러리 설계• AI 모델 inference API 및 모션 툴킷 통합 배포• 연구와 제품을 긴밀하게 연결하여 연구 결과를 빠르게 실제 서비스로 확장합니다.","• 컴퓨터공학, 데이터과학, 통계학 등 관련 전공 석사 이상• 머신러닝 혹은 AI 관련 분야에서 3년 이상의 경험• 3D Geometry 이해 (3D Motion, 3D 좌표계, 3D 캐릭터 스켈레톤, 메시 등)• 생성모델(Diffusion, VAE, Transformer 등) 경험• PyTorch 모델 설계·학습 및 커스텀 레이어/로스 구현 경험• 연구 코드 기반으로 제품(Production) 환경 추론 파이프라인 구현 및 비용·지연시간 최적화 경험.","• Text-to-Motion, Video-to-Motion 등 멀티모달 모션 생성 분야 경험• 게임 엔진(Unity/Blender/Unreal)과 연동하여 AI-Generated Animation 기능 통합• 캐릭터 리깅, 애니메이션 리타게팅 자동화 경험• GCP, AWS, Docker, ONNX 등 모델 서빙/배포 경험• 웹 기반 인터랙티브 툴 또는 모션 뷰어 개발 경험• Retargeting, Auto Rigging 등 리깅 파이프라인 이해• 물리 기반 애니메이션 또는 모션 생성 모델링 경험• 그래픽/시뮬레이션 오픈소스 프로젝트 기여 경험."
인터엑스,• Unity 3D 개발• 디지털 트윈 플랫폼 개발 • Unity 엔진을 이용한 그래픽 시뮬레이션 프로그램 개발.,"• 유관 경력 5년 이상의 C# 개발 경험 또는 이에 준하는 역량과 이해도를 보유하신 분 • C#, 알고리즘 이해, 네트워크 프로그래밍 경험이 있으신 분 • 자료구조, 알고리즘 및 객체지향 개발에 대한 지식과 경험이 있으신 분 • Unity 엔진을 이용한 디지털 트윈 구현 경험이 있으신 분 • TCP, UDP 를 이용한 클라이언트 서버 구조의 패킷 통신에 대한 이해도를 보유하신 분 • 6개월 이상의 장기 프로젝트 경험과 협업에 대한 이해가 있으신 분.","• 컴퓨터공학, 기계공학 전공하신 분• 컴퓨터 그래픽스에 대한 이해도를 보유하신 분 • 디지털 트윈 개념과 응용 사례 경험이 있으신 분 • 클라이언트 서버 구조의 네트워크 (TCP,UDP) 연동 경험이 있으신 분 • 개발 설계 문서 작성이 가능하신 분 • 작업 내용 및 가이드 문서화 할 수 있는 능력을 보유하신 분 • 자발적이고 능동적인 제안과 개발 진행이 가능하신 분."
주밍코리아,"• 3D 시뮬레이션 기반 실시간 모니터링 엔진 개발• 경로 탐색 및 최적화 알고리즘 구현 (Dijkstra, 충돌 회피 로직 등)• 대규모 시뮬레이션 성능 최적화• 산업 현장 데이터와 연동된 실시간 KPI/알람/로그 분석 기능 개발.","• 3D 시뮬레이션, 디지털트윈, 게임 엔진, 로보틱스, 자율주행 등 관련 분야 개발 경험• 경로 알고리즘, 물리 엔진, 시뮬레이션 엔진 경험.","• 하드웨어 장비, 물류, 디지털트윈, VR 등 관련 프로젝트 센서, 실시간 데이터 시각화 경험• 성능 최적화와 대규모 데이터 시각화 경험• Three.js 등 WebGL 기반 3D 시각화 및 인터랙티브 UI 개발 경• 실시간 모니터링/제어 시스템 개발 경험※ 주밍코리아는 모든 분야의 개발 경험을 존중하고 인정합니다."
씨드로닉스,"• 영상처리 알고리즘 개발 : 이미지 왜곡 보정, 영상 안정화(자세 보정) 알고리즘 개발 : 3D Geometry 기반 이미지 변환 및 정합 알고리즘 개발 : 영상기반 객체 추출과 추적, 관리 알고리즘 개발· 통합 시스템 SW 개발 및 운영 : 인공지능 연산, 스트리밍, 통신 등 코드 통합 및 어플리케이션 개발 : 라이브러리, 드라이버 등 호환성 관리.",• 3년 이상의 Computer Vision 관련 개발 경력· C/C++을 사용한 제품화 개발 경험· OpenCV 및 3D 비전 라이브러리 개발 경험· 3D Geometry 기반 비전 알고리즘 개발 경험.,(우대) 리눅스 기반의 SW개발 경험(우대) 3D 영상 서비스 개발 경험(우대) 광학계 분석 경험(우대) 영상 외 센서융합 SW개발 경험(우대) 비즈니스 영어 커뮤니케이션 가능자.
네트로피,"• 새로운 연구 아이디어를 생성하고 제안하며, 이를 평가하여 AI 기술의 지속적인 개선에 기여합니다.• 비전 데이터를 활용하여 3D/4D Reconsturction, Neural Rendering 및 생성형 AI 기반의 핵심 AI 모델을 개발합니다.• 모델 학습 및 평가를 지원하기 위해 대규모 데이터셋의 전처리 및 관리를 수행합니다.• 개발된 AI 모델을 제품에 통합하고 원활하게 동작할 수 있도록 최적화 합니다.","• 선형대수, 미적분, 통계를 포함한 수학적 기초가 탄탄한 분.• 딥러닝 관련 문헌에 대한 깊은 이해를 가지고 새로운 기술을 습득하실 수 있는 분.• 새롭게 습득한 지식에서 연구 아이디어를 창출하고 평가할 수 있는 능력을 가진 분.• Computer Vision, Depth Estimation, 3D Reconstruction, Neural Rendering 관련 실무 경험을 가진 분.• Python 및/또는 C++와 같은 AI 연구에서 일반적으로 사용되는 프로그래밍 언어의 사용 경험이 풍부한 분.• 영어로 업무 관련한 기본적인 의사소통이 가능하신 분.","• CVPR, SIGGRAPH, ICCV, NeurIPS, ECCV 등 최상위 인공지능 또는 컴퓨터 비전 학회에서 연구를 발표한 경험이 있는 분.• 소프트웨어 엔지니어링 기술이 뛰어나 프로토타입 제작 등 제품 개발 능력이 출중한 분."
