기업명,주요업무,자격요건,우대사항
커넥트웨이브,"[다나와 개발 본부 조직을 소개해요]• 커넥트 웨이브 그룹사를 위한 Backend system을 개발해요.• 그룹사에서 필요한 데이터 서빙, API서빙, Solution 개발등의 업무를 담당해요.• 분산 데이터 베이스 및 Vector DB 등 다양한 데이터 소스를 활용한 응용 프로그램을 개발해요.[합류 시 함께 하게 될 업무에요]• 상품 데이터 카테고리 분류/매핑 서비스를 개발해요.• 가격 비교 상품 데이터 생성/운영 서비스를 개발해요.• MSA 환경에서 비즈니스 요구사항 및 화면 구성에 최적화된 백엔드 설계를 담당해요.• 대용량의 데이터와 트래픽을 안정적이고 효과적으로 처리하기 위한 플랫폼을 설계 및 구현을 담당해요.","• Python 및 Django, Flask, FastAPI framework 기반의 어플리케이션 개발 경험이 있으신 분• Java/Kotlin/Spring/JPA 기반의 어플리케이션 개발 경험이 있으신 분• RESTful API의 설계 규칙을 따르며 개발한 경험이 있으신 분• Git을 이용해 소프트웨어 버전 관리를 하고 PR, 코드 리뷰 등의 과정에 익숙하신 분• 백엔드 애플리케이션 및 배치 프로세스 개발 경험이 있으신 분• 긍정적이며 자기주도적 성장이 가능하신 분.","• Celery, RabbitMQ, Kafka 등 분산/비동기 처리에 활용되는 기술에 대한 이해와 경험이 있으신 분• NoSQL(Redis, MongoDB 등)를 사용한 서비스 개발 경험이 있으신 분• ElasticSearch 서비스 적용 경험이 있으신 분• CI/CD 도구를 이용해 빌드/배포한 경험이 있으신 분• MSA와 컨테이너화 기술(docker, k8s 등)에 대한 이해도가 있으신 분• 신기술에 대한 지속적인 학습 및 적용이 가능하신 분."
씨제이올리브영(CJ올리브영),"[유닛 소개]코어플랫폼유닛 - ①카탈로그서비스 / ②회원서비스 / ③인벤토리서비스 ""고효율 플랫폼""의 핵심 엔진을 개발하고 최적화합니다.올리브영 코어플랫폼유닛은 이커머스 옴니채널 비즈니스의 핵심 자산인 상품, 회원, 프로모션, 물류/재고 데이터를 통합 관리하며, 플랫폼의 효율성과 확장성을 책임지는 중요한 역할을 수행합니다. 깊이 있는 기술적 전문성과 풍부한 경험을 바탕으로, 안정적이고 성능 뛰어난 Back-End 시스템을 구축하고 운영하며, 미래 성장을 위한 혁신적인 기술 도입을 주도할 숙련된 Back-End 엔지니어를 찾습니다. 핵심 비즈니스 로직을 효율적으로 설계하고 구현하여 올리브영의 지속적인 성장에 기여할 전문가를 기다립니다.• 핵심 비즈니스 로직 (상품 관리, 회원 관리, 프로모션, 캠페인, 재고 관리 등) 개발 및 운영• Java 또는 Kotlin 기반의 Spring Framework를 활용한 애플리케이션 개발• JPA, Hibernate 등 ORM을 이용한 효율적인 데이터 모델링 및 관리• 대규모 트래픽 및 데이터 처리를 위한 시스템 설계 및 최적화• 시스템의 안정성, 확장성, 성능 향상을 위한 지속적인 기술 검토 및 개선.","• 4년 이상의 Application 개발 경력 보유• Java 또는 Kotlin 중에 숙련된 개발 경험 보유• Spring Framework 기반의 Application 개발 경험• JPA, Hibernate 등 ORM 사용과 도메인 모델링 경험.",• 새로운 기술을 익히고 도메인 지식을 쌓는 것을 좋아하시는 분• e-commerce 분야에서 개발경험이 있으신 분• 틀에서 벗어난 사고를 하고 기존 지식에 도전하기 좋아하시는 분• 어떤 문제든 끝까지 파고들어 해결하시는 분.
드림어스컴퍼니,ㆍ이용권 & 결제 시스템: FLO 음악 감상을 위한 다양한 구독 상품 및 이용권 판매 시스템을 개발 합니다.ㆍ정산 시스템: 음원 이용 데이터 기반 저작권자 및 유통사 대상 사용료 정산 시스템을 개발 합니다. ㆍ데이터 파이프라인: 대용량 콘텐츠 이용 데이터 처리 및 분석을 위한 배치 시스템을 구축 합니다.,"ㆍSpring Boot 및 Java/Kotlin 개발 경력 2년 이상 보유하신 분ㆍWeb 서비스 백엔드 개발 및 운영 경험을 보유하신 분ㆍRDBMS(MySQL, PostgreSQL 등) 활용 및 ORM(JPA 등) 사용 경험이 있으신 분ㆍ요구사항을 기반으로 한 데이터 모델링 및 API 설계·개발 경험이 있으신 분.","ㆍ결제, 정산, 또는 콘텐츠 플랫폼 시스템 개발 경험이 있으신 분ㆍ대용량 데이터 기반 데이터 파이프라인 및 배치 작업 경험이 있으신 분ㆍ마이크로서비스 설계 및 구현 경험이 있으신 분ㆍ클라우드 환경에서 백엔드 개발 및 운영 경험이 있으신 분ㆍAI 기반 개발 도구(Claude, Cursor, GitHub Copilot 등) 활용 경험이 있으신 분."
피에프씨테크놀로지스,"- 안정적이고 확장 가능한 데이터 파이프라인을 설계, 개발 및 운영해요.- 비즈니스 요구사항에 맞는 데이터 마트를 구축하고 고도화해요.- 사내 다양한 부서의 데이터 추출 및 분석을 지원해요.- 데이터 처리 과정에서 발생하는 이슈를 트래킹하고 해결하며, 서비스 안정성을 확보해요.- 반복적인 데이터 관련 업무를 자동화하거나 시스템을 개선해요.","- 경력 상관없이, SQL을 활용한 데이터 처리 및 분석 역량이 있으신 분- Python 등 하나 이상의 프로그래밍 언어에 대한 이해도가 있으신 분- 데이터 엔지니어링 및 데이터 모델링에 대한 기본적인 지식을 지니신 분- 동료와 함께 문제를 해결해나가는 적극적인 커뮤니케이션 역량이 있으신 분.","- 안정적인 서비스 운영에 대한 책임감이 강하신 분- 동료와의 협업과 소통을 중요하게 생각하시는 분- 주어진 문제를 능동적으로 해결하고, 선제적으로 시스템을 개선하려는 의지가 있으신 분- PFCT와 함께 데이터 전문가로 성장하고 싶으신 분- 클라우드 환경(AWS, GCP 등)에서의 데이터 처리 경험이 있으신 분- Airflow, Spark 등 데이터 관련 프레임워크 사용 경험이 있으신 분- 대용량 데이터 처리 및 분산 시스템에 대한 이해도가 있으신 분- 핀테크 또는 금융 도메인에 대한 높은 관심을 지니신 분- 새로운 기술을 배우고 적용하는 데 흥미가 있으신 분."
미리디,"""미리디에서 이런 일들을 함께 하고 싶어요""Agentic Workflow 구축 및 개선• Reflection / Planning / Tool Use / Multi-Agent 패턴을 기반으로 Task를 자동화합니다.• 모델의 reasoning, validation, self-improvement 루프를 설계합니다.• Pretrained 모델의 성능 한계를 극복하기 위한 Agentic Pipeline을 설계합니다.Design Domain 자체 모델 개발• 유관 스쿼드의 domain-specific 모델을 설계하고 학습합니다.• SFT / RLHF 기반으로 모델 성능을 고도화하고, 학습 및 추론 비용을 최적화합니다.• 저비용 환경에서도 효율적으로 작동하는 lightweight 모델을 탐색합니다.최신 기술 연구• 주요 논문을 구현하고 검증하여 기술을 벤치마킹합니다.• 모델 성능을 지속적으로 개선하고, 실제 서비스 적용 결과를 분석합니다.","""이런 분이라면 목표 달성에 확신을 얻을 것 같아요""• 1년 이상의 머신러닝 또는 생성형 AI 관련 경력이 있으신 분 • Domain-specific LMM LoRA 학습/평가 경험 또는 Agentic Workflow 설계 경험이 있으신 분 • Prompt Engineering 및 Fine-tuning 실무 경험이 있으신 분 • PyTorch, TensorFlow, Hugging Face 등 딥러닝 프레임워크 활용 능력이 있으신 분 • 모델 성능을 실제 서비스에 적용하고 개선한 경험이 있으신 분 • 디자인, 크리에이티브, UX 도메인에 대한 관심이 있으신 분.","""이런 분이라면 장기적으로 서로에게 더 긍정적일 것 같아요!""• 컴퓨터공학, 머신러닝 관련 석·박사 학위 또는 이에 준하는 경험이 있으신 분 • ML 관련 Top-tier 학회 및 저널 논문 게재 경험이 있으신 분 • Kaggle, AI Hackathon 등 AI 관련 챌린지 수상 경험이 있으신 분 • 디자인 생성 모델(Layout, Color, Font adaptation 등) 연구·개발 경험이 있으신 분 • LMM 기반 생성형 파이프라인 구축 및 모델 경량화 경험이 있으신 분 • Multi-Agent System 설계 및 평가 경험이 있으신 분 • 실시간 서비스 모델 개발 경험이 있으신 분."
씨디알아이(CDRI),"• 화장품 TIC 산업의 요구사항에 맞추어 AI 프로덕트 개발 (Computer Vision, NLP)• 사내 Document Layout Analysis 모델 성능 지속적 개선 및 배포 파이프라인 관리• 화장품 인증 프로세스 자동화 멀티에이전트 시스템, 검색 시스템 개발• 사내 데이터, 글로벌 규제 빅데이터 ETL 파이프라인 구축 및 운영• 논문 및 특허 작성.","• 컴퓨터 공학, 통계학 등 머신 러닝 관련 분야를 전공하신 분• 딥러닝 프레임워크 활용에 능숙하신 분(Pytorch, Tensorflow 등)• Google ADK와 같은 프레임워크를 사용해 Agentic AI를 개발한 경험이 있는 분• LLM/AI 프로젝트 경험 (RAG, Context Engineering, MSA API 설계)• 새로운 기술(바이브 코딩, MAS)에 적극적이고 능동적인 분• 약속한 것을 지키고, 책임감 있게 일하는 태도.","• 인공지능, 컴퓨터 공학 분야 석사 이상 학위 보유• 머신러닝/딥러닝 분야 5년 이상 현업 경력• 인공지능 분야 국내외 논문 출판 경험• AWS ECS, Airflow, Redis, Celery를 활용한 클라우드 추론 인프라 구축 경험."
우아한형제들(배달의민족),"• 전사 BI 통합 개발 및 운영 관리• 서비스/분석/리포팅을 포괄하는 DW·DM 설계 및 개발• 비즈니스 요구 사항을 기반으로 핵심 지표(KPI) 정의• 정의된 지표 기반의 데이터 모델링 및 시각화 대시보드 개발 (Tableau, Superset 등)• BI 성능 최적화 및 사내 셀프 서비스 BI 환경 운영 지원.","• End-to-End 경험: 기획개발운영까지의 전 과정 독립 수행 경험을 보유한 분• SQL 기반 정합성 검토 및 지표 추출 역량을 보유한 분• Tableau, Superset 등 시각화 툴 실무 경험을 보유한 분• 뛰어난 커뮤니케이션 및 문서화/운영 역량을 보유한 분.","• 단독 또는 주요 도메인 과제 리딩 경험을 보유한 분• 서비스 기획/PM과 분석 업무 병행 경험을 보유한 분• 운영 체계 안정화 경험을 보유한 분 (가이드, 요청 흐름 정의, 산출물 기준 수립 등)[개발환경]• 인프라 : AWS EMR, Bigquery• 데이터파이프라인 : aiflow, Spark, Trino, Python, SQL• 시각화 : Tableau, Superset."
미리디,"""미리디에서 이런 일들을 함께 하고 싶어요""• 검색, 추천 중심의 모델 연구/개발 및 제품을 적용합니다.• 다양한 요소 및 템플릿의 키워드와 설명을 생성 및 정제하는 최적의 모델(MLLM)을 탐색합니다.• 사용자의 맥락과 의도를 이해하는 개인화 검색 모델을 연구합니다.• 디자인에 어울리는 요소를 찾아주는 최적의 모델을 개발합니다.• 벡터 검색과 전통적인 검색을 결합한 하이브리드 검색 모델을 연구합니다.• 머신러닝 최신 논문을 빠르게 이해하고, 구현 및 검증을 합니다.• 최신 AI 기술을 탐색 및 이해하고 실무에 적용합니다.","""이런 분이라면 목표 달성에 확신을 얻을 것 같아요""• 3년 이상의 머신러닝 관련 경력이 있으신 분• 디자인 도메인에 큰 관심이 있으신 분• AI 연구 및 다양한 모델 개발 경험이 있으신 분• 미리캔버스가 관심 있는 연구 분야입니다. • 개인화 및 하이브리드 검색 • MLLM(멀티모달 대형 언어 모델) 기반 검색 및 텍스트 생성• 딥러닝 프레임워크 활용 경험(PyTorch, TensorFlow 등)이 있으신 분.","""이런 분이라면 장기적으로 서로에게 더 긍정적일 것 같아요!""• 컴퓨터 공학, 머신러닝 관련 석·박사 학위 또는 이에 준하는 경험이 있으신 분• ML 관련 Top-tier 학회 및 저널 논문 게재 경험이 있으신 분• Kaggle, AI Hackathon 등 AI 관련 챌린지 수상 경험이 있으신 분• 쇼핑 및 의류 관련 이커머스 업무 경험이 있으신 분• 실시간 서비스 모델 개발 경험이 있으신 분."
비바리퍼블리카(토스),"[합류하면 함께 할 업무에요]사용자 행동, 상품 정보, 맥락 데이터 등을 바탕으로 상품 클릭률(CTR), 전환율(CVR) 등을 예측하는 모델을 개발해요.예측 결과를 활용해 상품 노출을 최적화하는 추천 알고리즘을 설계하고 고도화해요.추천 품질을 높이기 위한 모델 성능 분석, 피처 엔지니어링, 하이퍼파라미터 튜닝 등의 반복적인 실험을 수행해요.다양한 실험과 오프라인/온라인 지표 분석을 통해 모델 개선 효과를 정량적으로 검증해요.필요시 도메인 전문가 및 데이터 분석가와 협업하여 추천 문제를 올바르게 정의하고 해결해요.","[이런 분과 함께하고 싶어요]-추천 시스템이나 예측 기반 랭킹 모델 개발 경험이 있으신 분이면 좋아요.-CTR, CVR 등 사용자 반응을 예측하기 위한 머신러닝 모델을 설계하고 개선한 경험이 있는 분을 찾고 있어요.-다양한 피처를 활용한 모델 실험, 튜닝, 분석 경험이 있는 분이라면 더 좋아요.-PyTorch, TensorFlow, LightGBM 등 주요 ML 프레임워크에 익숙한 분이면 좋아요.-모델을 단순히 학습시키는 데 그치지 않고, 문제 정의와 성능 분석에 깊이 관여한 경험이 있다면 환영해요.-데이터 기반으로 사고하고, 복잡한 문제를 명확히 설명할 수 있는 커뮤니케이션 역량도 중요하게 생각해요.","[이력서는 이렇게 작성하시는 걸 추천해요]-진행했던 프로젝트가 조직에 큰 영향력을 미쳤다면 그 내용을 자세히 작성해 주세요.-모델링 중심 프로젝트에서 본인이 정의한 문제, 선택한 접근법, 실험 방법과 성능 개선 내용을 구체적으로 적어주세요.-반복적인 실험과 성능 분석을 통해 정량적으로 문제를 해결한 과정이 있다면 강조해 주세요."
화해글로벌,"• DB, 로그, Third party 등 다양한 소스데이터로부터 배치 및 실시간 데이터 입수 개발• RAW 데이터를 정제 및 가공하여 조회 및 분석이 가능한 파생 데이터 제공• 데이터 운영 효율화 및 자동화를 고려한 데이터 모델링• Workflow 배치 파이프라인을 개발 및 운영하여 신뢰성 높은 데이터 처리 및 제공• 데이터 사이언티스트, 분석 엔지니어, DevOps 와 긴밀한 협업.","• 데이터 엔지니어 경험이 3년 이상이신 분• 다양한 데이터 소스로부터 수집 경험이 있으신 분(DB, 로그, third party)• 데이터 처리 및 가공을 위해 SQL 작성 능력이 있으신 분• 워크로드와 비즈니스를 고려한 데이터 모델링이 가능하신 분• Airflow 또는 유사한 워크플로우 오케스트레이션 도구(Luigi, Oozie 등) 사용 및 운영 경험이 있으신 분• Python, Java, Scala 중에서 1개 이상 개발 경험이 있으신 분• 기술은 목적이 아닌 수단으로, 문제 해결을 최우선으로 생각하시는 분• 다양한 직군의 동료들과 원할하게 소통할 수 있도록 유연한 사고를 가지신 분.","• public cloud platform 기반의 데이터 엔지니어링 경험이 있으신 분(AWS, GCP)• 코드 기반 인프라 관리(IaC) 경험이 있으신 분 (Terraform, CloudFormation 등)• Kubernetes 기반 데이터 인프라 구성 및 운영 경험이 있으신 분• 데이터 플랫폼 구축 및 설계 경험이 있으신 분• 실시간 데이터 처리 어플리케이션 개발 경험이 있으신 분(spark, flink, storm 등)• 데이터 처리 및 플랫폼 운영 현황 모니터링·시각화 경험이 있으신 분 (Prometheus, Grafana, Elasticsearch, Kibana 등)• 워크로드에 최적화 된 NoSQL 도입 및 운영 경험이 있으신 분(DynamoDB, MongoDB, HBase, cassandra 등)• 신뢰성, 유연성, 확장성 중심의 데이터 아키텍쳐 설계 경험이 있으신 분• 새로운 기술을 학습하고 업무에 적용한 경험이 있는 분."
