기업명,주요업무,자격요건,우대사항
디피니트,"• 기업 데이터 운영 플랫폼(DARVIS) 프론트엔드 개발 및 운영• 랜딩페이지 및 홈페이지 개발 및 관리• 백엔드/디자인/기획팀과 협업하여 신규 기능 개발• 기존 코드베이스의 TypeScript 마이그레이션 및 아키텍처 개선[기술스택]• 언어: TypeScript, JavaScript• 프레임워크: React.js, Next.js• 상태관리: Redux / Zustand / Recoil• UI: MUI, Styled-components• DevOps: Docker, Git, CI/CD• 협업: Jira, Notion, Slack.","• 경력 : 3년 이상• React 및 JavaScript/TypeScript에 대한 깊은 이해• 상태 관리(Redux, Zustand, Recoil 등) 및 프론트엔드 아키텍처 설계 경험• RESTful API 연동 및 백엔드 개발자와의 협업 경험• 디자이너/기획자와의 원활한 커뮤니케이션 능력• 빠른 개발 속도와 높은 생산성• 기획 변경에 유연하게 대응하고 적극적으로 개선안을 제안하는 태도.","• TypeScript 기반 프로젝트 실무 경험• Docker 등 컨테이너 환경 사용 경험• AWS/GCP 등 클라우드 환경 배포 경험• CI/CD 파이프라인 구축 및 운영 경험• MUI, Ant Design 등 UI 라이브러리 활용 능숙• 레거시 코드를 최신 기술 스택으로 마이그레이션한 경험• 알고리즘 및 자료구조에 대한 이해를 바탕으로 효율적인 구현이 가능한 분• B2B/AI 서비스 개발 경험."
소크라에이아이,"[우리는 이렇게 일합니다.]• 산타 팀과 제품의 기술 수준 향상을 위해 끊임없이 학습하며 연구하고 노력합니다.• 산타의 고객에게 가치를 전달할 수 있도록 신규 기능을 개발하거나 제품을 개선합니다.• 팀과 개인이 함께 성장할 수 있도록 노력하고 성숙한 조직 문화 및 개발 문화를 만드는 데 적극적으로 기여합니다.• 제품의 기술적 완성도를 높이거나 테스트, 장애 대응 등의 활동을 통해 고객에게 안정적인 서비스를 제공할 수 있도록 끊임없이 노력합니다.• 위 업무를 자발적이고 주도적으로, 그리고 동료와 협력하여 수행합니다.[이런 업무를 담당합니다.]• 산타 개발 및 운영을 담당합니다.• Socra AI Back Office 개발 및 운영을 담당합니다.• 빌링 시스템 운영 및 정산 / 대사업무를 지원합니다.• ML / LLM 모델을 서비스에 적용하기 위한 API Layer의 개발 및 운영을 담당합니다.","[이런 분을 찾고 있습니다.]• 3년 이상의 개발 경력 혹은 준하는 경험을 가지신 분• Kotlin, SpringBoot, Gradle, PostgreSQL 또는 기타 RDBMS 기술에 대해 풍부한 활용 경험 및 이해가 있는 분• RESTful한 HTTP API를 설계할 수 있는 분• MSA(Micro Service Architecture) 및 이벤트 기반 아키텍처로 구성된 환경에서 개발 및 운영 경험이 있는 분• 기술적 기준치가 높아 스스로와 팀의 기술적 성장과 제품의 기술적 완성도를 위해 노력하시는 분• 제품과 제품 도메인에 대한 깊은 이해를 바탕으로 고객에게 실질적인 가치를 줄 수 있는 제품 개발을 추구하고 이를 통해 조직의 성장에 기여하실 수 있는 분• SQL 작성이 능숙하신 분.","[이런 분이면 더욱 좋습니다.]• Python에 대한 경험이 있으신 분 (Django, FastAPI)• 동료들과 항상 투명하게 소통하며 신뢰를 바탕으로 협업할 수 있는 분• 복잡한 문제와 요구사항들 속에서 뛰어난 커뮤니케이션과 논리적인 사고를 통해 본질을 찾아내 해결할 수 있는 분• AI 기술에 대한 기본적인 이해가 있어 AI Engineer / Research Scientist와 원활히 소통할 수 있는 분• 스스로에 대한 기술적이거나 기술 외적인 성장을 끊임없이 추구하시는 분• 함께 일하는 동료나 후배 개발자의 성장을 돕는 데 관심이 많고 기여할 수 있는 분• 설계와 구현에 대한 수평적 소통이 원활하신 분[뤼이드에서는 하단의 기술을 주로 사용하고 있어요.]• Kotlin · Spring (Boot, MVC, Data JPA 등) · QueryDSL · Gradle• Python, Django, FastAPI• PostgreSQL (Amazon Aurora PostgreSQL)• GitHub(+ GitHub Actions) · ArgoCD• AWS · Docker · HTTP API• Kubernetes• MongoDB (Amazon DocumentDB) · Elasticsearch (Amazon OpenSearch) · Redis (Elasticache)• RabbitMQ (Amazon MQ) · Kafka."
스튜디오키코,• Pinderland 서비스의 백엔드 개발 및 운영• 안정적이고 확장 가능한 아키텍처 설계 및 구현.,"• 백엔드 개발 경력 3년 이상 혹은 이에 준하는 역량• Python기반의 웹프레임워크를 사용한 상용 서비스 개발 경험 (Flask, Django, FastAPI 등)• AWS 등 클라우드 플랫폼 사용한 서비스 운영 경험• Git을 사용한 코드 형상관리 역량• 확장 가능한 아키텍처를 설계 및 구현해보신 분• 팀의 기술적인 의사결정에 도움을 줄 수 있는 분 • 자료구조, 알고리즘, 데이터베이스, 운영체제, 네트워크에 대한 견고한 기반 지식이 있는 분• 다양한 부서 및 직군과의 원활한 협업을 위한 커뮤니케이션 능력을 갖춘 분.","• Python 외 하나 이상의 프로그래밍 언어를 깊이 이해하고 능숙하게 사용할 수 있는 능력• FastAPI 기반 서비스 설계/개발 경험• 위치 기반 SNS 서비스 개발 및 운영 경험• 대규모 트래픽을 위한 분산 서버 아키텍처를 설계하고 구축한 경험• ECS, EKS와 같은 컨테이너 운영 플랫폼 사용 경험• 새로운 기술을 도입하는 데에 두려움이 없는 분 • 테크스펙 공유와 PR 기반의 코드 리뷰에 익숙하신 분."
먼치팩토리,"• 고품질 모바일 앱 개발 - React Native (0.80+) 기반으로 iOS/Android 앱을 동시에 개발 및 최적화 - 공간 검색, 예약, 결제 등 주요 기능의 UX 흐름을 모바일에 맞게 구현• UI/UX 최적화 및 인터랙션 개발 - 아워플레이스 서비스의 주요 사용자 흐름(검색 공간 상세 예약 결제)을 직관적으로 설계하고 React Native로 구현 - 스튜디오/공간별 프로덕션 니즈를 반영한 몰입형 사용자 경험(UX) 제공 - 사용자 행동 패턴에 기반한 부드러운 애니메이션 및 전환 효과 구현 (Reanimated 3 / Gesture Handler 활용) - 다이내믹한 리스트 스크롤, 지도 기반 인터랙션, 예약 상태 변화 등 직관적인 피드백 UI 설계• 상태 관리 및 데이터 흐름 최적화 - Zustand / Recoil / Jotai 기반의 경량 상태 관리 - React Query를 통한 네트워크 캐싱 및 서버 상태 동기화 - 백엔드(Laravel API)와의 비동기 통신 구조 최적화• 성능 및 메모리 최적화 - Hermes 엔진 및 Code Push를 통한 경량화 및 빠른 업데이트 배포 - App Startup Profiling, Flipper, Perf Monitor로 성능 분석 및 개선• 반응형 및 접근성 강화 - 다양한 화면 크기, OS 버전, 다크모드 대응을 위한 Responsive Layout 설계• 테스트 및 안정성 관리 - Jest, React Native Testing Library, Detox 기반 단위/통합 테스트 구축 - Crashlytics / Sentry를 통한 실시간 크래시 모니터링 및 에러 추적• 협업 및 배포 자동화 - GitHub Actions / Fastlane / EAS Build를 통한 CI/CD 파이프라인 운영 - 코드 리뷰 및 브랜치 전략(Gitflow)으로 품질 일관성 유지.","• 5년 이상 모바일 앱 개발 경력, 또는 그에 준하는 React Native 실무 경험• React Native에 대한 깊은 이해 - Hooks, Context API, Fabric, Turbo Modules 등 최신 아키텍처 이해• iOS / Android 빌드 및 스토어 배포 경험 - App Store / Play Store 등록 및 OTA(Code Push) 업데이트 경험• 상태 관리 및 네트워크 캐싱 경험 - React Query / Zustand / Redux Toolkit 등 사용 경험• 성능 최적화 능력 - Lazy Component Load, Memory Leak 방지, Rendering Bottleneck 개선 경험• 테스트 및 디버깅 역량 - Jest, Detox 등으로 E2E 테스트 작성 경험 - Flipper, Android Studio Profiler를 활용한 문제 추적 경험• 협업 능력 - Git 기반 코드 리뷰 경험 및 디자인/서버 파트와의 원활한 커뮤니케이션.","• TypeScript + React Native 프로젝트 운영 경험• React Navigation v7 이상 숙련• CI/CD 파이프라인 구축 경험 (Fastlane / GitHub Actions / EAS Build)• App Analytics 및 모니터링 경험 (Amplitude / Firebase Analytics / Sentry)• 네이티브 모듈 브리징(Android/Kotlin, iOS/Swift) 경험• AI/이미지 처리 API 연동 경험 (예: OpenAI Vision, Replicate, AWS Rekognition)."
먼치팩토리,"• UI/UX 설계 및 구현 - 아워플레이스 서비스의 주요 사용자 흐름(검색 공간 상세 예약 결제)을 직관적으로 설계하고 Next.js로 구현 - 스튜디오/공간별 프로덕션 니즈를 반영한 몰입형 사용자 경험(UX) 제공• 디자인 시스템 및 컴포넌트 구조화 - Figma 기반 디자인 시스템과 일관된 Storybook 컴포넌트 시스템 구축 및 관리 - Atomic Design 패턴을 활용하여 재사용성과 유지보수성을 높임• 데이터 연동 및 상태 관리 - REST API 연동, React Query / Zustand / Recoil 기반 상태 관리 - 서버 액션(Server Actions) 및 캐시 최적화를 통한 실시간 반응형 데이터 UI 구현• 검색/필터링 기능 고도화 - 공간 검색, 태그 필터, 지역 기반 추천 등 고성능 검색 경험 구현 - Debounce, Suspense, Virtualized List를 통한 UX/성능 동시 개선• 퍼포먼스 및 SEO 최적화 - Next.js 기반 서버 사이드 렌더링(SSR) 및 정적 최적화(ISR) 적용 - 이미지 최적화, 코드 스플리팅, Edge Rendering을 통한 LCP/FCP 성능 개선• 반응형 및 접근성 강화 - 다양한 디바이스(모바일, 태블릿, 데스크탑)에서 일관된 UI 제공 - 웹 접근성(WCAG) 기준 준수 및 키보드 내비게이션 대응• 테스트 및 품질 관리 - Jest, React Testing Library, Cypress 등을 통한 단위/통합 테스트 수행.","• 5년 이상 프론트엔드 경력 - 중대형 규모의 서비스(예: 커머스, 예약 플랫폼 등) 운영 경험• React 심층 이해 - Hooks, Context, Suspense, Server Components 등 최신 React 패턴 숙련• Next.js 14 이상 경험 - App Router, Server Actions, Edge Functions 활용 경험• 상태 관리 경험 - React Query / Zustand / Recoil / Jotai 중 하나 이상 실무 적용• 비동기 및 API 연동 능력 - RESTful 및 GraphQL API 통신 경험, Axios/Fetch/React Query 활용• UI 성능 최적화 경험 - Lazy Loading, Dynamic Import, useTransition 등 활용 경험• 협업 및 코드 품질 관리 역량 - Git, Jira, Slack, Figma, Notion 등 협업 도구 능숙 - PR 기반 코드리뷰 및 릴리즈 브랜치 관리 경험.","• 대규모 트래픽 서비스 경험 (100k+ DAU)• SEO 및 웹 접근성 개선 경험• TypeScript / TailwindCSS / Styled Components 숙련• Next.js Edge / Cloudflare Workers / Vercel 배포 경험• 데이터 기반 UI/UX 개선 (A/B 테스트, Amplitude, GA4)• AI 또는 이미지 처리 API 연동 경험 (예: OpenAI, Replicate, AWS Rekognition)."
에이티씨아이,"• Go(Gin) 및 FastAPI 기반 서비스 API 설계·개발·운영* 서비스 간 통신 구조(REST, gRPC 등) 설계 및 구현* PostgreSQL 등 RDB 모델링 및 쿼리 최적화* GitLab 기반 CI/CD 파이프라인 연동 및 배포 자동화* 이미지/파일 업로드 처리, JWT 인증 등 핵심 비즈니스 로직 개발* (선택) Kubernetes 기반 인프라 자동화 및 운영 협업.",• Gin 또는 FastAPI 프레임워크 활용 경험* Python 백엔드 개발 경험 (신입은 관련 프로젝트 경험 가능)* RESTful API 설계 및 구현 역량* Git을 활용한 협업 경험* PostgreSQL 등 관계형 데이터베이스 이해* 문제 해결 능력과 새로운 기술 학습 의지* 원활한 커뮤니케이션 및 협업 능력.,"• 사용자 가치 중심의 기능 개발 경험 및 열정 보유* 적극적인 기술 개선 제안 및 문제 해결형 태도* Gin 프레임워크로 엔지니어링 경험* DRF + FastAPI 하이브리드 환경 협업 경험* Helm, ArgoCD, Terraform 등 IaC 도구 활용 경험* SaaS 또는 On-premise B2B 솔루션 개발 경험* AI 기반 기능·Task Queue(백그라운드 워커) 연동 경험* 보안·인증·접근제어 등 엔터프라이즈 환경 이해* LangChain, LlamaIndex 등 LLM 프레임워크 활용 경험."
네오랩컨버전스(NeoLab),• 네오랩 컨버전스 주요 서비스(웹/모바일/데스크톱)의 신규 기능 개발• B2B 고객 대상 소프트웨어 및 서비스 솔루션 개발• 기획자·디자이너와의 협업을 통한 UX 중심의 웹 프론트엔드 개발• 외주 및 협력사와의 기술 커뮤니케이션 및 산출물 검수• 서비스 기획 단계에서의 기술적 검토 및 대안 제시.,"• SW개발 경력 10년 이상• HTML, CSS, Javascript(ES6), Typescript,React 등 웹 어플리케이션 개발을 위한 front-end 개발 경험• 서버 & 클라이언트 간 데이터 전송 (Rest API, Socket 통신)에 대한 전반적인 이해• 다양한 Cloud 환경의 이해와 활용 가능• 플랫폼 및 크로스 브라우징의 이해와 활용 가능• S.P.A 프레임워크 기반 UI 개발 경험이 있으신 분• 크로스 플랫폼 개발 경험 (Flutter Or Maui Or React Native).","• Vue, Webpack, Angular 개발 경험• C# 개발 경험• AI 개발 도구(Cursor, Claude Code, Codex 등) 활용 경험• 기술 트렌드에 관심이 많고 다양한 개발 언어에 대한 거부감이 없는 분• Storybook, Typescript를 이용한 UI 컴포넌트 개발 경험이 있으신 분• 다양한 viewport를 지원하는 반응형 웹사이트 개발 경험이 있으신 분• 성능을 고려한 다양한 웹 애니메이션 개발 경험이 있으신 분• 디자이너, 개발자와의 협업에서 주도적인 역할을 해 보신 분."
뤼튼테크놀로지스,• AI 에이전트 시스템 개발 및 프롬프트 최적화 합니다.• AI 친화적 컴파일러 설계 및 진단 시스템 구축을 담당합니다.• 타입 안전한 이벤트 드리븐 아키텍처 구현 합니다.• RAG 최적화를 통한 토큰 효율화를 담당 합니다.• 생성 코드의 모듈화 및 유지보수성 개선을 합니다.,"• 명확한 타입 설계 능력AutoBE는 타입 안전성을 최우선으로 하는 시스템입니다. Discriminated Union, 제네릭, 타입 가드 등을 활용하여 컴파일 타임에 오류를 잡아내는 설계 철학을 이해하고 실천할 수 있어야 합니다. 특정 언어의 타입 시스템 경험보다는, 타입을 통해 안전성을 확보하려는 사고방식이 더 중요합니다.• 꼼꼼한 문서화 습관AutoBE는 40개 이상의 AI 에이전트가 협업하는 복잡한 시스템입니다. 각 에이전트의 역할과 상호작용을 명확히 문서화하는 능력이 필요합니다. 시스템 프롬프트, 아키텍처 문서, API 문서 작성은 AI 에이전트가 올바르게 동작하도록 가이드하는 핵심 요소입니다.• 테스트 주도 개발 경험AutoBE가 생성하는 백엔드는 E2E 테스트를 포함하며, AutoBE 자체도 테스트를 통해 품질을 보장합니다. 테스트를 먼저 작성하고 이를 통과하도록 구현하는 방식에 익숙해야 하며, 테스트 가능한 구조로 코드를 설계하는 능력이 필요합니다.",• 백엔드 개발 역량RDB에 대한 이해와 설계 역량API 설계 역량OpenAPI와 JSON Schema 스펙에 대한 이해• 에이전트 개발 역량대화형 에이전트 개발 경험LLM 활용 경험Function Calling 설계 능력• 프롬프트 최적화 역량LLM 동작을 가이드하는 최적 품질의 프롬프트 작성 능력대규모 프롬프트 구조화 및 리팩토링 경험• 컴파일러 개발 역량컴파일러 이론 및 구현 경험AST 설계 및 코드 생성 경험다양한 프로그래밍 언어 및 프레임워크에 대한 이해.
플레이스앤,"• 도도포인트, 나우웨이팅 서비스를 위한 iOS 애플리케이션 개발 및 유지보수• 새로운 기능 개발 및 기존 기능 최적화• 최신 iOS 기술 트렌드를 반영한 아키텍처 개선 및 코드 리팩터링• 사용자 경험(UX)을 고려한 인터페이스 구현 및 성능 개선.","(관련 경험/ 역량을 보유하고 계신다면, 서류에 필수적으로 작성 부탁 드립니다.)• iOS 개발 경력 3년 이상 또는 그에 준하는 실력• iOS 플랫폼 및 휴먼 인터페이스 가이드라인(HIG)에 대한 기본적인 이해가 있으신 분• Combine, RxSwift 또는 Async/Await를 활용한 비동기 프로그래밍 경험• 최신 iOS 기술 트렌드를 반영한 아키텍처 개선 및 코드 리팩터링 경험• 사용자 경험(UX)을 고려한 인터페이스 구현 및 성능 개선• Swift 언어에 대한 깊은 이해와 능숙한 활용 능력• SwiftUI를 활용한 최신 UI/UX 개발 경험• MVVM, Clean Architecture 등 모던 아키텍처 패턴에 대한 이해와 적용 경험• Git, Github을 활용한 협업 경험• 테스트 코드 작성 경험 (Unit Test, UI Test)• 고객 관점의 문제 식별과 해결 경험을 갖고 계신 분• 동료들과의 업무 소통 능력의 중요성과 기술을 갖고 계신 분• 다양한 직군과의 우수한 협업 능력을 갖추신 분(Product Owner/Product Designer/운영/사업 등)• 성능 측정 및 최적화 경험이 있으신 분• 고객 경험 개선을 위한 ABTest 경험이 있으신 분.","• 식음료 관련 웨이팅, 주문, 결제, 포인트 등의 서비스 경험이 있거나 높은 관심과 이해도가 있는 분• 데일리스크럼, 스프린트, 회고, 데모 등의 애자일 개발 환경 경험이 있으신 분• AB 테스트를 이용해 고객 가치를 높이는 경험과 지식을 보유하신 분• 테스트 코드의 중요성을 깊이 이해하고 작성 습관을 갖고 계신 분• 웹 프론트와 연계된 화면 구성을 위한 WKWebView를 이용한 하이브리드 앱 개발 경험이 있는 분• RN, Flutter, KMP 등의 멀티플랫폼(Multi-Platform) 기술에 대한 이해 및 경험• CI/CD 파이프라인 구축 및 운영 경험 (예: Github Actions, Fastlane)• 새로운 기술 습득에 대한 열정과 도전 의식."
스튜디오씨드코리아(프로토파이),"Software Engineer는 팀원들과 함께 제품 개발을 위해 기술 방향과 개발 우선순위를 설정하여 혁신적인 소프트웨어 어플리케이션을 제작합니다. [이런 일을 합니다]프로토파이의 Software Engineer(Backend)는 아래 업무들을 담당합니다.• 구독 및 결제 시스템 Backend API를 설계, 개발, 운영합니다.• 결제 시스템과 연결된 백오피스 시스템을 개발 및 운영합니다.• 국외 결제 게이트웨이 연동 및 운영을 최적화합니다.• 안정적이고 확장 가능한 아키텍처를 고민하고 개선합니다.• 결제와 관련된 주요 지표를 수집·분석하여 서비스 품질을 높입니다.[이런 기술들을 사용중입니다]• 주요 기술 : Clojure, PostgreSQL, SQS, Lambda• 테스트, 빌드, 배포 : Github actions, CodePipeline, AWS ECS• 협업 도구 : Github, Jira, Slack.","• Backend 개발 경험 5년 이상 또는 이에 준하는 프로젝트 경험이 있으신 분• 최소 1가지 서버사이드 언어(Node.js, Kotlin 등)로 제품을 설계·개발·운영해 본 경험이 있으신 분• 해외 여행에 결격 사유가 없는 분.","• 1년 이상의 Clojure 또는 Scala 등 함수형 프로그래밍 경험이 있으신 분• AWS 등 클라우드 환경에서 빌드, 배포, 모니터링 등의 운영 경험이 있으신 분• 최소 1년 이상의 Frontend 개발 경험이 있는 분• 고객의 사용 경험과 서비스 흐름을 함께 고민하실 수 있는 분• 문제 해결 능력과 원활한 커뮤니케이션 역량을 갖추신 분• 본인의 Git repository, 기술 블로그, 포트폴리오 링크가 있다면 함께 제출해 주시면 더욱 좋습니다."
